material,model,lambda_nm,Re_eps_eff,Im_eps_eff,loss_value_minus_Im
Au,MG bulk / COMPOSIT,300.0,3.2319943,-0.89642819,0.89642819
Au,Bruggeman / CPA,300.0,3.186783,-0.7927141,0.7927141
Au,MG + MLWA sphere R=10 nm,300.0,3.1140825,-0.8781717,0.8781717
Au,MG + MLWA sphere R=30 nm,300.0,2.9249704,-0.36179153,0.36179153
Au,MG + MLWA sphere R=50 nm,300.0,3.0527002,-0.12753214,0.12753214
Au,MG bulk / COMPOSIT,302.0,3.2352812,-0.89555483,0.89555483
Au,Bruggeman / CPA,302.0,3.1891425,-0.7924183,0.7924183
Au,MG + MLWA sphere R=10 nm,302.0,3.1187806,-0.87878325,0.87878325
Au,MG + MLWA sphere R=30 nm,302.0,2.923993,-0.36676953,0.36676953
Au,MG + MLWA sphere R=50 nm,302.0,3.0513737,-0.12951002,0.12951002
Au,MG bulk / COMPOSIT,304.0,3.2356457,-0.89605103,0.89605103
Au,Bruggeman / CPA,304.0,3.189348,-0.79279679,0.79279679
Au,MG + MLWA sphere R=10 nm,304.0,3.1204419,-0.87990935,0.87990935
Au,MG + MLWA sphere R=30 nm,304.0,2.9225826,-0.37124384,0.37124384
Au,MG + MLWA sphere R=50 nm,304.0,3.0499848,-0.13142934,0.13142934
Au,MG bulk / COMPOSIT,306.0,3.2360107,-0.89654693,0.89654693
Au,Bruggeman / CPA,306.0,3.1895537,-0.79317511,0.79317511
Au,MG + MLWA sphere R=10 nm,306.0,3.1220833,-0.88101656,0.88101656
Au,MG + MLWA sphere R=30 nm,306.0,2.9212082,-0.37572315,0.37572315
Au,MG + MLWA sphere R=50 nm,306.0,3.0485892,-0.13336114,0.13336114
Au,MG bulk / COMPOSIT,308.0,3.2363763,-0.89704256,0.89704256
Au,Bruggeman / CPA,308.0,3.1897596,-0.79355325,0.79355325
Au,MG + MLWA sphere R=10 nm,308.0,3.1237051,-0.8821055,0.8821055
Au,MG + MLWA sphere R=30 nm,308.0,2.9198701,-0.38020677,0.38020677
Au,MG + MLWA sphere R=50 nm,308.0,3.0471871,-0.13530537,0.13530537
Au,MG bulk / COMPOSIT,310.0,3.2367423,-0.89753789,0.89753789
Au,Bruggeman / CPA,310.0,3.1899657,-0.79393121,0.79393121
Au,MG + MLWA sphere R=10 nm,310.0,3.1253075,-0.88317674,0.88317674
Au,MG + MLWA sphere R=30 nm,310.0,2.9185685,-0.38469401,0.38469401
Au,MG + MLWA sphere R=50 nm,310.0,3.0457789,-0.13726203,0.13726203
Au,MG bulk / COMPOSIT,312.0,3.2379847,-0.89751926,0.89751926
Au,Bruggeman / CPA,312.0,3.1908277,-0.79403752,0.79403752
Au,MG + MLWA sphere R=10 nm,312.0,3.1278232,-0.88395697,0.88395697
Au,MG + MLWA sphere R=30 nm,312.0,2.9174897,-0.38934511,0.38934511
Au,MG + MLWA sphere R=50 nm,312.0,3.0443874,-0.13925613,0.13925613
Au,MG bulk / COMPOSIT,314.0,3.2396952,-0.89722241,0.89722241
Au,Bruggeman / CPA,314.0,3.192041,-0.79399725,0.79399725
Au,MG + MLWA sphere R=10 nm,314.0,3.1308199,-0.88456318,0.88456318
Au,MG + MLWA sphere R=30 nm,314.0,2.9165591,-0.39409063,0.39409063
Au,MG + MLWA sphere R=50 nm,314.0,3.0430038,-0.14127803,0.14127803
Au,MG bulk / COMPOSIT,316.0,3.2414016,-0.89692367,0.89692367
Au,Bruggeman / CPA,316.0,3.1932521,-0.79395655,0.79395655
