lambda_nm;luxpop_KM_Re;luxpop_KM_Im;luxpop_Brugg_Re;luxpop_Brugg_Im;luxpop_MLWA30_Re;luxpop_MLWA30_Im;JC_KM_Re;JC_KM_Im;JC_Brugg_Re;JC_Brugg_Im;JC_MLWA30_Re;JC_MLWA30_Im
400;3.33666;-0.87459;3.26271;-0.78973;2.93600;-0.60423;3.22657;-0.96464;3.17669;-0.83835;2.87461;-0.58013
401;3.33615;-0.87506;3.26228;-0.78999;2.93615;-0.60599;3.22635;-0.96521;3.17649;-0.83870;2.87443;-0.58211
402;3.33513;-0.87599;3.26143;-0.79051;2.93597;-0.60764;3.22613;-0.96577;3.17630;-0.83905;2.87425;-0.58409
403;3.33411;-0.87693;3.26057;-0.79102;2.93579;-0.60927;3.22591;-0.96633;3.17610;-0.83940;2.87408;-0.58607
404;3.33359;-0.87740;3.26014;-0.79128;2.93594;-0.61102;3.22569;-0.96689;3.17590;-0.83975;2.87392;-0.58804
405;3.33257;-0.87834;3.25928;-0.79180;2.93576;-0.61264;3.22547;-0.96746;3.17570;-0.84010;2.87376;-0.59000
406;3.33154;-0.87928;3.25842;-0.79232;2.93558;-0.61425;3.22525;-0.96802;3.17551;-0.84045;2.87360;-0.59197
407;3.33149;-0.88026;3.25825;-0.79301;2.93562;-0.61632;3.22504;-0.96859;3.17531;-0.84080;2.87345;-0.59392
408;3.33046;-0.88120;3.25739;-0.79353;2.93543;-0.61792;3.22482;-0.96916;3.17511;-0.84116;2.87330;-0.59588
409;3.32994;-0.88168;3.25696;-0.79379;2.93559;-0.61963;3.22460;-0.96972;3.17491;-0.84151;2.87316;-0.59782
410;3.32890;-0.88262;3.25609;-0.79431;2.93540;-0.62122;3.22438;-0.97029;3.17471;-0.84186;2.87302;-0.59977
411;3.32786;-0.88356;3.25523;-0.79483;2.93522;-0.62281;3.22416;-0.97086;3.17452;-0.84221;2.87289;-0.60171
412;3.32734;-0.88404;3.25480;-0.79509;2.93538;-0.62450;3.22394;-0.97142;3.17432;-0.84257;2.87276;-0.60364
