t_ps,T_e_K,T_l_K
0.0000,300.00,300.00
0.0330,300.00,300.00
0.0660,300.00,300.00
0.0990,300.00,300.00
0.1320,300.00,300.00
0.1650,300.00,300.00
0.1980,300.00,300.00
0.2310,300.00,300.00
0.2640,300.01,300.00
0.2970,300.01,300.00
0.3300,300.01,300.00
0.3630,300.01,300.00
0.3960,300.01,300.00
0.4290,300.01,300.00
0.4620,300.02,300.00
0.4950,300.02,300.00
0.5280,300.02,300.00
0.5610,300.03,300.00
0.5940,300.03,300.00
0.6270,300.04,300.00
0.6600,300.05,300.00
0.6930,300.06,300.00
0.7260,300.07,300.00
0.7590,300.08,300.00
0.7920,300.09,300.00
0.8250,300.11,300.00
0.8580,300.12,300.00
0.8910,300.14,300.00
0.9240,300.17,300.00
0.9570,300.19,300.00
0.9900,300.23,300.00
1.0230,300.26,300.00
1.0560,300.30,300.00
1.0890,300.35,300.00
1.1220,300.40,300.00
1.1550,300.46,300.00
1.1880,300.52,300.00
1.2210,300.60,300.00
1.2540,300.69,300.00
1.2870,300.78,300.00
1.3200,300.89,300.00
1.3530,301.02,300.00
1.3860,301.16,300.00
1.4190,301.31,300.00
1.4520,301.49,300.00
1.4850,301.69,300.01
1.5180,301.91,300.01
1.5510,302.15,300.01
1.5840,302.42,300.01
1.6170,302.73,300.01
1.6500,303.06,300.01
1.6830,303.44,300.01
1.7160,303.85,300.01
1.7490,304.31,300.01
1.7820,304.81,300.02
1.8150,305.36,300.02
1.8480,305.97,300.02
1.8810,306.64,300.02
1.9140,307.37,300.03
1.9470,308.17,300.03
1.9800,309.04,300.03
2.0130,309.99,300.04
2.0460,311.03,300.04
2.0790,312.15,300.05
2.1120,313.36,300.05
2.1450,314.68,300.06
2.1780,316.09,300.06
2.2110,317.62,300.07
2.2440,319.26,300.08
2.2770,321.03,300.08
2.3100,322.92,300.09
2.3430,324.94,300.10
2.3760,327.09,300.11
2.4090,329.39,300.13
2.4420,331.83,300.14
2.4750,334.42,300.15
2.5080,337.16,300.17
2.5410,340.06,300.18
2.5740,343.12,300.20
2.6070,346.34,300.22
2.6400,349.72,300.24
