% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 22 2026, 00:11"
% Table,Ag strip W=800 nm modes at 500 nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um)
1.4443879530997346+2.417662139284958E-7i,1.4443879530997346+2.417662139284958E-7i,1.4443879530997346,2.417662139284958E-7,1.673831558963452E-7,18.1507143295669,-2.6388808435352616E-5
1.4462989930434416+7.208362311074024E-7i,1.4462989930434416+7.208362311074024E-7i,1.4462989930434416,7.208362311074024E-7,4.984005621068361E-7,18.174729165758365,-7.8679352697233E-5
1.4336229411179908+1.574530685915336E-6i,1.4336229411179908+1.574530685915336E-6i,1.4336229411179908,1.574530685915336E-6,1.0982878696733608E-6,18.01543719933629,-1.7186019490090075E-4
1.439560567018381+1.9036349288719435E-6i,1.439560567018381+1.9036349288719435E-6i,1.439560567018381,1.9036349288719435E-6,1.3223722380884282E-6,18.09005160697001,-2.0778195866402198E-4
1.4390735088967455+2.5433996843266453E-6i,1.4390735088967455+2.5433996843266453E-6i,1.4390735088967455,2.5433996843266453E-6,1.7673869115112285E-6,18.083931054102802,-2.776123510131263E-4
1.4432690558035393+3.098395082416521E-6i,1.4432690558035393+3.098395082416521E-6i,1.4432690558035393,3.098395082416521E-6,2.146789657796336E-6,18.136653851463503,-3.381901588247155E-4
1.4298639300757374+3.692072303359494E-6i,1.4298639300757374+3.692072303359494E-6i,1.4298639300757374,3.692072303359494E-6,2.5821144415916076E-6,17.968200073435863,-4.02990091790246E-4
1.4480680190591122+3.856312995829564E-6i,1.4480680190591122+3.856312995829564E-6i,1.4480680190591122,3.856312995829564E-6,2.663074486193831E-6,18.196959402297722,-4.2091698116182786E-4
1.435292316272759+5.432581173577907E-6i,1.435292316272759+5.432581173577907E-6i,1.435292316272759,5.432581173577907E-6,3.7849998303380553E-6,18.03641518622551,-5.929668234844845E-4
1.4358266703374836+6.115748507402764E-6i,1.4358266703374836+6.115748507402764E-6i,1.4358266703374836,6.115748507402764E-6,4.2593919125107834E-6,18.04313007744213,-6.675346119635093E-4
1.4449536508940122+6.689121725832625E-6i,1.4449536508940122+6.689121725832625E-6i,1.4449536508940122,6.689121725832625E-6,4.629298470365451E-6,18.157823097705517,-7.301183608556609E-4
1.4425150851401214+1.1829756925491828E-5i,1.4425150851401214+1.1829756925491828E-5i,1.4425150851401214,1.1829756925491828E-5,8.200785591328996E-6,18.12717917667464,-0.0012912192496670248
1.4373876245323025+2.9596809107943235E-5i,1.4373876245323025+2.9596809107943235E-5i,1.4373876245323025,2.9596809107943235E-5,2.059069425867184E-5,18.06274560636626,-0.0032304949196838868
1.4325549177658257+3.0809403303151105E-5i,1.4325549177658257+3.0809403303151105E-5i,1.4325549177658257,3.0809403303151105E-5,2.1506612361640298E-5,18.00201602206819,-0.0033628497074236867
1.9521233511408784+0.0833229113681342i,1.9521233511408784+0.0833229113681342i,1.9521233511408784,0.0833229113681342,0.04268322046321399,24.531105515381086,-9.094704800315347
1.8558521119747489+0.08897615273083727i,1.8558521119747489+0.08897615273083727i,1.8558521119747489,0.08897615273083727,0.047943557655658664,23.32132544451589,-9.711756707341962
1.6887178178388649+0.0982892644013938i,1.6887178178388649+0.0982892644013938i,1.6887178178388649,0.0982892644013938,0.0582034863155405,21.221053962035054,-10.728283854861628
1.4343544129944763+0.10974904152604355i,1.4343544129944763+0.10974904152604355i,1.4343544129944763,0.10974904152604355,0.07651459118595551,18.024629146030186,-11.97911976919521
2.533329366509242+0.17536708780117707i,2.533329366509242+0.17536708780117707i,2.533329366509242,0.17536708780117707,0.06922395884228082,31.834755707794873,-19.141336627042563
2.535263013053235+0.17618756586369927i,2.535263013053235+0.17618756586369927i,2.535263013053235,0.17618756586369927,0.06949478809755338,31.859054626903863,-19.23089189643066
