% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 23 2026, 21:29"
% Table,Ag strip W=800 nm modes at lam0800nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um),Integral |E|^2 in Ag (V^2),Integral |E|^2 in substrate (V^2),Integral |E|^2 in air (V^2),Ag field fraction proxy (1),Substrate field fraction proxy (1),Air field fraction proxy (1)
1.3986201364727489+1.0238895281501323E-6i,1.3986201364727489+1.0238895281501323E-6i,1.3986201364727489,1.0238895281501323E-6,7.320712046462675E-7,10.984736864763853,-6.984853305771604E-5,2.7137805215220357E-14,1.4232205618009006E-8,1.0113237798767852E-10,1.8933310469585522E-6,0.9929423750215969,0.007055731647356236
1.4405635585625027+1.725579061474975E-6i,1.4405635585625027+1.725579061474975E-6i,1.4405635585625027,1.725579061474975E-6,1.197850001979004E-6,11.314159731522821,-1.1771696340805264E-4,5.999914088938428E-14,1.824658768406657E-8,1.5018182359120532E-11,3.2855239675869938E-6,0.9991743260658142,8.223884102182693E-4
1.4218912946259654+5.282064284807795E-6i,1.4218912946259654+5.282064284807795E-6i,1.4218912946259654,5.282064284807795E-6,3.714815826477976E-6,11.167508113500531,-3.603361804832136E-4,9.260839569268328E-14,9.32187974707686E-9,8.59206388996615E-12,9.925272634151153E-6,0.9990692232650323,9.208514623334194E-4
1.4124797088565944+6.09707924111346E-6i,1.4124797088565944+6.09707924111346E-6i,1.4124797088565944,6.09707924111346E-6,4.316578286316807E-6,11.093589691721316,-4.1593553720375813E-4,4.6677110987139433E-14,4.093447889386816E-9,6.262969920795429E-12,1.1385334516127237E-5,0.9984609706852824,0.0015276439802014573
1.437492201988475+7.999188839364226E-6i,1.437492201988475+7.999188839364226E-6i,1.437492201988475,7.999188839364226E-6,5.564683292402555E-6,11.290037353399018,-5.456952051172057E-4,2.4503222878089444E-13,1.609410431810603E-8,2.5795569926572902E-11,1.5200373817540177E-5,0.9983845925527243,0.0016002070734581603
1.4140189086512471+1.2110587659415297E-5i,1.4140189086512471+1.2110587659415297E-5i,1.4140189086512471,1.2110587659415297E-5,8.564657505865252E-6,11.105678538639536,-8.26169971681752E-4,5.194142108708913E-14,2.283637890890156E-9,1.7364678803639916E-11,2.257287727700245E-5,0.9924310266703379,0.007546400452385007
1.4311123544896267+1.4360000639107189E-5i,1.4311123544896267+1.4360000639107189E-5i,1.4311123544896267,1.4360000639107189E-5,1.0034153219387413E-5,11.239930148315505,-9.796222656575787E-4,1.825810431100745E-13,6.7128388416346805E-9,8.73115804829879E-12,2.7162714026934914E-5,0.99867389657915,0.0012989407068231666
1.4076830824214097+1.5166888844695937E-5i,1.4076830824214097+1.5166888844695937E-5i,1.4076830824214097,1.5166888844695937E-5,1.0774363231393525E-5,11.055917075794339,-0.001034667225052537,1.388933269466444E-13,4.918123363175333E-9,6.887375480356124E-12,2.8200833949228136E-5,0.9985733897785203,0.0013984093875303411
1.399618079743388+1.860919571349124E-5i,1.399618079743388+1.860919571349124E-5i,1.399618079743388,1.860919571349124E-5,1.3295909779118552E-5,10.9925746928832,-0.00126949732977512,2.7229593045738733E-13,7.854123386320828E-9,5.622541781933902E-11,3.4421561469421955E-5,0.9928579926866561,0.007107585751874406
1.4361119411118644+1.868890719480648E-5i,1.4361119411118644+1.868890719480648E-5i,1.4361119411118644,1.868890719480648E-5,1.3013544877523394E-5,11.279196809824025,-0.001274935152786931,1.8287324312959332E-13,5.145634069275455E-9,1.1358148236675108E-11,3.545996401351807E-5,0.9977621427861749,0.002202397249811374
1.3948216156424087+3.025486421281772E-5i,1.3948216156424087+3.025486421281772E-5i,1.3948216156424087,3.025486421281772E-5,2.1690848402061316E-5,10.954903351926092,-0.0020639510660332124,8.193674831896227E-14,1.4616328108918692E-9,1.2267518203353677E-11,5.558869344474161E-5,0.9916217072363451,0.008322704070210185
1.3922502872072573+6.125279284499272E-5i,1.3922502872072573+6.125279284499272E-5i,1.3922502872072573,6.125279284499272E-5,4.399553256179312E-5,10.934708185621496,-0.0041785931082240395,2.2113707726608008E-13,1.9535817694414773E-9,1.0570560413138968E-11,1.1257384656669685E-4,0.9945062903403697,0.005381135813063554
1.423470887645319+7.820146787398252E-5i,1.423470887645319+7.820146787398252E-5i,1.423470887645319,7.820146787398252E-5,5.493717402492301E-5,11.179914208063689,-0.005334811680149208,1.7352585496461187E-13,1.178764273741523E-9,3.674951979665934E-12,1.4673091824296788E-4,0.9967457835800422,0.0031074855017147918
1.3980611203032969+9.824312031669372E-5i,1.3980611203032969+9.824312031669372E-5i,1.3980611203032969,9.824312031669372E-5,7.027097663325389E-5,10.980346362035883,-0.006702029514386794,1.6080528784827856E-13,8.851942194053727E-10,3.3634857113838375E-12,1.8094063076853106E-4,0.9960344125187314,0.0037846468504999977
1.432481832887665+1.213483285768737E-4i,1.432481832887665+1.213483285768737E-4i,1.432481832887665,1.213483285768737E-4,8.471194942294938E-5,11.250686006501823,-0.00827823950442583,1.720365266193351E-13,7.500241709612784E-10,1.9695861860692753E-12,2.2872155057599694E-4,0.9971527251960931,0.0026185532533310207
1.4447645946307663+2.5150740674305643E-4i,1.4447645946307663+2.5150740674305643E-4i,1.4447645946307663,2.5150740674305643E-4,1.740819284177803E-4,11.347154591646627,-0.017157537928815414,1.7645229022109709E-13,3.689387068724754E-10,1.8295013012587453E-12,4.756835965785332E-4,0.994592310375971,0.004932006027450335
1.4164283988290265+3.141030354006606E-4i,1.4164283988290265+3.141030354006606E-4i,1.4164283988290265,3.141030354006606E-4,2.217570868109763E-4,11.124602630243057,-0.021427737708530403,1.5332514926643054E-13,2.6136202133170787E-10,2.5891678555873356E-12,5.805472490751924E-4,0.9896158798658063,0.009803572885118614
1.4031184547369537+4.925427892608809E-4i,1.4031184547369537+4.925427892608809E-4i,1.4031184547369537,4.925427892608809E-4,3.5103436035499884E-4,11.02006657379469,-0.033600686746142555,1.5554397191850454E-13,1.7144942139319824E-10,1.865416432736588E-12,8.966601116942337E-4,0.9883498244270302,0.010753515461275545
1.4572672049315973+0.016221716113683577i,1.4572672049315973+0.016221716113683577i,1.4572672049315973,0.016221716113683577,0.011131600339860121,11.445349863326093,-1.106626294212252,1.8559428399700158E-13,7.705043912460284E-12,1.9671151099391133E-12,0.018827239658815064,0.7816227159448912,0.1995500443962938
1.7283182726091417+0.03219972348512572i,1.7283182726091417+0.03219972348512572i,1.7283182726091417,0.03219972348512572,0.01863066773952211,13.574179970734702,-2.1966270661675664,1.6015429702097167E-13,3.3034499959435285E-12,2.23881565926307E-12,0.028085321383320715,0.5793066844635114,0.392607994153168
