% Model,Untitled.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 22 2026, 00:38"
% Table,Ag strip w0800 modes at 500 nm -
% Effective mode index,Effective mode index (1),Re(neff) (1),Im(neff) (1),Im/Re (1),Propagation constant beta (rad/um),Attenuation constant (dB/um)
1.444387953099731+2.4176621390970185E-7i,1.444387953099731+2.4176621390970185E-7i,1.444387953099731,2.4176621390970185E-7,1.6738315588333388E-7,18.150714329566853,-2.6388808433301248E-5
1.4462989930434356+7.208362307315227E-7i,1.4462989930434356+7.208362307315227E-7i,1.4462989930434356,7.208362307315227E-7,4.984005618469475E-7,18.17472916575829,-7.86793526562057E-5
1.4336229411179948+1.5745306910836792E-6i,1.4336229411179948+1.5745306910836792E-6i,1.4336229411179948,1.5745306910836792E-6,1.09828787327845E-6,18.015437199336336,-1.7186019546502597E-4
1.4395605670183766+1.90363492800742E-6i,1.4395605670183766+1.90363492800742E-6i,1.4395605670183766,1.90363492800742E-6,1.3223722374878855E-6,18.090051606969954,-2.0778195856965918E-4
1.4390735088967452+2.543399684758906E-6i,1.4390735088967452+2.543399684758906E-6i,1.4390735088967452,2.543399684758906E-6,1.7673869118116031E-6,18.0839310541028,-2.7761235106030756E-4
1.4432690558035333+3.098395083281043E-6i,1.4432690558035333+3.098395083281043E-6i,1.4432690558035333,3.098395083281043E-6,2.1467896583953474E-6,18.13665385146343,-3.381901589190782E-4
1.4298639295089204+3.692254919599172E-6i,1.4298639295089204+3.692254919599172E-6i,1.4298639295089204,3.692254919599172E-6,2.5822421584319972E-6,17.96820006631303,-4.030100243725855E-4
1.4480680190591133+3.856312997821725E-6i,1.4480680190591133+3.856312997821725E-6i,1.4480680190591133,3.856312997821725E-6,2.663074487569566E-6,18.19695940229774,-4.209169813792724E-4
1.4352923162727558+5.432581171999212E-6i,1.4352923162727558+5.432581171999212E-6i,1.4352923162727558,5.432581171999212E-6,3.7849998292381517E-6,18.03641518622547,-5.929668233121696E-4
1.4358266703374782+6.1157485060120085E-6i,1.4358266703374782+6.1157485060120085E-6i,1.4358266703374782,6.1157485060120085E-6,4.259391911542189E-6,18.04313007744206,-6.675346118117081E-4
1.4449536508940095+6.68912172515604E-6i,1.4449536508940095+6.68912172515604E-6i,1.4449536508940095,6.68912172515604E-6,4.629298469897221E-6,18.15782309770548,-7.301183607818115E-4
1.4425150851401185+1.1829756924777654E-5i,1.4425150851401185+1.1829756924777654E-5i,1.4425150851401185,1.1829756924777654E-5,8.200785590833924E-6,18.127179176674602,-0.0012912192495890726
1.4373876245323014+2.9596809107022324E-5i,1.4373876245323014+2.9596809107022324E-5i,1.4373876245323014,2.9596809107022324E-5,2.0590694258031172E-5,18.062745606366246,-0.0032304949195833695
1.432554917766016+3.080940310278852E-5i,1.432554917766016+3.080940310278852E-5i,1.432554917766016,3.080940310278852E-5,2.150661222177363E-5,18.00201602207058,-0.003362849685554088
1.9521233511408924+0.08332291136813767i,1.9521233511408924+0.08332291136813767i,1.9521233511408924,0.08332291136813767,0.04268322046321546,24.53110551538126,-9.094704800315727
1.8558521119747218+0.0889761527308357i,1.8558521119747218+0.0889761527308357i,1.8558521119747218,0.0889761527308357,0.04794355765565852,23.32132544451555,-9.711756707341792
1.688717817838896+0.09828926440140175i,1.688717817838896+0.09828926440140175i,1.688717817838896,0.09828926440140175,0.058203486315544145,21.221053962035448,-10.728283854862497
1.4343544129945025+0.10974904152605179i,1.4343544129945025+0.10974904152605179i,1.4343544129945025,0.10974904152605179,0.07651459118595987,18.024629146030513,-11.979119769196108
2.5333293665091308+0.17536708780110097i,2.5333293665091308+0.17536708780110097i,2.5333293665091308,0.17536708780110097,0.0692239588422538,31.834755707793477,-19.141336627034253
2.5352630130533984+0.1761875658638249i,2.5352630130533984+0.1761875658638249i,2.5352630130533984,0.1761875658638249,0.06949478809759844,31.85905462690592,-19.230891896444373
