lambda_nm,width_nm,neff_real,neff_imag,ratio_imag_real
450,infinity,2.41434103,0.204267122,0.0846057453
475,infinity,2.22222778,0.133221794,0.0599496571
500,infinity,2.08934003,0.101337877,0.0485023385
525,infinity,1.98278662,0.0790927916,0.0398897142
550,infinity,1.90879924,0.0622460944,0.0326100791
575,infinity,1.84821854,0.0498194792,0.026955405
600,infinity,1.80086563,0.0434078819,0.0241038982
625,infinity,1.7611329,0.0392789637,0.0223032365
650,infinity,1.72371535,0.0347831442,0.0201791695
675,infinity,1.69355706,0.0298453914,0.0176229028
700,infinity,1.66930315,0.0261701951,0.0156773172
725,infinity,1.64938029,0.0237117086,0.0143761319
750,infinity,1.63153201,0.0204880311,0.0125575416
775,infinity,1.61563432,0.0177430091,0.01098207
800,infinity,1.60087094,0.015542552,0.00970881015
450,300,2.31444647,0.207731005,0.089754076
475,300,2.10979551,0.133867536,0.0634504791
500,300,1.96721155,0.099750475,0.0507065317
525,300,1.85403998,0.0754123623,0.0406746149
550,300,1.77570749,0.0571227839,0.0321690279
575,300,1.71309613,0.0436397503,0.0254741982
600,300,1.66519391,0.0361137155,0.0216873934
625,300,1.62645437,0.0308671815,0.0189782032
650,300,1.59231436,0.0255894245,0.0160705858
675,300,1.56607081,0.0205117448,0.0130975845
700,300,1.54587266,0.0167934294,0.0108633977
725,300,1.53001854,0.0142041134,0.00928362174
750,300,1.51675229,0.0114251017,0.00753260886
775,300,1.50570694,0.00919107838,0.00610416155
800,300,1.49623827,0.0074522161,0.00498063461
450,400,2.3561432,0.207034141,0.0878699309
475,400,2.15540211,0.134554537,0.0624266519
500,400,2.01513048,0.101571064,0.0504042123
525,400,1.90248214,0.0782209997,0.0411152347
550,400,1.82360079,0.0604967077,0.0331743153
575,400,1.75931878,0.0473269766,0.0269007397
600,400,1.70917877,0.0401408802,0.0234854779
625,400,1.66764745,0.0351907193,0.0211020137
650,400,1.62989114,0.0299703402,0.0183879398
675,400,1.60010494,0.0246462673,0.0154029068
700,400,1.57663049,0.0206654246,0.0131073354
725,400,1.55778234,0.0178711566,0.0114721782
750,400,1.54160684,0.0146842445,0.00952528505
775,400,1.52781868,0.0120552595,0.00789050409
800,400,1.51571327,0.00996868483,0.00657689355
450,500,2.37629739,0.206358042,0.0868401585
475,500,2.17804489,0.134461046,0.0617347451
500,500,2.0396622,0.101952454,0.0499849701
525,500,1.92822897,0.0790615476,0.0410021573
550,500,1.8500494,0.0616657165,0.0333319297
575,500,1.78592354,0.0487472533,0.0272952633
600,500,1.73557076,0.0418310498,0.0241021863
