Analytic EDP-like width sweep for Ag strip on n=1.45 substrate
Geometry: air | 20 nm Ag strip | substrate n=1.45.
The W=infinity reference is the planar Ag film branch.

lambda=500 nm:
width_nm  n_real     n_imag     ratio
     300  1.967212  0.099750  0.050707
     400  2.015130  0.101571  0.050404
     500  2.039662  0.101952  0.049985
     600  2.053799  0.101991  0.049660
     700  2.062667  0.101942  0.049422
     800  2.068589  0.101873  0.049248
     900  2.072737  0.101807  0.049117
    1000  2.075756  0.101749  0.049018
    1200  2.079762  0.101656  0.048879
    1500  2.083116  0.101563  0.048755
    2000  2.085784  0.101477  0.048652
     inf  2.089340  0.101338  0.048502
