sweep,parameter,comsol_re,comsol_im,femwell_re,femwell_im,delta_re_percent,delta_im_percent,mesh_nodes,comsol_mode_index
lambda_w800,450,2.395771234,0.206489496,2.393452344,0.206076656,-0.0968,-0.200,3619,
lambda_w800,500,2.060105525,0.103398112,2.059192604,0.103177391,-0.0443,-0.213,3619,
lambda_w800,550,1.866640754,0.064447901,1.866963480,0.064216505,0.0173,-0.359,3619,
lambda_w800,600,1.743293682,0.045866257,1.744936648,0.045591522,0.0942,-0.599,3619,
lambda_w800,650,1.647488803,0.037749836,1.650640441,0.037408339,0.1913,-0.905,3619,
lambda_w800,700,1.571572205,0.029193648,1.576306425,0.028867892,0.3012,-1.116,3619,
lambda_w800,750,1.510739162,0.023102707,1.516853023,0.022892171,0.4047,-0.911,3619,
lambda_w800,800,1.457267205,0.016221716,1.464205583,0.016469718,0.4761,1.529,3619,
width_500nm,W=400,1.817902998,0.093951227,1.951648197,0.113781959,,,2103,1
width_500nm,W=800,1.952123351,0.083322911,2.059192604,0.103177391,,,3619,2
width_500nm,W=1200,1.970851862,0.082076542,2.075224011,0.101925773,,,5441,3
width_500nm,W=2000,1.979389720,0.081584740,2.082550064,0.101370848,,,10124,5
