lambda_nm,R_Au,T_Au,P_Au,lambda_nm_Cu,R_Cu,T_Cu,P_Cu
250.0,0.055970850415647276,0.09988185066269688,0.8441472989216559,210.0,0.05535116379411524,0.05078275662444902,0.8938660795814358
255.0,0.05951111871156483,0.10100499369591269,0.8394838875925226,215.0,0.056829360012265386,0.046921701025361966,0.8962489389623727
260.0,0.06284452617197249,0.10277022706748085,0.8343852467605467,220.0,0.05831787183426849,0.045983149391279406,0.895698978774452
265.0,0.06606362085452332,0.10489826898441779,0.8290381101610589,225.0,0.05959996041382994,0.04695841768779942,0.8934416218983706
270.0,0.0691146915073887,0.10733787986734636,0.823547428625265,230.0,0.06052588737759714,0.04940611497855625,0.8900679976438466
275.0,0.07196095479910214,0.11007968767085885,0.817959357530039,235.0,0.060934163139370376,0.053512770961382974,0.8855530658992466
280.0,0.07452736733234361,0.11642848868889666,0.8090441439787597,240.0,0.061038922770694996,0.059229287143425055,0.87973179008588
285.0,0.07681080846451828,0.12295525850727584,0.8002339330282059,245.0,0.060691024278577706,0.06526072249927116,0.8740482532221511
290.0,0.07873877052518781,0.1296994761012132,0.7915617533735989,250.0,0.05751966787465111,0.07328459688494231,0.8691957352404066
295.0,0.0802308819402639,0.13668716967787728,0.7830819483818587,255.0,0.05959427102344989,0.08486359231511584,0.8555421366614342
300.0,0.08065614107593906,0.14432627625618846,0.7750175826678725,260.0,0.06162363083845204,0.09551765372155499,0.842858715439993
305.0,0.08019570461679933,0.15169327867933557,0.7681110167038651,265.0,0.0639143668279714,0.10574317937529441,0.8303424537967342
310.0,0.07904382061978205,0.15915554910541999,0.7618006302747979,270.0,0.06612684496913948,0.11528707174199836,0.8185860832888622
315.0,0.07727805173381674,0.16664186203587728,0.756080086230306,275.0,0.06775876859094766,0.123556197038197,0.8086850343708554
320.0,0.07433277326176567,0.1719612386221115,0.7537059881161228,280.0,0.06873700160101105,0.1299923665081653,0.8012706318908236
325.0,0.0711635793893702,0.17715512800195965,0.7516812926086701,285.0,0.06902182951957989,0.135711396340866,0.795266774139554
330.0,0.06801651162508292,0.18220980351181895,0.7497736848630981,290.0,0.06838897388019692,0.1390712011797658,0.7925398249400373
335.0,0.06511400974487241,0.18713893428966616,0.7477470559654615,295.0,0.06738712518633105,0.13968499049884595,0.792927884314823
340.0,0.06282821202701676,0.18947894581192362,0.7476928421610597,300.0,0.06627625015519337,0.13770711579742892,0.7960166340473778
345.0,0.06108816090562949,0.19166765693170773,0.7472441821626628,305.0,0.06498056238487544,0.13594499890034928,0.7990744387147752
350.0,0.05992809077321411,0.19370063438218063,0.7463712748446052,310.0,0.06363084448005682,0.13415076719628008,0.8022183883236631
355.0,0.05966507062313717,0.19422318889859536,0.7461117404782674,315.0,0.06261512249352134,0.13273954694386417,0.8046453305626146
360.0,0.060028196572633245,0.19373873503772385,0.7462330683896429,320.0,0.06175562971755866,0.131465134392097,0.8067792358903443
365.0,0.06124074514093056,0.1921292306993181,0.7466300241597513,325.0,0.060435679283808025,0.1301491312205935,0.8094151894955985
370.0,0.06107016965918525,0.1953087695324522,0.7436210608083627,330.0,0.05936024198410736,0.1287047003208209,0.8119350576950717
375.0,0.060916207190052564,0.19776094712453166,0.7413228456854158,335.0,0.058931737690424466,0.12906838177903351,0.811999880530542
380.0,0.0609764918945074,0.19964307079008092,0.7393804373154117,340.0,0.058845495310958826,0.1303101960619488,0.8108443086270923
385.0,0.061287951034246516,0.20110729218388884,0.7376047567818647,345.0,0.0589814958529099,0.1310362839963015,0.8099822201507886
