lambda_nm_HfN,P_HfN,lambda_nm_TiN,P_TiN
350.0,0.4058944194282178,350.0,0.5161317369860832
355.0,0.3987043955156624,355.0,0.5075313097525496
360.0,0.392446403935813,360.0,0.5055389478740786
365.0,0.3989913516584572,365.0,0.5038040448477215
370.0,0.4051452419344588,370.0,0.4987637680391915
375.0,0.4161248755837982,375.0,0.49671070381458027
380.0,0.43236618125107185,380.0,0.49703465275432396
385.0,0.4456298358141081,385.0,0.4996324819236854
390.0,0.45637524971735327,390.0,0.5039145291091964
395.0,0.4580258069916679,395.0,0.5078587910411025
400.0,0.45159733192233875,400.0,0.5081990827199434
405.0,0.4495641905759261,405.0,0.5031407077614731
410.0,0.4505577706324962,410.0,0.49431590186676316
415.0,0.4548344451867289,415.0,0.487956481179596
420.0,0.4617402336196811,420.0,0.4895361776896972
425.0,0.4702218160626409,425.0,0.49317770916908416
430.0,0.4803650850809272,430.0,0.4985902212766561
435.0,0.4918709507506342,435.0,0.5054424660337689
440.0,0.5045362545926306,440.0,0.5134615491994242
445.0,0.5131316729600756,445.0,0.5224397532536835
450.0,0.5220755268593569,450.0,0.5322201389018297
455.0,0.5313097492672929,455.0,0.5426815440131756
460.0,0.540787907393447,460.0,0.5537273386216877
465.0,0.5655686942278648,465.0,0.5652779537308762
470.0,0.5912123974823569,470.0,0.5772664700318713
475.0,0.617525726982701,475.0,0.5896368666289918
480.0,0.6442870793655124,480.0,0.6023453869502173
485.0,0.6510204879553108,485.0,0.6153676214032777
490.0,0.6577856584967778,490.0,0.6287217252201902
495.0,0.6647952013790653,495.0,0.6425646727734373
500.0,0.6744824144487458,500.0,0.6588927311221227
505.0,0.7012841031001164,505.0,0.6705894640086931
510.0,0.7263307466373323,510.0,0.6809577969021305
515.0,0.7495006769179567,515.0,0.690196577605506
520.0,0.7704270075796084,520.0,0.6983431202022472
525.0,0.7805588626852094,525.0,0.7054309092088848
530.0,0.7891441568172061,530.0,0.7114964370698895
535.0,0.7962500298105907,535.0,0.7165799993874811
540.0,0.8019588204336412,540.0,0.7207251695259167
545.0,0.8074645219503497,545.0,0.7239779036009145
550.0,0.8119415842739137,550.0,0.7263855775648944
555.0,0.8154319391604217,555.0,0.727996082742387
560.0,0.8179868257228227,560.0,0.728857040746293
565.0,0.8202681352139473,565.0,0.7290151661720425
570.0,0.8200725915060143,570.0,0.7285157853754369
575.0,0.8178161440746236,575.0,0.7274025058437156
580.0,0.8138358744338157,580.0,0.7257170211434808
585.0,0.8102532240382333,585.0,0.7234990303583306
590.0,0.8066021349567791,590.0,0.7207862478015818
595.0,0.8028847404062607,595.0,0.7176144781217947
600.0,0.7991033625959462,600.0,0.7140177331992976
605.0,0.7926328634790487,605.0,0.7100283699346027
610.0,0.7848080491340834,610.0,0.7056772316475137
615.0,0.7757287413015644,615.0,0.7009937798844239
620.0,0.7654731868572044,620.0,0.6959738990735697
625.0,0.7566042009812317,625.0,0.689156508667806
630.0,0.7474858611627326,630.0,0.6822097565218912
635.0,0.7381570906065502,635.0,0.6751562981967765
640.0,0.7286579882050195,640.0,0.6680170842040317
645.0,0.7202140513040138,645.0,0.6608113944794528
650.0,0.7115017008122909,650.0,0.6535568854347953
655.0,0.702555425716268,655.0,0.6462696595285753
660.0,0.6934108292372213,660.0,0.6389643671047944
665.0,0.6770780122771616,665.0,0.6316543510400032
670.0,0.6607317374637969,670.0,0.6243518472166967
675.0,0.6444962893450504,675.0,0.6170682593618801
680.0,0.6284745539436258,680.0,0.6098145380246406
685.0,0.6237801032952854,685.0,0.6026017159461852
690.0,0.6191606031498211,690.0,0.5954416981011412
695.0,0.6146221865054298,695.0,0.5883485040917945
700.0,0.6101751211817947,700.0,0.5813403936356105
705.0,0.5939309032903501,705.0,0.5744439189471593
710.0,0.5782271474554532,710.0,0.5677028429938618
715.0,0.5631690812466172,715.0,0.5612023221730225
720.0,0.548979733739448,720.0,0.55516360335318
725.0,0.54352925311605,725.0,0.5519392858155243
730.0,0.5356675680938083,730.0,0.5466712106498383
735.0,0.5274597202940143,735.0,0.5406084824675087
740.0,0.5193753976316557,740.0,0.5345189546698066
745.0,0.5111563026220691,745.0,0.528479729240606
750.0,0.503082452338722,750.0,0.5225279260144171
755.0,0.4951715115448004,755.0,0.5166900162425035
760.0,0.487440947077611,760.0,0.5109890500273728
765.0,0.47481497232381714,765.0,0.5054471051743639
770.0,0.46280757483474944,770.0,0.5000860935148687
775.0,0.4514447658786086,775.0,0.49492771612929737
780.0,0.4407607933937553,780.0,0.489992741983556
785.0,0.4385885984890098,785.0,0.4852995562597732
790.0,0.4366325525844392,790.0,0.4808618149665046
795.0,0.43493350393058494,795.0,0.4766849966749103
800.0,0.4335304677227996,800.0,0.472761676165279
805.0,0.42626700545570206,805.0,0.46906551509082833
810.0,0.41984843856992926,810.0,0.46554435534759603
815.0,0.4143678805862965,815.0,0.46211348685374726
820.0,0.40990495993101506,820.0,0.4586511215429168
825.0,0.4089678452209886,825.0,0.45499907423508335
830.0,0.4086426657493155,830.0,0.45127562214125827
835.0,0.40858367731085943,835.0,0.447057640599147
840.0,0.4082258886179373,840.0,0.44203333006153944
845.0,0.4069568594112787,845.0,0.4361149741884486
850.0,0.403782584205153,850.0,0.429302332144175
855.0,0.398086000118944,855.0,0.4216834740208578
860.0,0.38967240292960525,860.0,0.41341585657769664
865.0,0.3788733924063532,865.0,0.4046950652354442
870.0,0.3662999356290303,870.0,0.39572205285689266
875.0,0.35252428404213276,875.0,0.3866776325142727
880.0,0.33818030474687044,880.0,0.3777079857651081
885.0,0.3256799912864531,885.0,0.36892038746766154
890.0,0.31404244099951195,890.0,0.3603859771859662
895.0,0.3033729122705826,895.0,0.35214611661463213
