tag,scheme,state,box,scale,elements,N,dir,variant,T_guided,R_guided,P_trans,P_refl,balance,t_re,t_im,r_re,r_im,eta_conj,eta_unconj,n1_re,n1_im,n2_re,n2_im,rho1,rho2,biorth1,biorth2
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,5,12,1,0.986630,0.000824,0.995188,0.008829,-4.02e-03,5.208428e-01,-9.032237e-01,-2.817922e-02,5.506526e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,5,12,2,0.998830,0.000392,1.002422,0.001075,-3.50e-03,5.221958e-01,-9.098589e-01,1.640158e-02,-1.110155e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,5,21,1,0.992230,0.000439,0.996341,0.000999,2.66e-03,4.710352e-01,8.238092e-01,-1.801379e-02,1.072003e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,5,21,2,0.980131,0.000167,0.992523,0.005183,2.29e-03,4.664844e-01,8.197241e-01,1.289444e-02,-5.192226e-04,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,10,12,1,0.971151,0.001278,0.975195,0.033948,-9.14e-03,5.257545e-01,-8.908520e-01,-3.268875e-02,1.445653e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,10,12,2,0.998636,0.000319,1.000037,0.003457,-3.49e-03,5.240576e-01,-9.086708e-01,1.414545e-02,-1.090607e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,10,21,1,0.992007,0.000438,0.998257,0.000982,7.61e-04,4.692454e-01,8.247077e-01,-1.897336e-02,8.857743e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,10,21,2,0.964696,0.000026,1.000686,0.002946,-3.63e-03,4.545720e-01,8.178697e-01,5.046573e-04,5.035158e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,15,12,1,0.981697,0.001201,0.986011,0.031645,-1.77e-02,5.351751e-01,-8.917635e-01,-2.743613e-02,2.117527e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
sync405_a_A_N300_s1.00_g1.60,sync405,a,A,1.00,17837,15,12,2,0.998010,0.000261,0.999189,0.003689,-2.88e-03,5.240996e-01,-9.082670e-01,1.261185e-02,-1.009134e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.999999,9.967e-01,1.067726,6.559e-01
