tag,scheme,state,box,scale,elements,N,dir,variant,T_guided,R_guided,P_trans,P_refl,balance,t_re,t_im,r_re,r_im,eta_conj,eta_unconj,n1_re,n1_im,n2_re,n2_im,C1,C2,biorth1,biorth2
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,5,12,1,0.986631,0.000824,0.005009,0.000044,9.95e-01,-3.095378e-01,9.956291e-01,-2.817960e-02,5.506219e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,5,12,2,0.998830,0.000392,0.005046,0.000005,9.95e-01,-3.093990e-01,1.002400e+00,1.640140e-02,-1.110110e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,5,21,1,0.992229,0.000439,0.004552,0.000005,9.95e-01,-2.784068e-01,-9.072071e-01,-1.801357e-02,1.071962e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,5,21,2,0.980130,0.000167,0.004534,0.000024,9.95e-01,-2.748653e-01,-9.022214e-01,1.289477e-02,-5.189574e-04,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,10,12,1,0.971152,0.001278,0.004909,0.000171,9.95e-01,-3.170490e-01,9.846398e-01,-3.268917e-02,1.445616e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,10,12,2,0.998637,0.000319,0.005034,0.000017,9.95e-01,-3.114765e-01,1.001650e+00,1.414526e-02,-1.090569e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,10,21,1,0.992006,0.000438,0.004561,0.000004,9.95e-01,-2.764632e-01,-9.076901e-01,-1.897334e-02,8.857449e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,10,21,2,0.964695,0.000026,0.004572,0.000013,9.95e-01,-2.636520e-01,-8.977937e-01,5.049070e-04,5.035275e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,15,12,1,0.981698,0.001201,0.004963,0.000159,9.95e-01,-3.260388e-01,9.876002e-01,-2.743629e-02,2.117493e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,15,12,2,0.998011,0.000261,0.005030,0.000019,9.95e-01,-3.116062e-01,1.001265e+00,1.261165e-02,-1.009097e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,15,21,1,0.991405,0.000397,0.004559,0.000004,9.95e-01,-2.761851e-01,-9.074743e-01,-1.808530e-02,8.337937e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,15,21,2,0.975100,0.000189,0.004609,0.000017,9.95e-01,-2.584304e-01,-9.045456e-01,5.500108e-03,1.261497e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,20,12,1,0.988135,0.000927,0.004982,0.000113,9.95e-01,-3.250635e-01,9.915048e-01,-2.451062e-02,1.807505e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,20,12,2,0.997763,0.000243,0.005025,0.000022,9.95e-01,-3.128231e-01,1.000749e+00,1.249815e-02,-9.309695e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,20,21,1,0.991143,0.000413,0.004562,0.000005,9.95e-01,-2.750081e-01,-9.077004e-01,-1.838050e-02,8.673867e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,20,21,2,0.981551,0.000193,0.004597,0.000015,9.95e-01,-2.611502e-01,-9.069975e-01,8.907746e-03,1.067458e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,30,12,1,0.987789,0.000862,0.004981,0.000110,9.95e-01,-3.242212e-01,9.915883e-01,-2.393990e-02,1.700784e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,30,12,2,0.997608,0.000230,0.005024,0.000023,9.95e-01,-3.124333e-01,1.000785e+00,1.196874e-02,-9.301529e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,30,21,1,0.990972,0.000384,0.004562,0.000005,9.95e-01,-2.753136e-01,-9.075222e-01,-1.785788e-02,8.057194e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,30,21,2,0.981193,0.000157,0.004592,0.000015,9.95e-01,-2.618204e-01,-9.066250e-01,7.937258e-03,9.683401e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,40,12,1,0.987302,0.001187,0.004979,0.000101,9.95e-01,-3.288039e-01,9.898073e-01,-2.714425e-02,2.121911e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,40,12,2,0.996301,0.000189,0.005017,0.000022,9.95e-01,-3.114913e-01,1.000359e+00,1.155466e-02,-7.472052e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,40,21,1,0.989754,0.000418,0.004559,0.000005,9.95e-01,-2.758278e-01,-9.067569e-01,-1.875536e-02,8.132663e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,40,21,2,0.980768,0.000415,0.004585,0.000016,9.95e-01,-2.575286e-01,-9.076413e-01,9.471571e-03,1.804481e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,50,12,1,0.991581,0.001197,0.005002,0.000101,9.95e-01,-3.271363e-01,9.927370e-01,-2.628706e-02,2.249514e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,50,12,2,0.997391,0.000212,0.005021,0.000023,9.95e-01,-3.105475e-01,1.001253e+00,1.332497e-02,-5.900202e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,50,21,1,0.990886,0.000476,0.004563,0.000006,9.95e-01,-2.770043e-01,-9.069645e-01,-1.955297e-02,9.660871e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,50,21,2,0.985142,0.000435,0.004602,0.000016,9.95e-01,-2.602834e-01,-9.090411e-01,1.404213e-02,1.542788e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,60,12,1,0.964170,0.000324,0.005007,0.000034,9.95e-01,-3.207435e-01,9.795240e-01,-1.746228e-02,4.386017e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,60,12,2,0.959389,0.000016,0.005010,0.000018,9.95e-01,-3.098423e-01,9.803433e-01,-3.118625e-03,2.419842e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,60,21,1,0.953414,0.001606,0.004398,0.000182,9.95e-01,-2.669490e-01,-8.910921e-01,-3.741597e-02,1.435286e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,60,21,2,0.958172,0.000937,0.004509,0.000098,9.95e-01,-2.583852e-01,-8.960258e-01,6.046335e-03,3.000207e-02,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
sync405_a_A_N200_s1.00_g1.60,sync405,a,A,1.00,17837,80,12,1,0.966197,0.000270,0.005001,0.000035,9.95e-01,-3.195547e-01,9.810510e-01,-1.607827e-02,3.335742e-03,0.956257,0.959498,1.8898484,4.7323e-06,1.8880955,2.45895e-02,0.005034,0.000e+00,0.004568,0.000e+00
