side,rank,re_neff,im_neff,tm_fraction,guided
1,0,1.8863923,6.5136e-16,0.5530,1
1,1,1.1311288,5.4194e-16,0.1190,0
1,2,1.0586360,-4.1724e-16,0.5084,0
1,3,2.0288858,2.4813e-15,0.0470,0
1,4,0.8893382,-2.9787e-15,0.7186,0
1,5,0.6402017,-6.5760e-15,0.0972,0
1,6,0.2859031,-4.9512e-14,0.4027,0
1,7,0.0000000,3.0144e-01,0.0735,0
1,8,-0.0000000,3.4039e-01,0.0270,0
1,9,-0.0000000,5.7273e-01,0.6441,0
1,10,-0.0000000,7.6639e-01,0.0187,0
1,11,-0.0000000,1.0981e+00,0.2087,0
1,12,-0.0000000,1.1476e+00,0.1850,0
1,13,-0.0430997,1.2519e+00,0.2578,0
1,14,0.0430997,1.2519e+00,0.2578,0
1,15,-0.0000000,1.3072e+00,0.0319,0
1,16,0.0251427,1.5895e+00,0.2172,0
1,17,-0.0251427,1.5895e+00,0.2172,0
1,18,-0.0056196,1.7310e+00,0.3384,0
1,19,0.0056196,1.7310e+00,0.3384,0
1,20,0.0000000,1.8200e+00,0.2870,0
1,21,-0.0000000,1.9277e+00,0.0612,0
1,22,0.0359585,1.9903e+00,0.3626,0
1,23,-0.0359585,1.9903e+00,0.3626,0
1,24,-0.0000000,2.0780e+00,0.2051,0
1,25,-0.0000000,2.2144e+00,0.0629,0
1,26,0.0000000,2.2589e+00,0.3288,0
1,27,-0.0564508,2.3139e+00,0.2354,0
1,28,0.0564508,2.3139e+00,0.2354,0
1,29,0.0000000,2.3446e+00,0.2243,0
1,30,0.0576404,2.4500e+00,0.2286,0
1,31,-0.0576404,2.4500e+00,0.2286,0
1,32,-0.1553205,2.5516e+00,0.2189,0
1,33,0.1553205,2.5516e+00,0.2189,0
1,34,-0.0000000,2.5580e+00,0.3476,0
1,35,0.0165246,2.6875e+00,0.2434,0
1,36,-0.0165246,2.6875e+00,0.2434,0
1,37,-0.0000000,2.7269e+00,0.3239,0
1,38,-0.0000000,2.8448e+00,0.0574,0
1,39,0.0000000,2.8923e+00,0.4176,0
1,40,-0.0543204,2.9066e+00,0.1750,0
1,41,0.0543204,2.9066e+00,0.1750,0
1,42,0.0000000,2.9597e+00,0.2377,0
1,43,-0.0000000,3.0053e+00,0.1758,0
1,44,0.0000000,3.0663e+00,0.0513,0
1,45,0.0000000,3.1081e+00,0.1721,0
1,46,-0.0030230,3.1812e+00,0.3009,0
1,47,0.0030230,3.1812e+00,0.3009,0
1,48,0.1014835,3.2018e+00,0.1599,0
1,49,-0.1014835,3.2018e+00,0.1599,0
1,50,0.0000000,3.3011e+00,0.3785,0
1,51,-0.0357441,3.3360e+00,0.1749,0
1,52,0.0357441,3.3360e+00,0.1749,0
1,53,-0.0147461,3.4020e+00,0.1993,0
1,54,0.0147461,3.4020e+00,0.1993,0
1,55,-0.0000000,3.4698e+00,0.4401,0
1,56,0.0000000,3.5846e+00,0.4092,0
1,57,-0.0000000,3.5937e+00,0.2664,0
1,58,0.0000000,3.5969e+00,0.2639,0
1,59,-0.0000000,3.6291e+00,0.1051,0
1,60,0.0000000,3.6970e+00,0.3602,0
1,61,-0.0000000,3.7533e+00,0.3453,0
1,62,0.0135381,3.7549e+00,0.0604,0
1,63,-0.0135381,3.7549e+00,0.0604,0
1,64,-0.0000000,3.7580e+00,0.2939,0
1,65,0.0000000,3.8223e+00,0.2453,0
1,66,0.0000000,3.8810e+00,0.0324,0
1,67,-0.0000000,3.9147e+00,0.3178,0
1,68,0.0000000,3.9545e+00,0.1698,0
1,69,-0.0000000,4.0117e+00,0.0659,0
1,70,-0.0000000,4.0361e+00,0.0994,0
1,71,0.0000000,4.0484e+00,0.3003,0
1,72,0.0000000,4.0733e+00,0.2168,0
1,73,0.0034489,4.1124e+00,0.3459,0
1,74,-0.0034489,4.1124e+00,0.3459,0
1,75,0.0000000,4.1670e+00,0.2631,0
1,76,-0.0188330,4.2309e+00,0.1356,0
1,77,0.0188330,4.2309e+00,0.1356,0
1,78,-0.0000000,4.3163e+00,0.2870,0
1,79,0.0000000,4.3504e+00,0.1378,0
1,80,-0.0000000,4.4516e+00,0.3442,0
1,81,-0.2434000,4.4545e+00,0.1786,0
1,82,0.2434000,4.4545e+00,0.1786,0
1,83,0.0033247,4.4849e+00,0.2622,0
1,84,-0.0033247,4.4849e+00,0.2622,0
1,85,0.0065713,4.5160e+00,0.2767,0
1,86,-0.0065713,4.5160e+00,0.2767,0
1,87,0.0122010,4.5629e+00,0.3509,0
1,88,-0.0122010,4.5629e+00,0.3509,0
1,89,0.0000000,4.6170e+00,0.2081,0
1,90,-0.0101667,4.6302e+00,0.3616,0
1,91,0.0101667,4.6302e+00,0.3616,0
1,92,0.0000000,4.6581e+00,0.2369,0
1,93,0.0344027,4.6944e+00,0.1163,0
1,94,-0.0344027,4.6944e+00,0.1163,0
1,95,0.0000000,4.6996e+00,0.3349,0
1,96,-0.0000000,4.7641e+00,0.1248,0
1,97,-0.0080820,4.8347e+00,0.2605,0
1,98,0.0080820,4.8347e+00,0.2605,0
1,99,0.0000000,4.8563e+00,0.2225,0
1,100,0.0063027,4.8977e+00,0.3020,0
1,101,-0.0063027,4.8977e+00,0.3020,0
1,102,-0.0000000,4.9316e+00,0.3102,0
1,103,-0.0000000,4.9548e+00,0.1645,0
1,104,-0.0000000,5.0216e+00,0.1776,0
1,105,0.0000000,5.0425e+00,0.3091,0
1,106,0.0000000,5.0445e+00,0.3194,0
1,107,-0.0000000,5.0895e+00,0.1786,0
1,108,0.0000000,5.1154e+00,0.2934,0
