side,rank,re_neff,im_neff,tm_fraction,guided
1,0,1.2702589,2.9717e-06,0.2047,0
1,1,1.9303586,4.8171e-06,0.5729,1
1,2,1.0655342,9.4123e-07,0.3299,0
1,3,1.0429603,1.4048e-06,0.3487,0
1,4,0.8126034,7.6238e-07,0.6877,0
1,5,0.2829744,3.3145e-06,0.0038,0
1,6,0.0000017,1.6516e-01,0.2873,0
1,7,0.0000050,2.0480e-01,0.1413,0
1,8,0.0000013,6.8855e-01,0.0563,0
1,9,-0.0000128,9.2773e-01,0.4741,0
1,10,0.0000176,9.3809e-01,0.4170,0
1,11,0.0000016,1.0729e+00,0.3327,0
1,12,-0.0000006,1.1602e+00,0.3338,0
1,13,0.0897783,1.2658e+00,0.3843,0
1,14,-0.0897757,1.2658e+00,0.3843,0
1,15,0.0000005,1.3307e+00,0.0889,0
1,16,0.0448741,1.7099e+00,0.1545,0
1,17,-0.0448719,1.7099e+00,0.1545,0
1,18,-0.0050721,1.7231e+00,0.2104,0
1,19,0.0050724,1.7231e+00,0.2104,0
1,20,0.0000002,1.8509e+00,0.2360,0
1,21,0.0000003,1.9467e+00,0.5206,0
1,22,0.0000002,1.9721e+00,0.0833,0
1,23,0.0000006,2.1072e+00,0.2776,0
1,24,0.0000003,2.1188e+00,0.2667,0
1,25,0.0064432,2.2495e+00,0.1661,0
1,26,-0.0064432,2.2495e+00,0.1661,0
1,27,-0.0362973,2.3151e+00,0.2609,0
1,28,0.0362973,2.3151e+00,0.2609,0
1,29,0.0000000,2.4209e+00,0.3081,0
1,30,0.0626072,2.4923e+00,0.2544,0
1,31,-0.0626073,2.4923e+00,0.2544,0
1,32,0.0000003,2.5423e+00,0.4169,0
1,33,0.0000009,2.7097e+00,0.2083,0
1,34,0.0132969,2.7215e+00,0.1198,0
1,35,-0.0132965,2.7215e+00,0.1198,0
1,36,-0.1767904,2.7192e+00,0.1566,0
1,37,0.1767916,2.7192e+00,0.1566,0
1,38,-0.0000007,2.8200e+00,0.2310,0
1,39,0.0000007,2.8284e+00,0.2261,0
1,40,-0.0000001,2.9104e+00,0.0430,0
1,41,-0.0069709,2.9496e+00,0.3521,0
1,42,0.0069710,2.9496e+00,0.3521,0
1,43,0.0198726,3.0901e+00,0.1343,0
1,44,-0.0198724,3.0901e+00,0.1343,0
