side,rank,re_neff,im_neff,tm_fraction,guided
1,0,1.8898484,4.7323e-06,0.5781,1
1,1,1.2383554,2.3735e-06,0.1929,0
1,2,1.0586840,1.1612e-06,0.4283,0
1,3,1.0258306,1.3560e-06,0.2889,0
1,4,0.8040286,7.8209e-07,0.6694,0
1,5,0.2639447,3.0152e-06,0.0041,0
1,6,0.0128929,-2.0714e-01,0.2009,0
1,7,0.0128988,2.0715e-01,0.2009,0
1,8,0.0000010,6.9883e-01,0.0420,0
1,9,0.0000000,-9.2578e-01,0.6467,0
1,10,0.0000028,9.9758e-01,0.2141,0
1,11,0.0000033,1.0913e+00,0.3542,0
1,12,0.0000008,-1.1650e+00,0.3482,0
1,13,0.0953270,1.2732e+00,0.4035,0
1,14,0.0953244,-1.2732e+00,0.4035,0
1,15,0.0000006,1.3309e+00,0.0939,0
1,16,0.0000003,1.6930e+00,0.2050,0
1,17,0.0454460,1.7391e+00,0.2239,0
1,18,0.0454440,-1.7391e+00,0.2239,0
1,19,0.0000003,1.7402e+00,0.2475,0
2,0,1.8880955,2.4589e-02,0.5898,1
2,1,1.1585278,2.9044e-03,0.0387,0
2,2,1.0242936,4.1883e-03,0.5713,0
2,3,0.9003988,1.1580e-02,0.2419,0
2,4,0.7944454,3.3633e-03,0.6562,0
2,5,0.0140582,-1.6271e-01,0.1170,0
2,6,0.0353551,1.7536e-01,0.1753,0
2,7,0.0120664,3.6303e-01,0.0323,0
2,8,0.0008154,7.1375e-01,0.0284,0
2,9,0.0009779,8.6182e-01,0.7218,0
2,10,0.0011927,-1.0300e+00,0.2186,0
2,11,0.0395162,-1.1631e+00,0.2184,0
2,12,0.0430426,1.1680e+00,0.2119,0
2,13,0.0433337,-1.3523e+00,0.2081,0
2,14,0.0573865,1.3655e+00,0.2004,0
2,15,0.0049934,1.3765e+00,0.0237,0
2,16,0.0087579,-1.7286e+00,0.2759,0
2,17,0.0086300,1.7298e+00,0.2700,0
2,18,0.0025345,-1.7713e+00,0.1539,0
2,19,0.0188909,1.7990e+00,0.1976,0
