side,rank,re_neff,im_neff,tm_fraction,guided
1,0,1.3175396,3.2641e-07,0.0517,0
1,1,1.2703466,5.1078e-07,0.7187,0
1,2,1.8900972,4.7234e-06,0.5803,1
1,3,1.1979703,2.2590e-06,0.3106,0
1,4,1.1513212,4.3840e-07,0.7015,0
1,5,0.9492154,1.9782e-08,0.0015,0
1,6,0.9171349,2.8243e-07,0.2374,0
1,7,0.8585361,2.8833e-07,0.6651,0
1,8,0.7869062,1.2385e-07,0.0676,0
1,9,0.7520791,2.3509e-07,0.7530,0
1,10,0.6072359,2.1462e-06,0.2272,0
1,11,0.5019802,2.2393e-06,0.2109,0
1,12,0.3103216,9.3017e-07,0.1912,0
1,13,0.2493187,5.6916e-07,0.1393,0
1,14,0.0000009,1.8761e-01,0.6933,0
1,15,0.0000003,4.7029e-01,0.0759,0
1,16,0.0000026,5.6553e-01,0.0738,0
1,17,0.0000001,7.0259e-01,0.0292,0
1,18,0.0000003,7.8096e-01,0.4306,0
1,19,0.0144932,8.4330e-01,0.2914,0
1,20,-0.0144927,8.4330e-01,0.2914,0
1,21,-0.0000002,8.9734e-01,0.3429,0
1,22,0.0000017,9.6873e-01,0.0265,0
1,23,0.0630635,1.1275e+00,0.3361,0
1,24,-0.0630617,1.1275e+00,0.3361,0
1,25,-0.0000000,1.1358e+00,0.3041,0
1,26,-0.0045052,1.2527e+00,0.3422,0
1,27,0.0045052,1.2527e+00,0.3422,0
1,28,0.0000005,1.2964e+00,0.2165,0
1,29,0.0318706,1.3133e+00,0.2025,0
1,30,-0.0318689,1.3133e+00,0.2025,0
1,31,0.0000001,1.4058e+00,0.3246,0
1,32,0.0000019,1.4842e+00,0.3614,0
1,33,0.0101468,1.5687e+00,0.2202,0
1,34,-0.0101466,1.5687e+00,0.2202,0
1,35,0.0124308,1.5889e+00,0.1982,0
1,36,-0.0124304,1.5889e+00,0.1982,0
1,37,0.0000003,1.6269e+00,0.1660,0
1,38,-0.0000000,1.6333e+00,0.5553,0
1,39,0.0000001,1.7827e+00,0.3246,0
1,40,-0.0248782,1.7835e+00,0.1699,0
1,41,0.0248784,1.7835e+00,0.1699,0
1,42,0.0000000,1.8222e+00,0.3683,0
1,43,0.0000001,1.8728e+00,0.0672,0
1,44,0.0000007,1.9018e+00,0.0355,0
1,45,0.0000002,1.9249e+00,0.0839,0
1,46,0.0000000,1.9782e+00,0.1775,0
1,47,0.0000002,1.9836e+00,0.3007,0
1,48,-0.0000000,1.9901e+00,0.5280,0
1,49,0.0000001,2.0246e+00,0.2301,0
1,50,0.0150711,2.1012e+00,0.2781,0
1,51,-0.0150705,2.1012e+00,0.2781,0
1,52,0.0000000,2.1683e+00,0.2084,0
1,53,0.0000002,2.1756e+00,0.1805,0
1,54,0.0000000,2.2251e+00,0.4154,0
1,55,0.0148050,2.2407e+00,0.1844,0
1,56,-0.0148050,2.2407e+00,0.1844,0
1,57,-0.0008059,2.2836e+00,0.2504,0
1,58,0.0008061,2.2836e+00,0.2504,0
1,59,0.0135444,2.3245e+00,0.1346,0
1,60,-0.0135440,2.3245e+00,0.1346,0
1,61,0.0000001,2.3554e+00,0.4537,0
1,62,0.0103144,2.4116e+00,0.3356,0
1,63,-0.0103144,2.4116e+00,0.3356,0
1,64,0.0000001,2.4228e+00,0.2902,0
1,65,0.0000001,2.4564e+00,0.2268,0
1,66,0.0000000,2.4851e+00,0.0950,0
1,67,-0.0000000,2.5145e+00,0.3544,0
1,68,0.0074484,2.5548e+00,0.1864,0
1,69,-0.0074483,2.5548e+00,0.1864,0
1,70,0.0000002,2.5926e+00,0.3389,0
1,71,0.0000002,2.6081e+00,0.3793,0
1,72,-0.0000000,2.6136e+00,0.4388,0
1,73,-0.0000000,2.6907e+00,0.2975,0
1,74,-0.0000000,2.6953e+00,0.2463,0
1,75,-0.0310951,2.7260e+00,0.2248,0
1,76,0.0310950,2.7260e+00,0.2248,0
1,77,0.0000001,2.7570e+00,0.2324,0
1,78,-0.0021625,2.8043e+00,0.2725,0
1,79,0.0021626,2.8043e+00,0.2725,0
1,80,0.0000003,2.8859e+00,0.3670,0
1,81,-0.2053384,2.8951e+00,0.1242,0
1,82,0.2053394,2.8951e+00,0.1242,0
1,83,-0.0237048,2.9020e+00,0.2211,0
1,84,0.0237052,2.9020e+00,0.2211,0
1,85,0.0124169,2.9258e+00,0.2613,0
1,86,-0.0124172,2.9258e+00,0.2614,0
1,87,0.0000005,2.9321e+00,0.2269,0
1,88,-0.0000001,2.9409e+00,0.2421,0
1,89,0.0000001,3.0025e+00,0.2703,0
1,90,0.0323671,3.0377e+00,0.2197,0
1,91,-0.0323672,3.0377e+00,0.2197,0
1,92,0.0000001,3.0398e+00,0.3477,0
1,93,-0.0013768,3.0579e+00,0.2358,0
1,94,0.0013769,3.0579e+00,0.2358,0
1,95,0.0000000,3.0733e+00,0.0427,0
1,96,0.0000000,3.0942e+00,0.4243,0
1,97,0.0000001,3.1300e+00,0.2081,0
1,98,0.0000000,3.1514e+00,0.2565,0
1,99,-0.0000000,3.1788e+00,0.2806,0
1,100,-0.0000000,3.2049e+00,0.2793,0
1,101,-0.0200991,3.2469e+00,0.2351,0
1,102,0.0200992,3.2469e+00,0.2351,0
1,103,0.0000001,3.2760e+00,0.2778,0
1,104,-0.0049891,3.3110e+00,0.3003,0
1,105,0.0049892,3.3110e+00,0.3003,0
1,106,0.0000000,3.3325e+00,0.1409,0
1,107,0.0000000,3.3357e+00,0.6138,0
1,108,-0.0062834,3.3674e+00,0.3003,0
1,109,0.0062835,3.3674e+00,0.3003,0
1,110,0.0000001,3.3994e+00,0.2789,0
1,111,0.0000004,3.4184e+00,0.3812,0
1,112,-0.0000001,3.4221e+00,0.3798,0
1,113,-0.0000000,3.4390e+00,0.4055,0
1,114,0.0000000,3.4953e+00,0.2439,0
1,115,0.0000001,3.5079e+00,0.1156,0
1,116,-0.0000002,3.5169e+00,0.4335,0
1,117,-0.0042710,3.5341e+00,0.4052,0
1,118,0.0042711,3.5341e+00,0.4052,0
1,119,-0.0179341,3.5527e+00,0.1240,0
1,120,0.0179340,3.5527e+00,0.1240,0
1,121,-0.0000002,3.5745e+00,0.3739,0
1,122,0.0000000,3.5990e+00,0.4046,0
1,123,-0.0220426,3.6487e+00,0.1686,0
1,124,0.0220430,3.6487e+00,0.1686,0
1,125,0.0120401,3.6635e+00,0.1434,0
1,126,-0.0120401,3.6635e+00,0.1434,0
1,127,-0.0000001,3.6714e+00,0.1017,0
1,128,-0.0084336,3.7143e+00,0.1577,0
1,129,0.0084337,3.7143e+00,0.1577,0
1,130,0.0000002,3.7330e+00,0.2344,0
1,131,0.0031055,3.7579e+00,0.3557,0
1,132,-0.0031055,3.7579e+00,0.3557,0
1,133,-0.0000000,3.7756e+00,0.2733,0
1,134,0.0000000,3.8051e+00,0.4144,0
1,135,-0.0000000,3.8361e+00,0.3192,0
1,136,-0.0103758,3.8550e+00,0.1266,0
1,137,0.0103761,3.8550e+00,0.1266,0
1,138,-0.0000000,3.8950e+00,0.4282,0
1,139,-0.0208446,3.9057e+00,0.1605,0
1,140,0.0208445,3.9057e+00,0.1605,0
1,141,0.0000001,3.9201e+00,0.2422,0
1,142,0.0000002,3.9360e+00,0.2809,0
1,143,0.0000001,3.9741e+00,0.3355,0
1,144,0.0000001,3.9943e+00,0.3659,0
1,145,-0.0549831,3.9959e+00,0.2277,0
1,146,0.0549851,3.9959e+00,0.2277,0
1,147,0.0000013,4.0239e+00,0.2169,0
1,148,-0.0025462,4.0374e+00,0.3422,0
1,149,0.0025463,4.0374e+00,0.3422,0
1,150,0.0000004,4.0561e+00,0.2405,0
1,151,-0.0000002,4.0714e+00,0.3631,0
1,152,0.0000000,4.0985e+00,0.3244,0
1,153,0.0190077,4.0988e+00,0.2134,0
1,154,-0.0190076,4.0988e+00,0.2134,0
1,155,0.0000000,4.1353e+00,0.2796,0
1,156,-0.0157145,4.1520e+00,0.2993,0
1,157,0.0157144,4.1520e+00,0.2993,0
1,158,0.0000001,4.1589e+00,0.2829,0
1,159,-0.0000000,4.1682e+00,0.3065,0
1,160,0.0000002,4.1967e+00,0.1646,0
1,161,-0.0000000,4.2054e+00,0.2341,0
1,162,-0.0000000,4.2348e+00,0.2019,0
1,163,0.0000001,4.2682e+00,0.2145,0
1,164,0.0000000,4.2785e+00,0.0745,0
1,165,-0.0070423,4.3024e+00,0.4155,0
1,166,0.0070424,4.3024e+00,0.4155,0
1,167,-0.0000001,4.3195e+00,0.1245,0
1,168,0.0000002,4.3477e+00,0.4282,0
1,169,0.0000001,4.3709e+00,0.3208,0
1,170,0.0008955,4.3863e+00,0.3748,0
1,171,-0.0008953,4.3863e+00,0.3748,0
1,172,-0.0000001,4.4126e+00,0.1631,0
1,173,0.0000000,4.4213e+00,0.1665,0
1,174,0.0226547,4.4327e+00,0.1685,0
1,175,-0.0226536,4.4327e+00,0.1685,0
1,176,-0.0000018,4.4477e+00,0.2681,0
1,177,0.0000018,4.4484e+00,0.2590,0
1,178,0.0000000,4.4543e+00,0.4332,0
1,179,0.0000001,4.4660e+00,0.1360,0
1,180,0.0000000,4.4845e+00,0.3306,0
1,181,0.0299082,4.4912e+00,0.2574,0
1,182,-0.0299082,4.4912e+00,0.2574,0
1,183,0.0000000,4.5064e+00,0.2725,0
1,184,0.0000000,4.5405e+00,0.2819,0
1,185,0.0000001,4.5630e+00,0.3443,0
1,186,0.0000000,4.5732e+00,0.3706,0
1,187,0.0074978,4.6000e+00,0.1632,0
1,188,-0.0074976,4.6000e+00,0.1632,0
1,189,0.0000001,4.6040e+00,0.3425,0
1,190,-0.0000000,4.6247e+00,0.4944,0
1,191,0.0021169,4.6608e+00,0.3595,0
1,192,-0.0021169,4.6608e+00,0.3595,0
1,193,0.0000000,4.6966e+00,0.1681,0
1,194,0.0000001,4.7151e+00,0.2164,0
1,195,0.0000001,4.7307e+00,0.2006,0
1,196,-0.0025197,4.7461e+00,0.2919,0
1,197,0.0025198,4.7461e+00,0.2919,0
1,198,0.0000000,4.7512e+00,0.2181,0
1,199,-0.0018391,4.7872e+00,0.3160,0
2,0,1.3110915,1.9248e-04,0.0057,0
2,1,1.2594039,1.2381e-03,0.7608,0
2,2,1.8883690,2.4537e-02,0.5919,1
2,3,1.1489827,1.1980e-03,0.7665,0
2,4,1.0675119,7.1900e-03,0.1382,0
2,5,0.9488261,1.9564e-05,0.0013,0
2,6,0.8908904,1.4631e-03,0.5507,0
2,7,0.8353136,2.4077e-03,0.4681,0
2,8,0.7648361,2.5125e-03,0.2359,0
2,9,0.7510077,8.9373e-04,0.6994,0
2,10,0.5759467,4.2255e-03,0.1898,0
2,11,0.4542071,4.9193e-03,0.1212,0
2,12,0.2840970,3.7345e-03,0.2419,0
2,13,0.2458931,3.0026e-03,0.1066,0
2,14,0.0073396,1.4479e-01,0.6685,0
2,15,0.0002487,4.7396e-01,0.0632,0
2,16,0.0016018,6.7529e-01,0.0141,0
2,17,0.0034346,7.5800e-01,0.1258,0
2,18,0.0027582,7.7484e-01,0.2970,0
2,19,-0.0056020,8.4900e-01,0.2093,0
2,20,0.0083724,8.5086e-01,0.2074,0
2,21,-0.0001351,8.9561e-01,0.3985,0
2,22,0.0025370,1.0177e+00,0.0223,0
2,23,-0.0249821,1.1205e+00,0.2790,0
2,24,0.0270796,1.1215e+00,0.2862,0
2,25,0.0034608,1.1987e+00,0.2825,0
2,26,-0.0001156,1.2444e+00,0.5452,0
2,27,-0.0000824,1.2593e+00,0.1616,0
2,28,0.0005095,1.3175e+00,0.2809,0
2,29,-0.0381390,1.3256e+00,0.1761,0
2,30,0.0413727,1.3324e+00,0.1715,0
2,31,0.0015337,1.4048e+00,0.3400,0
2,32,0.0003756,1.5625e+00,0.0741,0
2,33,-0.0230596,1.5667e+00,0.3151,0
2,34,0.0263040,1.5697e+00,0.3080,0
