side,rank,re_neff,im_neff,tm_fraction,guided
1,0,1.5121567,7.2208e-06,0.1654,0
1,1,1.1365276,1.5947e-06,0.6446,0
1,2,1.0884070,4.6926e-07,0.0463,0
1,3,0.8438003,5.6060e-07,0.7633,0
1,4,2.1729974,4.6988e-06,0.5605,1
1,5,0.4936902,4.0675e-06,0.0411,0
1,6,0.1944866,3.0357e-06,0.1030,0
1,7,0.0853822,3.3029e-06,0.3810,0
1,8,0.0000030,5.7240e-01,0.0947,0
1,9,0.0434135,8.4493e-01,0.3456,0
1,10,-0.0434106,8.4494e-01,0.3456,0
1,11,0.0000006,1.0173e+00,0.2922,0
1,12,-0.0000001,1.1777e+00,0.2307,0
1,13,0.0611600,1.2163e+00,0.3789,0
1,14,-0.0611586,1.2163e+00,0.3789,0
1,15,0.0000003,1.3082e+00,0.0661,0
1,16,0.0000010,1.6446e+00,0.1294,0
1,17,0.0311086,1.7053e+00,0.2380,0
1,18,-0.0311082,1.7053e+00,0.2380,0
1,19,0.0000004,1.7225e+00,0.2417,0
1,20,0.0000001,1.8403e+00,0.2750,0
1,21,0.0000004,1.9470e+00,0.3412,0
1,22,-0.0000001,1.9552e+00,0.1453,0
1,23,0.0000009,2.0913e+00,0.2994,0
1,24,-0.0000002,2.0923e+00,0.2792,0
1,25,-0.0000000,2.2423e+00,0.5016,0
1,26,0.0000000,2.2476e+00,0.0953,0
1,27,-0.0191353,2.3092e+00,0.3031,0
1,28,0.0191355,2.3092e+00,0.3031,0
1,29,0.0000000,2.4225e+00,0.3092,0
1,30,0.0000003,2.4658e+00,0.4847,0
1,31,0.0000001,2.5071e+00,0.3122,0
1,32,0.0000003,2.5614e+00,0.2907,0
1,33,-0.0030157,2.6942e+00,0.1676,0
1,34,0.0030166,2.6942e+00,0.1676,0
1,35,0.0000003,2.7100e+00,0.1381,0
1,36,-0.0128341,2.8121e+00,0.2654,0
1,37,0.0128342,2.8121e+00,0.2654,0
1,38,-0.2624407,2.8475e+00,0.1409,0
1,39,0.2624438,2.8475e+00,0.1409,0
1,40,-0.0000000,2.8972e+00,0.0383,0
1,41,0.0116593,2.9465e+00,0.3520,0
1,42,-0.0116592,2.9465e+00,0.3520,0
1,43,0.0245029,3.0800e+00,0.1483,0
1,44,-0.0245033,3.0800e+00,0.1483,0
1,45,0.0000001,3.1172e+00,0.1315,0
1,46,0.0000003,3.1447e+00,0.1113,0
1,47,-0.0089872,3.2238e+00,0.2368,0
1,48,0.0089872,3.2238e+00,0.2368,0
1,49,-0.0380908,3.3810e+00,0.2419,0
1,50,0.0380912,3.3810e+00,0.2419,0
1,51,0.0000002,3.4081e+00,0.1377,0
1,52,-0.0524240,3.4532e+00,0.3636,0
1,53,0.0524243,3.4532e+00,0.3636,0
1,54,-0.0008173,3.5702e+00,0.4277,0
1,55,0.0008175,3.5703e+00,0.4277,0
1,56,0.0000002,3.6251e+00,0.3207,0
1,57,-0.0935444,3.6574e+00,0.1550,0
