case,z_um,p_z
sync405_fwd_a,-0.8000,1.000162224e+00
sync405_fwd_a,-0.5500,9.986572243e-01
sync405_fwd_a,-0.3000,9.981555600e-01
sync405_fwd_a,-0.1000,9.978052336e-01
sync405_fwd_a,0.1500,9.497149123e-01
sync405_fwd_a,0.5000,8.437420529e-01
sync405_fwd_a,1.0000,7.643042432e-01
sync405_fwd_a,1.5000,6.851703251e-01
sync405_fwd_a,2.0000,6.161669333e-01
sync405_fwd_a,2.5000,5.561675361e-01
sync405_fwd_a,2.8000,5.230446379e-01
sync405_rev_a,-0.8000,-4.981891741e-01
sync405_rev_a,-0.5500,-4.994190933e-01
sync405_rev_a,-0.3000,-5.017327644e-01
sync405_rev_a,-0.1000,-5.025637216e-01
sync405_rev_a,0.1500,-5.349591194e-01
sync405_rev_a,0.5000,-5.874800899e-01
sync405_rev_a,1.0000,-6.579260719e-01
sync405_rev_a,1.5000,-7.306212220e-01
sync405_rev_a,2.0000,-8.115104562e-01
sync405_rev_a,2.5000,-9.010834003e-01
sync405_rev_a,2.8000,-9.587824940e-01
sync405_fwd_c,-0.8000,9.995447813e-01
sync405_fwd_c,-0.5500,9.988343331e-01
sync405_fwd_c,-0.3000,9.991389166e-01
sync405_fwd_c,-0.1000,9.991069143e-01
sync405_fwd_c,0.1500,9.756740435e-01
sync405_fwd_c,0.5000,9.229263896e-01
sync405_fwd_c,1.0000,8.671732030e-01
sync405_fwd_c,1.5000,8.148136381e-01
sync405_fwd_c,2.0000,7.669698858e-01
sync405_fwd_c,2.5000,7.215437860e-01
sync405_fwd_c,2.8000,6.954466623e-01
sync405_rev_c,-0.8000,-6.752314642e-01
sync405_rev_c,-0.5500,-6.751872531e-01
sync405_rev_c,-0.3000,-6.760869730e-01
sync405_rev_c,-0.1000,-6.764355513e-01
sync405_rev_c,0.1500,-6.969814301e-01
sync405_rev_c,0.5000,-7.326178055e-01
sync405_rev_c,1.0000,-7.809380227e-01
sync405_rev_c,1.5000,-8.305132232e-01
sync405_rev_c,2.0000,-8.832135549e-01
sync405_rev_c,2.5000,-9.397967468e-01
sync405_rev_c,2.8000,-9.750266786e-01
shared450_fwd_a,-0.8000,1.000214806e+00
shared450_fwd_a,-0.5500,9.992532487e-01
shared450_fwd_a,-0.3000,9.983297595e-01
shared450_fwd_a,-0.1000,9.977451738e-01
shared450_fwd_a,0.1500,9.521081087e-01
shared450_fwd_a,0.5000,8.415563686e-01
shared450_fwd_a,1.0000,7.615436447e-01
shared450_fwd_a,1.5000,6.814056245e-01
shared450_fwd_a,2.0000,6.126334916e-01
shared450_fwd_a,2.5000,5.529042427e-01
shared450_fwd_a,2.8000,5.198686783e-01
shared450_rev_a,-0.8000,-4.950035206e-01
shared450_rev_a,-0.5500,-4.967161654e-01
shared450_rev_a,-0.3000,-4.990426989e-01
shared450_rev_a,-0.1000,-4.998010810e-01
shared450_rev_a,0.1500,-5.315593492e-01
shared450_rev_a,0.5000,-5.849975427e-01
shared450_rev_a,1.0000,-6.560245221e-01
shared450_rev_a,1.5000,-7.292532762e-01
shared450_rev_a,2.0000,-8.109721873e-01
shared450_rev_a,2.5000,-9.007029660e-01
shared450_rev_a,2.8000,-9.584023153e-01
abrupt_fwd_a,-0.8000,9.793341994e-01
abrupt_fwd_a,-0.5500,9.721331640e-01
abrupt_fwd_a,-0.3000,9.602178841e-01
