case,scheme,dir,n_pcm,mesh,l_feed_um,l_pcm_um,elements,neff1_re,neff1_im,neff2_re,neff2_im,S11_re,S11_im,S21_re,S21_im,S12_re,S12_im,S22_re,S22_im,p_feed_end,p_pcm_end
sync405_fwd_a,sync405,fwd,2.7120,1.00,0.900,3.000,70534,1.8934961,-2.8736e-04,1.8887029,-2.5518e-02,-3.425934e-04,-3.233674e-03,3.669014e-02,7.069269e-01,NaN,NaN,NaN,NaN,1.000162224e+00,5.230446379e-01
sync405_rev_a,sync405,rev,2.7120,1.00,0.900,3.000,70534,1.8934961,-2.8736e-04,1.8887029,-2.5518e-02,NaN,NaN,NaN,NaN,3.563170e-02,7.044960e-01,-2.058006e-02,2.200220e-02,-4.981891741e-01,-9.587824940e-01
sync405_fwd_c,sync405,fwd,3.3080,1.00,0.900,3.000,70534,2.1762151,-3.3280e-05,2.2786538,-1.5236e-02,-2.436411e-02,-6.568098e-03,-4.372769e-01,6.974420e-01,NaN,NaN,NaN,NaN,9.995447813e-01,6.954466623e-01
sync405_rev_c,sync405,rev,3.3080,1.00,0.900,3.000,70534,2.1762151,-3.3280e-05,2.2786538,-1.5236e-02,NaN,NaN,NaN,NaN,-3.281053e-01,7.532083e-01,-4.102221e-03,-1.997815e-02,-6.752314642e-01,-9.750266786e-01
shared450_fwd_a,shared450,fwd,2.7120,1.00,0.900,3.000,70524,1.9339035,-2.1700e-04,1.8887029,-2.5518e-02,3.959961e-04,-1.000009e-02,1.374216e-01,6.921860e-01,NaN,NaN,NaN,NaN,1.000214806e+00,5.198686783e-01
shared450_rev_a,shared450,rev,2.7120,1.00,0.900,3.000,70524,1.9339035,-2.1700e-04,1.8887029,-2.5518e-02,NaN,NaN,NaN,NaN,1.395719e-01,6.891495e-01,-1.895079e-02,2.534828e-02,-4.950035206e-01,-9.584023153e-01
abrupt_fwd_a,abrupt,fwd,2.7120,1.00,0.900,3.000,67445,1.8874045,-3.9333e-04,1.8887065,-2.5519e-02,-8.939882e-02,-1.102537e-01,-4.486295e-03,-6.365197e-01,NaN,NaN,NaN,NaN,9.793341994e-01,4.279024329e-01
abrupt_rev_a,abrupt,rev,2.7120,1.00,0.900,3.000,67445,1.8874045,-3.9333e-04,1.8887065,-2.5519e-02,NaN,NaN,NaN,NaN,-3.404328e-02,-6.343389e-01,-6.858462e-02,1.723021e-01,-4.046879243e-01,-9.237694415e-01
sync405_rev_a_m80,sync405,rev,2.7120,0.80,0.900,3.000,126534,1.8934147,-2.8704e-04,1.8884635,-2.5357e-02,NaN,NaN,NaN,NaN,3.003197e-02,7.092829e-01,-2.029398e-02,1.945246e-02,-5.045460355e-01,-9.584437595e-01
sync405_rev_a_lf250,sync405,rev,2.7120,1.00,2.500,3.000,93332,1.8934946,-2.8738e-04,1.8887055,-2.5518e-02,NaN,NaN,NaN,NaN,-1.646247e-01,6.856801e-01,-2.040604e-02,1.592514e-02,-4.978181175e-01,-9.587842792e-01
sync405_fwd_a_lf250,sync405,fwd,2.7120,1.00,2.500,3.000,93332,1.8934946,-2.8738e-04,1.8887055,-2.5518e-02,2.472594e-03,-4.817379e-03,-1.642582e-01,6.881723e-01,NaN,NaN,NaN,NaN,1.000293108e+00,5.218788010e-01
sync405_fwd_a_m80,sync405,fwd,2.7120,0.80,0.900,3.000,126534,1.8934147,-2.8704e-04,1.8884635,-2.5357e-02,-8.215492e-04,-7.535243e-03,3.401777e-02,7.116189e-01,NaN,NaN,NaN,NaN,9.999963748e-01,5.292503002e-01
sync405_fwd_a_m70,sync405,fwd,2.7120,0.70,0.900,3.000,182295,1.8930928,-2.8769e-04,1.8881687,-2.5130e-02,-7.728014e-04,-8.161720e-03,3.103129e-02,7.134012e-01,NaN,NaN,NaN,NaN,9.996069016e-01,5.313208073e-01
sync405_rev_a_m70,sync405,rev,2.7120,0.70,0.900,3.000,182295,1.8930928,-2.8769e-04,1.8881687,-2.5130e-02,NaN,NaN,NaN,NaN,2.858369e-02,7.109748e-01,-2.050808e-02,1.883863e-02,-5.067036302e-01,-9.583344660e-01
sync405_fwd_c_m70,sync405,fwd,3.3080,0.70,0.900,3.000,182295,2.1758825,-3.3225e-05,2.2780378,-1.4632e-02,-2.277199e-02,-9.147879e-03,-4.729812e-01,6.763692e-01,NaN,NaN,NaN,NaN,9.992318531e-01,6.978513690e-01
sync405_rev_c_m70,sync405,rev,3.3080,0.70,0.900,3.000,182295,2.1758825,-3.3225e-05,2.2780378,-1.4632e-02,NaN,NaN,NaN,NaN,-3.043548e-01,7.654546e-01,-3.266723e-03,-2.212887e-02,-6.785659229e-01,-9.749083289e-01
