case,scheme,dir,state,mesh,l_feed,l_pcm,elements,neff1_re,neff1_im,neff2_re,neff2_im,alpha1_1um,alpha2_1um,S_refl_abs2,S_trans_abs2,T_joint,loss_dB,R_joint_dB
abrupt_fwd_a,abrupt,fwd,a,1.00,0.900,3.000,67445,1.8874045,-3.9333e-04,1.8887065,-2.5519e-02,0.00319,0.20689,2.0148e-02,0.405177,0.75587,1.2155,-16.9
abrupt_fwd_a_m70,abrupt,fwd,a,0.70,0.900,3.000,178487,1.8875674,-3.9224e-04,1.8881684,-2.5130e-02,0.00318,0.20374,2.0237e-02,0.409030,0.75587,1.2156,-16.9
abrupt_rev_a,abrupt,rev,a,1.00,0.900,3.000,67445,1.8874045,-3.9333e-04,1.8887065,-2.5519e-02,0.00319,0.20689,3.4392e-02,0.403545,0.75282,1.2331,-9.2
shared450_fwd_a,shared450,fwd,a,1.00,0.900,3.000,70524,1.9339035,-2.1700e-04,1.8887029,-2.5518e-02,0.00176,0.20688,1.0016e-04,0.498006,0.92783,0.3253,-40.0
shared450_fwd_a_m70,shared450,fwd,a,0.70,0.900,3.000,184404,1.9335196,-2.1721e-04,1.8881687,-2.5130e-02,0.00176,0.20374,1.5697e-04,0.506408,0.93462,0.2936,-38.0
shared450_rev_a,shared450,rev,a,1.00,0.900,3.000,70524,1.9339035,-2.1700e-04,1.8887029,-2.5518e-02,0.00176,0.20688,1.0017e-03,0.494407,0.92112,0.3568,-24.6
sync405_fwd_a,sync405,fwd,a,1.00,0.900,3.000,70534,1.8934961,-2.8736e-04,1.8887029,-2.5518e-02,0.00233,0.20688,1.0574e-05,0.501092,0.93405,0.2963,-49.7
sync405_fwd_a_lf250,sync405,fwd,a,1.00,2.500,3.000,93332,1.8934946,-2.8738e-04,1.8887055,-2.5518e-02,0.00233,0.20688,2.9321e-05,0.500562,0.93655,0.2847,-45.3
sync405_fwd_a_m70,sync405,fwd,a,0.70,0.900,3.000,182295,1.8930928,-2.8769e-04,1.8881687,-2.5130e-02,0.00233,0.20374,6.7211e-05,0.509904,0.94156,0.2615,-41.7
sync405_fwd_a_m80,sync405,fwd,a,0.80,0.900,3.000,126534,1.8934147,-2.8704e-04,1.8884635,-2.5357e-02,0.00233,0.20558,5.7455e-05,0.507559,0.94241,0.2576,-42.4
sync405_fwd_c,sync405,fwd,c,1.00,0.900,3.000,70534,2.1762151,-3.3280e-05,2.2786538,-1.5236e-02,0.00027,0.12352,6.3675e-04,0.677636,0.98184,0.0796,-32.0
sync405_fwd_c_m70,sync405,fwd,c,0.70,0.900,3.000,182295,2.1758825,-3.3225e-05,2.2780378,-1.4632e-02,0.00027,0.11863,6.0225e-04,0.681187,0.97259,0.1207,-32.2
sync405_rev_a,sync405,rev,a,1.00,0.900,3.000,70534,1.8934961,-2.8736e-04,1.8887029,-2.5518e-02,0.00233,0.20688,9.0764e-04,0.497584,0.92752,0.3268,-25.0
sync405_rev_a_lf250,sync405,rev,a,1.00,2.500,3.000,93332,1.8934946,-2.8738e-04,1.8887055,-2.5518e-02,0.00233,0.20688,6.7002e-04,0.497258,0.93037,0.3134,-26.3
sync405_rev_a_m70,sync405,rev,a,0.70,0.900,3.000,182295,1.8930928,-2.8769e-04,1.8881687,-2.5130e-02,0.00233,0.20374,7.7548e-04,0.506302,0.93491,0.2923,-25.8
sync405_rev_a_m80,sync405,rev,a,0.80,0.900,3.000,126534,1.8934147,-2.8704e-04,1.8884635,-2.5357e-02,0.00233,0.20558,7.9024e-04,0.503984,0.93577,0.2883,-25.7
sync405_rev_c,sync405,rev,c,1.00,0.900,3.000,70534,2.1762151,-3.3280e-05,2.2786538,-1.5236e-02,0.00027,0.12352,4.1595e-04,0.674976,0.97798,0.0967,-30.6
sync405_rev_c_m70,sync405,rev,c,0.70,0.900,3.000,182295,2.1758825,-3.3225e-05,2.2780378,-1.4632e-02,0.00027,0.11863,5.0036e-04,0.678553,0.96883,0.1375,-29.9
