section,w_au_nm,re_neff,im_neff,alpha_1um,tm_fraction
feed,-1,1.8896442,4.73199e-06,0.00004,0.578
w000,0,1.9670957,4.83729e-06,0.00004,0.572
w030,30,1.9693519,4.36127e-04,0.00354,0.570
w060,60,1.9704290,6.52886e-04,0.00529,0.568
w090,90,1.9722017,8.62387e-04,0.00699,0.566
w120,120,1.9751792,1.19547e-03,0.00969,0.564
w150,150,1.9806568,2.03961e-03,0.01654,0.561
w180,180,1.9918543,4.91898e-03,0.03988,0.556
w195,195,2.0019087,8.88041e-03,0.07200,0.552
w210,210,2.0173523,1.77627e-02,0.14401,0.545
w220,220,2.0320933,3.02282e-02,0.24507,0.540
w230,230,2.0504101,5.41045e-02,0.43864,0.534
w240,240,2.0675327,1.01488e-01,0.82280,0.528
w250,250,2.0527074,1.99901e-01,1.62067,0.526
w260,260,1.8806730,2.16073e-01,1.75178,0.554
w270,270,1.8502643,1.31398e-01,1.06529,0.577
w280,280,1.8535881,8.97100e-02,0.72731,0.586
w290,290,1.8606336,6.68179e-02,0.54172,0.589
w300,300,1.8670916,5.29418e-02,0.42922,0.591
w320,320,1.8759736,3.81175e-02,0.30903,0.591
w340,340,1.8809205,3.08657e-02,0.25024,0.590
w360,360,1.8835484,2.69283e-02,0.21832,0.590
w390,390,1.8851115,2.41568e-02,0.19585,0.591
w420,420,1.8859518,2.35552e-02,0.19097,0.590
w450,450,1.8884309,2.45330e-02,0.19890,0.589
