basis,N,shape,L_um,T_fwd,T_rev,P_fwd,P_rev,R_fwd,R_rev,T_ad,loss_fwd_dB,loss_rev_dB,loss_ad_dB,conv_fwd_dB,T_fwd_eq,T_rev_eq,T_ad_eq
taper_basis_A_N100_s1.00.npz,100,butt,0.250,0.955758,0.951405,0.997917,0.963514,1.216e-05,1.285e-03,1.000000,0.1965,0.2163,-0.0000,0.1965,0.955758,0.951405,1.000000
taper_basis_A_N100_s1.00.npz,100,step,0.250,0.936296,0.939680,0.997424,0.957165,1.157e-04,1.610e-03,1.000000,0.2859,0.2702,-0.0000,0.2859,0.984029,0.987587,1.050981
taper_basis_A_N100_s1.00.npz,100,linear,0.250,0.933645,0.922058,0.986446,0.931073,8.822e-05,2.344e-03,0.938192,0.2982,0.3524,0.2771,0.0211,0.981243,0.969065,0.986022
taper_basis_A_N100_s1.00.npz,100,quad,0.250,0.943943,0.926250,1.005350,0.935370,6.953e-04,2.480e-03,0.960207,0.2505,0.3327,0.1764,0.0742,0.992067,0.973471,1.009160
taper_basis_A_N100_s1.00.npz,100,sqrt,0.250,0.904603,0.894710,0.961359,0.904550,4.100e-05,3.058e-03,0.921473,0.4354,0.4832,0.3552,0.0802,0.950721,0.940323,0.968451
taper_basis_A_N100_s1.00.npz,100,ellipse,0.250,0.883324,0.870695,0.942812,0.881936,5.825e-04,4.279e-03,0.931919,0.5388,0.6013,0.3062,0.2326,0.928357,0.915084,0.979430
taper_basis_A_N100_s1.00.npz,100,ellipsec,0.250,0.942388,0.919258,1.026123,0.929206,1.631e-03,3.263e-03,0.974774,0.2577,0.3656,0.1110,0.1467,0.990432,0.966123,1.024469
taper_basis_A_N100_s1.00.npz,100,expo,0.250,0.943002,0.922001,1.015628,0.931416,1.216e-03,2.974e-03,0.968487,0.2549,0.3527,0.1391,0.1158,0.991077,0.969006,1.017862
taper_basis_A_N100_s1.00.npz,100,gauss,0.250,0.928490,0.909072,0.997799,0.918702,1.027e-03,3.218e-03,0.958117,0.3222,0.4140,0.1858,0.1364,0.975826,0.955418,1.006963
taper_basis_A_N100_s1.00.npz,100,rcos,0.250,0.925866,0.908691,0.987417,0.918125,6.660e-04,2.966e-03,0.951021,0.3345,0.4158,0.2181,0.1164,0.973068,0.955017,0.999506
taper_basis_A_N100_s1.00.npz,100,klop,0.250,0.927481,0.911358,0.986981,0.920675,4.696e-04,2.834e-03,0.949494,0.3269,0.4031,0.2251,0.1019,0.974765,0.957820,0.997901
taper_basis_A_N100_s1.00.npz,100,fastwin,0.250,0.919767,0.905602,0.979945,0.915113,2.112e-04,3.047e-03,0.956170,0.3632,0.4306,0.1946,0.1686,0.966658,0.951771,1.004917
taper_basis_A_N100_s1.00.npz,100,slowwin,0.250,0.914382,0.909794,0.978556,0.920811,5.443e-04,3.658e-03,0.881035,0.3887,0.4106,0.5501,-0.1613,0.960999,0.956176,0.925951
taper_basis_A_N100_s1.00.npz,100,cubic,0.250,0.930845,0.907591,1.021796,0.918302,1.826e-03,3.760e-03,0.970987,0.3112,0.4211,0.1279,0.1834,0.978301,0.953861,1.020490
taper_basis_A_N100_s1.00.npz,100,butt,0.500,0.955758,0.951405,0.997917,0.963514,1.216e-05,1.285e-03,1.000000,0.1965,0.2163,-0.0000,0.1965,0.955758,0.951405,1.000000
taper_basis_A_N100_s1.00.npz,100,step,0.500,0.926623,0.930814,0.996872,0.959339,4.348e-05,1.442e-03,1.000000,0.3310,0.3114,-0.0000,0.3310,1.023512,1.028141,1.104562
taper_basis_A_N100_s1.00.npz,100,linear,0.500,0.873610,0.867071,0.929642,0.879234,1.213e-04,5.044e-03,0.880204,0.5868,0.6195,0.5542,0.0327,0.964956,0.957734,0.972239
taper_basis_A_N100_s1.00.npz,100,quad,0.500,0.919594,0.910934,0.977807,0.924625,3.130e-04,3.203e-03,0.921998,0.3640,0.4051,0.3527,0.0113,1.015748,1.006183,1.018403
taper_basis_A_N100_s1.00.npz,100,sqrt,0.500,0.845416,0.840322,0.867729,0.851430,7.772e-05,5.505e-03,0.849113,0.7293,0.7555,0.7103,0.0189,0.933815,0.928188,0.937898
taper_basis_A_N100_s1.00.npz,100,ellipse,0.500,0.851960,0.843882,0.855558,0.853636,1.760e-04,3.443e-03,0.868473,0.6958,0.7372,0.6124,0.0834,0.941043,0.932120,0.959282
taper_basis_A_N100_s1.00.npz,100,ellipsec,0.500,0.947463,0.935129,1.000014,0.949450,7.777e-04,2.338e-03,0.950184,0.2344,0.2913,0.2219,0.0125,1.046531,1.032907,1.049537
taper_basis_A_N100_s1.00.npz,100,expo,0.500,0.936319,0.925716,0.989739,0.939129,4.520e-04,2.543e-03,0.937967,0.2858,0.3352,0.2781,0.0076,1.034223,1.022511,1.036043
taper_basis_A_N100_s1.00.npz,100,gauss,0.500,0.908437,0.898391,0.954218,0.910487,7.176e-05,2.995e-03,0.917988,0.4171,0.4653,0.3716,0.0454,1.003425,0.992328,1.013975
taper_basis_A_N100_s1.00.npz,100,rcos,0.500,0.894133,0.884862,0.932825,0.896178,4.475e-05,3.247e-03,0.904442,0.4860,0.5312,0.4362,0.0498,0.987625,0.977384,0.999012
taper_basis_A_N100_s1.00.npz,100,klop,0.500,0.891545,0.882622,0.932240,0.893863,4.154e-05,3.460e-03,0.901540,0.4986,0.5423,0.4502,0.0484,0.984767,0.974910,0.995806
taper_basis_A_N100_s1.00.npz,100,fastwin,0.500,0.879309,0.869610,0.912483,0.880047,3.951e-05,3.970e-03,0.914261,0.5586,0.6068,0.3893,0.1693,0.971251,0.960538,1.009858
taper_basis_A_N100_s1.00.npz,100,slowwin,0.500,0.782729,0.781091,0.871399,0.798980,1.194e-03,1.274e-02,0.776222,1.0639,1.0730,1.1001,-0.0363,0.864572,0.862763,0.857385
taper_basis_A_N100_s1.00.npz,100,cubic,0.500,0.935532,0.923790,0.990099,0.938946,3.856e-04,2.655e-03,0.942817,0.2894,0.3443,0.2557,0.0337,1.033352,1.020383,1.041399
taper_basis_A_N100_s1.00.npz,100,butt,1.000,0.955758,0.951405,0.997917,0.963514,1.216e-05,1.285e-03,1.000000,0.1965,0.2163,-0.0000,0.1965,0.955758,0.951405,1.000000
taper_basis_A_N100_s1.00.npz,100,step,1.000,0.919515,0.924150,0.997756,0.957905,1.328e-04,1.359e-03,1.000000,0.3644,0.3426,-0.0000,0.3644,1.121860,1.127515,1.220056
taper_basis_A_N100_s1.00.npz,100,linear,1.000,0.770895,0.768282,0.784717,0.788532,3.378e-06,8.048e-03,0.774759,1.1300,1.1448,1.1083,0.0217,0.940536,0.937347,0.945249
taper_basis_A_N100_s1.00.npz,100,quad,1.000,0.840172,0.834885,0.899999,0.855545,8.083e-05,6.551e-03,0.850080,0.7563,0.7837,0.7054,0.0509,1.025057,1.018607,1.037145
taper_basis_A_N100_s1.00.npz,100,sqrt,1.000,0.716113,0.715157,0.723432,0.731037,2.704e-05,9.868e-03,0.720993,1.4502,1.4560,1.4207,0.0295,0.873698,0.872532,0.879652
taper_basis_A_N100_s1.00.npz,100,ellipse,1.000,0.748843,0.746104,0.761486,0.756812,4.007e-05,6.097e-03,0.754246,1.2561,1.2720,1.2249,0.0312,0.913630,0.910288,0.920223
taper_basis_A_N100_s1.00.npz,100,ellipsec,1.000,0.911333,0.904507,0.982888,0.923080,6.598e-04,3.819e-03,0.902850,0.4032,0.4359,0.4438,-0.0406,1.111878,1.103549,1.101528
taper_basis_A_N100_s1.00.npz,100,expo,1.000,0.872186,0.865860,0.945912,0.884848,2.186e-04,5.377e-03,0.879783,0.5939,0.6255,0.5562,0.0377,1.064116,1.056398,1.073384
taper_basis_A_N100_s1.00.npz,100,gauss,1.000,0.832914,0.827553,0.850627,0.846974,2.189e-05,4.832e-03,0.842703,0.7940,0.8220,0.7433,0.0507,1.016202,1.009661,1.028145
taper_basis_A_N100_s1.00.npz,100,rcos,1.000,0.809672,0.805297,0.814835,0.823881,6.912e-06,5.419e-03,0.818015,0.9169,0.9404,0.8724,0.0445,0.987845,0.982507,0.998024
taper_basis_A_N100_s1.00.npz,100,klop,1.000,0.805749,0.801701,0.811208,0.819854,4.727e-06,5.743e-03,0.812774,0.9380,0.9599,0.9003,0.0377,0.983059,0.978120,0.991630
taper_basis_A_N100_s1.00.npz,100,fastwin,1.000,0.800477,0.795732,0.800718,0.810582,2.093e-04,5.244e-03,0.835874,0.9665,0.9923,0.7786,0.1879,0.976627,0.970838,1.019813
taper_basis_A_N100_s1.00.npz,100,slowwin,1.000,0.615073,0.615736,0.649556,0.649856,5.682e-04,7.564e-03,0.602520,2.1107,2.1061,2.2003,-0.0896,0.750424,0.751233,0.735109
taper_basis_A_N100_s1.00.npz,100,cubic,1.000,0.878629,0.872012,0.951602,0.892640,2.197e-04,4.868e-03,0.888903,0.5619,0.5948,0.5115,0.0505,1.071976,1.063904,1.084512
taper_basis_A_N100_s1.00.npz,100,butt,2.000,0.955758,0.951405,0.997917,0.963514,1.216e-05,1.285e-03,1.000000,0.1965,0.2163,-0.0000,0.1965,0.955758,0.951405,1.000000
