case,z_um,p_z
sh_linear_L50_fwd_a,-0.8000,1.000326190e+00
sh_linear_L50_fwd_a,-0.3000,9.978030019e-01
sh_linear_L50_fwd_a,-0.1000,9.982602063e-01
sh_linear_L50_fwd_a,0.2500,9.917428197e-01
sh_linear_L50_fwd_a,0.5000,9.382715961e-01
sh_linear_L50_fwd_a,0.7500,8.397423469e-01
sh_linear_L50_fwd_a,1.0000,8.050437963e-01
sh_linear_L50_fwd_a,1.2500,7.610394738e-01
sh_linear_L50_fwd_a,1.5000,7.158359410e-01
sh_linear_L50_fwd_a,1.7500,6.827277107e-01
sh_linear_L50_fwd_a,2.0000,6.467677434e-01
sh_linear_L50_fwd_a,2.2500,6.129322693e-01
sh_linear_L50_fwd_a,2.5000,5.828608746e-01
sh_linear_L50_fwd_a,2.7500,5.535668744e-01
sh_linear_L50_fwd_a,2.8000,5.481078590e-01
sh_linear_L50_rev_a,-0.8000,-5.227810918e-01
sh_linear_L50_rev_a,-0.3000,-5.245067116e-01
sh_linear_L50_rev_a,-0.1000,-5.261336621e-01
sh_linear_L50_rev_a,0.2500,-5.323297879e-01
sh_linear_L50_rev_a,0.5000,-5.827775039e-01
sh_linear_L50_rev_a,0.7500,-6.198974514e-01
sh_linear_L50_rev_a,1.0000,-6.572692887e-01
sh_linear_L50_rev_a,1.2500,-6.931547559e-01
sh_linear_L50_rev_a,1.5000,-7.312298232e-01
sh_linear_L50_rev_a,1.7500,-7.706363084e-01
sh_linear_L50_rev_a,2.0000,-8.111229389e-01
sh_linear_L50_rev_a,2.2500,-8.545259093e-01
sh_linear_L50_rev_a,2.5000,-8.995311922e-01
sh_linear_L50_rev_a,2.7500,-9.484036813e-01
sh_linear_L50_rev_a,2.8000,-9.585152366e-01
sh_quad_L50_fwd_a,-0.8000,1.000797844e+00
sh_quad_L50_fwd_a,-0.3000,9.985821359e-01
sh_quad_L50_fwd_a,-0.1000,9.977643859e-01
sh_quad_L50_fwd_a,0.2500,9.955887777e-01
sh_quad_L50_fwd_a,0.5000,9.757513696e-01
sh_quad_L50_fwd_a,0.7500,8.864586320e-01
sh_quad_L50_fwd_a,1.0000,8.376719794e-01
sh_quad_L50_fwd_a,1.2500,7.978658092e-01
sh_quad_L50_fwd_a,1.5000,7.516328449e-01
sh_quad_L50_fwd_a,1.7500,7.131492248e-01
sh_quad_L50_fwd_a,2.0000,6.784116661e-01
sh_quad_L50_fwd_a,2.2500,6.419923947e-01
sh_quad_L50_fwd_a,2.5000,6.108998084e-01
sh_quad_L50_fwd_a,2.7500,5.800516870e-01
sh_quad_L50_fwd_a,2.8000,5.740900531e-01
sh_quad_L50_fwd_a,-0.8000,1.000797844e+00
sh_quad_L50_fwd_a,-0.3000,9.985821359e-01
sh_quad_L50_fwd_a,-0.1000,9.977643859e-01
sh_quad_L50_fwd_a,0.2500,9.955887777e-01
sh_quad_L50_fwd_a,0.5000,9.757513696e-01
sh_quad_L50_fwd_a,0.7500,8.864586320e-01
sh_quad_L50_fwd_a,1.0000,8.376719794e-01
sh_quad_L50_fwd_a,1.2500,7.978658092e-01
sh_quad_L50_fwd_a,1.5000,7.516328449e-01
sh_quad_L50_fwd_a,1.7500,7.131492248e-01
sh_quad_L50_fwd_a,2.0000,6.784116661e-01
sh_quad_L50_fwd_a,2.2500,6.419923947e-01
sh_quad_L50_fwd_a,2.5000,6.108998084e-01
sh_quad_L50_fwd_a,2.7500,5.800516870e-01
sh_quad_L50_fwd_a,2.8000,5.740900531e-01
sh_quad_L50_rev_a,-0.8000,-5.481186054e-01
sh_quad_L50_rev_a,-0.3000,-5.497255835e-01
sh_quad_L50_rev_a,-0.1000,-5.505545240e-01
sh_quad_L50_rev_a,0.2500,-5.535933113e-01
sh_quad_L50_rev_a,0.5000,-5.837043269e-01
sh_quad_L50_rev_a,0.7500,-6.209908343e-01
sh_quad_L50_rev_a,1.0000,-6.568112939e-01
sh_quad_L50_rev_a,1.2500,-6.938894718e-01
sh_quad_L50_rev_a,1.5000,-7.322204728e-01
sh_quad_L50_rev_a,1.7500,-7.707829121e-01
sh_quad_L50_rev_a,2.0000,-8.128801582e-01
sh_quad_L50_rev_a,2.2500,-8.550848131e-01
sh_quad_L50_rev_a,2.5000,-9.010824753e-01
sh_quad_L50_rev_a,2.7500,-9.489723290e-01
sh_quad_L50_rev_a,2.8000,-9.589047247e-01
sh_ellipsec_L50_fwd_a,-0.8000,1.000730022e+00
sh_ellipsec_L50_fwd_a,-0.3000,9.979215692e-01
sh_ellipsec_L50_fwd_a,-0.1000,9.973157134e-01
sh_ellipsec_L50_fwd_a,0.2500,9.939826214e-01
sh_ellipsec_L50_fwd_a,0.5000,9.844524368e-01
sh_ellipsec_L50_fwd_a,0.7500,9.207408985e-01
sh_ellipsec_L50_fwd_a,1.0000,8.637204566e-01
sh_ellipsec_L50_fwd_a,1.2500,8.224609450e-01
sh_ellipsec_L50_fwd_a,1.5000,7.793475709e-01
sh_ellipsec_L50_fwd_a,1.7500,7.370809181e-01
sh_ellipsec_L50_fwd_a,2.0000,7.016669469e-01
sh_ellipsec_L50_fwd_a,2.2500,6.649009464e-01
sh_ellipsec_L50_fwd_a,2.5000,6.316473465e-01
sh_ellipsec_L50_fwd_a,2.7500,5.999615685e-01
sh_ellipsec_L50_fwd_a,2.8000,5.938175049e-01
sh_ellipsec_L50_rev_a,-0.8000,-5.670535229e-01
sh_ellipsec_L50_rev_a,-0.3000,-5.680931078e-01
sh_ellipsec_L50_rev_a,-0.1000,-5.688554569e-01
sh_ellipsec_L50_rev_a,0.2500,-5.730281459e-01
sh_ellipsec_L50_rev_a,0.5000,-5.870062338e-01
sh_ellipsec_L50_rev_a,0.7500,-6.230144986e-01
sh_ellipsec_L50_rev_a,1.0000,-6.588766394e-01
sh_ellipsec_L50_rev_a,1.2500,-6.947405021e-01
sh_ellipsec_L50_rev_a,1.5000,-7.322550930e-01
sh_ellipsec_L50_rev_a,1.7500,-7.704902367e-01
sh_ellipsec_L50_rev_a,2.0000,-8.129739292e-01
sh_ellipsec_L50_rev_a,2.2500,-8.552528710e-01
sh_ellipsec_L50_rev_a,2.5000,-9.018721782e-01
sh_ellipsec_L50_rev_a,2.7500,-9.491022636e-01
sh_ellipsec_L50_rev_a,2.8000,-9.589618790e-01
sh_expo_L50_fwd_a,-0.8000,1.000473914e+00
sh_expo_L50_fwd_a,-0.3000,9.976402391e-01
sh_expo_L50_fwd_a,-0.1000,9.979256229e-01
sh_expo_L50_fwd_a,0.2500,9.950233882e-01
sh_expo_L50_fwd_a,0.5000,9.804428030e-01
sh_expo_L50_fwd_a,0.7500,9.052578589e-01
sh_expo_L50_fwd_a,1.0000,8.526260521e-01
sh_expo_L50_fwd_a,1.2500,8.126845221e-01
sh_expo_L50_fwd_a,1.5000,7.676827332e-01
sh_expo_L50_fwd_a,1.7500,7.275041626e-01
sh_expo_L50_fwd_a,2.0000,6.921202495e-01
sh_expo_L50_fwd_a,2.2500,6.552827260e-01
sh_expo_L50_fwd_a,2.5000,6.230824778e-01
