case,shape,taper_um,dir,n_pcm,mesh,l_feed_um,l_pcm_um,elements,neff1_re,neff1_im,neff2_re,neff2_im,S11_re,S11_im,S21_re,S21_im,S12_re,S12_im,S22_re,S22_im,p_feed_end,p_pcm_end
sh_linear_L50_fwd_a,linear,0.500,fwd,2.7120,1.00,0.900,3.000,85445,1.8934986,-2.8737e-04,1.8887102,-2.5526e-02,-9.836385e-04,6.422772e-04,7.454954e-02,7.207870e-01,NaN,NaN,NaN,NaN,1.000326190e+00,5.481078590e-01
sh_linear_L50_rev_a,linear,0.500,rev,2.7120,1.00,0.900,3.000,85445,1.8934986,-2.8737e-04,1.8887102,-2.5526e-02,NaN,NaN,NaN,NaN,7.915839e-02,7.181207e-01,3.268022e-02,-1.402224e-02,-5.227810918e-01,-9.585152366e-01
sh_quad_L50_fwd_a,quad,0.500,fwd,2.7120,1.00,0.900,3.000,75200,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,4.669620e-03,-6.610193e-03,8.499498e-02,7.369995e-01,NaN,NaN,NaN,NaN,1.000797844e+00,5.740900531e-01
sh_quad_L50_fwd_a,quad,0.500,fwd,2.7120,1.00,0.900,3.000,75200,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,4.669620e-03,-6.610193e-03,8.499498e-02,7.369995e-01,NaN,NaN,NaN,NaN,1.000797844e+00,5.740900531e-01
sh_quad_L50_rev_a,quad,0.500,rev,2.7120,1.00,0.900,3.000,75200,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,9.100166e-02,7.339610e-01,1.042835e-02,2.559131e-02,-5.481186054e-01,-9.589047247e-01
sh_ellipsec_L50_fwd_a,ellipsec,0.500,fwd,2.7120,1.00,0.900,3.000,75872,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-1.086054e-02,-1.586460e-02,9.460034e-02,7.485769e-01,NaN,NaN,NaN,NaN,1.000730022e+00,5.938175049e-01
sh_ellipsec_L50_rev_a,ellipsec,0.500,rev,2.7120,1.00,0.900,3.000,75872,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,1.005873e-01,7.454062e-01,-1.796295e-02,1.696743e-02,-5.670535229e-01,-9.589618790e-01
sh_expo_L50_fwd_a,expo,0.500,fwd,2.7120,1.00,0.900,3.000,75053,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,2.596204e-04,-1.392367e-02,8.944261e-02,7.440596e-01,NaN,NaN,NaN,NaN,1.000473914e+00,5.856755565e-01
sh_expo_L50_rev_a,expo,0.500,rev,2.7120,1.00,0.900,3.000,75053,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,9.543014e-02,7.409695e-01,-5.859385e-03,2.486487e-02,-5.592010535e-01,-9.590769990e-01
sh_sqrt_L50_fwd_a,sqrt,0.500,fwd,2.7120,1.00,0.900,3.000,89736,1.8934959,-2.8737e-04,1.8886990,-2.5523e-02,-2.599624e-03,-2.651335e-03,5.229246e-02,7.096135e-01,NaN,NaN,NaN,NaN,1.000831178e+00,5.276026288e-01
sh_sqrt_L50_rev_a,sqrt,0.500,rev,2.7120,1.00,0.900,3.000,89736,1.8934959,-2.8737e-04,1.8886990,-2.5523e-02,NaN,NaN,NaN,NaN,5.857045e-02,7.068659e-01,-2.684121e-02,-3.096914e-02,-5.040181802e-01,-9.567697532e-01
sh_ellipse_L50_fwd_a,ellipse,0.500,fwd,2.7120,1.00,0.900,3.000,112650,1.8934959,-2.8737e-04,1.8886990,-2.5523e-02,-5.014611e-03,-5.975488e-03,3.529622e-02,7.157640e-01,NaN,NaN,NaN,NaN,1.000661429e+00,5.352855767e-01
sh_ellipse_L50_rev_a,ellipse,0.500,rev,2.7120,1.00,0.900,3.000,112650,1.8934959,-2.8737e-04,1.8886990,-2.5523e-02,NaN,NaN,NaN,NaN,4.157927e-02,7.128721e-01,-3.337432e-02,4.620178e-03,-5.107364943e-01,-9.575134379e-01
sh_klop_L50_fwd_a,klop,0.500,fwd,2.7120,1.00,0.900,3.000,85111,1.8934959,-2.8737e-04,1.8886990,-2.5523e-02,2.560613e-03,1.019611e-02,6.607475e-02,7.289931e-01,NaN,NaN,NaN,NaN,1.000955811e+00,5.585739068e-01
sh_klop_L50_rev_a,klop,0.500,rev,2.7120,1.00,0.900,3.000,85111,1.8934959,-2.8737e-04,1.8886990,-2.5523e-02,NaN,NaN,NaN,NaN,7.226604e-02,7.261053e-01,2.485008e-02,-1.604019e-02,-5.335895018e-01,-9.582464475e-01
sh_step_L50_fwd_a,step,0.500,fwd,2.7120,1.00,0.900,3.000,72024,1.8934961,-2.8736e-04,1.8887136,-2.5525e-02,-1.130194e-02,1.035652e-03,1.008968e-01,7.369941e-01,NaN,NaN,NaN,NaN,1.000135060e+00,5.776989379e-01
sh_step_L50_rev_a,step,0.500,rev,2.7120,1.00,0.900,3.000,72024,1.8934961,-2.8736e-04,1.8887136,-2.5525e-02,NaN,NaN,NaN,NaN,1.059482e-01,7.337341e-01,-2.950713e-02,-2.167235e-02,-5.504946697e-01,-9.580472981e-01
sh_cubic_L50_fwd_a,cubic,0.500,fwd,2.7120,1.00,0.900,3.000,75101,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,2.827043e-03,-1.402500e-02,8.722327e-02,7.450757e-01,NaN,NaN,NaN,NaN,1.000372188e+00,5.866661870e-01
sh_cubic_L50_rev_a,cubic,0.500,rev,2.7120,1.00,0.900,3.000,75101,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,9.321531e-02,7.419677e-01,-6.735763e-03,2.261212e-02,-5.602260152e-01,-9.588007232e-01
sh_ellipsec_L25_fwd_a,ellipsec,0.250,fwd,2.7120,1.00,0.900,3.000,78733,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-6.237202e-03,2.853066e-02,5.314590e-02,7.375551e-01,NaN,NaN,NaN,NaN,1.000014186e+00,5.700101866e-01
sh_ellipsec_L25_rev_a,ellipsec,0.250,rev,2.7120,1.00,0.900,3.000,78733,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,5.962006e-02,7.345920e-01,1.007119e-03,-1.898413e-02,-5.441641533e-01,-9.587500849e-01
sh_expo_L25_fwd_a,expo,0.250,fwd,2.7120,1.00,0.900,3.000,77353,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-1.359346e-02,2.507341e-02,5.138567e-02,7.355170e-01,NaN,NaN,NaN,NaN,1.000011311e+00,5.666079879e-01
sh_expo_L25_rev_a,expo,0.250,rev,2.7120,1.00,0.900,3.000,77353,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,5.789070e-02,7.325641e-01,-2.465879e-03,-1.966933e-02,-5.409548535e-01,-9.585734325e-01
sh_quad_L25_fwd_a,quad,0.250,fwd,2.7120,1.00,0.900,3.000,77284,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-1.962239e-02,2.044796e-02,4.829784e-02,7.320747e-01,NaN,NaN,NaN,NaN,1.000181090e+00,5.610860346e-01
sh_quad_L25_rev_a,quad,0.250,rev,2.7120,1.00,0.900,3.000,77284,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,5.480583e-02,7.291491e-01,-6.832455e-03,-2.269232e-02,-5.356688783e-01,-9.583571303e-01
sh_linear_L25_fwd_a,linear,0.250,fwd,2.7120,1.00,0.900,3.000,78229,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-2.079612e-02,6.376577e-03,4.576554e-02,7.255580e-01,NaN,NaN,NaN,NaN,1.000125790e+00,5.509887211e-01
sh_linear_L25_rev_a,linear,0.250,rev,2.7120,1.00,0.900,3.000,78229,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,5.224405e-02,7.226667e-01,-2.222184e-02,-1.535948e-02,-5.257511700e-01,-9.580547602e-01
sh_ellipsec_L100_fwd_a,ellipsec,1.000,fwd,2.7120,1.00,0.900,3.000,76644,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-2.031667e-02,1.347149e-02,1.829472e-01,7.556971e-01,NaN,NaN,NaN,NaN,1.000066322e+00,6.294006590e-01
sh_ellipsec_L100_rev_a,ellipsec,1.000,rev,2.7120,1.00,0.900,3.000,76644,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,1.887306e-01,7.515170e-01,-3.753374e-02,1.092662e-02,-6.015630286e-01,-9.579976801e-01
sh_expo_L100_fwd_a,expo,1.000,fwd,2.7120,1.00,0.900,3.000,78212,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-1.151977e-02,1.037267e-03,1.667655e-01,7.457181e-01,NaN,NaN,NaN,NaN,1.000872320e+00,6.080400449e-01
sh_expo_L100_rev_a,expo,1.000,rev,2.7120,1.00,0.900,3.000,78212,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,1.723055e-01,7.418177e-01,-6.406122e-04,3.944022e-02,-5.813465863e-01,-9.582413389e-01
sh_linear_L100_fwd_a,linear,1.000,fwd,2.7120,1.00,0.900,3.000,83595,1.8934959,-2.8737e-04,1.8886990,-2.5523e-02,-4.766326e-03,2.715655e-03,1.320511e-01,7.073451e-01,NaN,NaN,NaN,NaN,1.000864321e+00,5.402494385e-01
sh_linear_L100_rev_a,linear,1.000,rev,2.7120,1.00,0.900,3.000,83595,1.8934959,-2.8737e-04,1.8886990,-2.5523e-02,NaN,NaN,NaN,NaN,1.375250e-01,7.040321e-01,-4.893456e-02,-3.597519e-02,-5.158914599e-01,-9.540950778e-01
sh_table_L50_fwd_a,table,0.500,fwd,2.7120,1.00,0.900,3.000,80103,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-2.275651e-02,-1.689875e-02,1.111482e-01,7.509191e-01,NaN,NaN,NaN,NaN,1.000027612e+00,6.010946700e-01
sh_table_L50_rev_a,table,0.500,rev,2.7120,1.00,0.900,3.000,80103,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,1.170548e-01,7.477959e-01,-9.667309e-03,9.666043e-03,-5.739343927e-01,-9.587024405e-01
sh_table_L25_fwd_a,table,0.250,fwd,2.7120,1.00,0.900,3.000,93364,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,5.633832e-03,2.250439e-02,6.928086e-02,7.368195e-01,NaN,NaN,NaN,NaN,1.000194005e+00,5.711521270e-01
sh_table_L25_rev_a,table,0.250,rev,2.7120,1.00,0.900,3.000,93364,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,7.556563e-02,7.338607e-01,6.151492e-03,-1.361566e-02,-5.451649123e-01,-9.589779863e-01
sh_table_L100_fwd_a,table,1.000,fwd,2.7120,1.00,0.900,3.000,75734,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,-2.042972e-02,1.885642e-02,1.998873e-01,7.698224e-01,NaN,NaN,NaN,NaN,9.998037510e-01,6.598527951e-01
sh_table_L100_rev_a,table,1.000,rev,2.7120,1.00,0.900,3.000,75734,1.8934959,-2.8737e-04,1.8887022,-2.5525e-02,NaN,NaN,NaN,NaN,2.056244e-01,7.659152e-01,-1.851460e-02,-8.642891e-03,-6.299056346e-01,-9.587783981e-01
