shape,shape_ru,L_um,mesh,T_fwd_comsol,T_rev_comsol,ratio_comsol,loss_fwd_dB,loss_rev_dB,T_fwd_eme,T_rev_eme,T_ad_eme,loss_fwd_eme_dB,loss_ad_dB
cubic,куб,0.500,1.00,1.049159,1.042558,0.993708,-0.2084,-0.1810,1.033352,1.020383,1.041399,-0.1425,-0.1762
ellipse,эллипс, тупой,0.500,1.00,0.957420,0.950618,0.992896,0.1890,0.2199,0.941043,0.932120,0.959282,0.2639,0.1805
ellipsec,эллипс, острый,0.250,1.00,1.019453,1.012681,0.993358,-0.0837,-0.0547,0.990432,0.966123,1.024469,0.0418,-0.1050
ellipsec,эллипс, острый,0.500,1.00,1.061409,1.054756,0.993732,-0.2588,-0.2315,1.046531,1.032907,1.049537,-0.1975,-0.2100
ellipsec,эллипс, острый,1.000,1.00,1.127093,1.119354,0.993134,-0.5196,-0.4897,1.111878,1.103549,1.101528,-0.4606,-0.4200
expo,экспонента,0.250,1.00,1.013512,1.006755,0.993333,-0.0583,-0.0292,0.991077,0.969006,1.017862,0.0389,-0.0769
expo,экспонента,0.500,1.00,1.047069,1.040577,0.993800,-0.1998,-0.1727,1.034223,1.022511,1.036043,-0.1461,-0.1538
expo,экспонента,1.000,1.00,1.088609,1.081295,0.993281,-0.3687,-0.3394,1.064116,1.056398,1.073384,-0.2699,-0.3076
klop,Клопфенштейн,0.500,1.00,0.998868,0.992631,0.993756,0.0049,0.0321,0.984767,0.974910,0.995806,0.0667,0.0183
linear,линейный,0.250,1.00,0.985366,0.978744,0.993279,0.0640,0.0933,0.981243,0.969065,0.986022,0.0822,0.0611
linear,линейный,0.500,1.00,0.978982,0.973150,0.994043,0.0923,0.1182,0.964956,0.957734,0.972239,0.1549,0.1223
linear,линейный,1.000,1.00,0.965270,0.959303,0.993819,0.1535,0.1804,0.940536,0.937347,0.945249,0.2662,0.2445
quad,парабола, острый,0.250,1.00,1.003520,0.996801,0.993305,-0.0153,0.0139,0.992067,0.973471,1.009160,0.0346,-0.0396
quad,парабола, острый,0.500,1.00,1.026128,1.019766,0.993800,-0.1120,-0.0850,1.015748,1.006183,1.018403,-0.0679,-0.0792
sqrt,парабола, тупой,0.500,1.00,0.943851,0.937893,0.993688,0.2510,0.2785,0.933815,0.928188,0.937898,0.2974,0.2784
step,без перехода (скачок при z = L),0.500,1.00,1.031624,1.024633,0.993223,-0.1352,-0.1057,1.023512,1.028141,1.104562,-0.1009,-0.4319
table,подобранный,0.250,1.00,1.021113,1.014698,0.993717,-0.0907,-0.0634,1.018217,0.992969,1.041191,-0.0784,-0.1753
table,подобранный,0.500,1.00,1.074305,1.068091,0.994216,-0.3113,-0.2861,1.064079,1.035165,1.091265,-0.2697,-0.3793
table,подобранный,1.000,1.00,1.179357,1.172508,0.994192,-0.7165,-0.6912,1.166407,1.134595,1.200221,-0.6685,-0.7926
