lambda_um,neff_real,neff_imag,loss_db_per_cm,array_period_um
1.5300,1.536635470,1.780597e-05,6.3514,0.995682
1.5395,1.536616950,1.746269e-05,6.1905,1.001876
1.5490,1.536598734,1.712828e-05,6.0347,1.008071
1.5585,1.536580815,1.680246e-05,5.8838,1.014265
1.5680,1.536563187,1.648496e-05,5.7377,1.020459
1.5775,1.536545844,1.617553e-05,5.5961,1.026653
1.5870,1.536528780,1.587391e-05,5.4589,1.032848
1.5965,1.536511988,1.557987e-05,5.3259,1.039042
1.6060,1.536495465,1.529317e-05,5.1969,1.045236
1.6155,1.536479203,1.501359e-05,5.0719,1.051430
1.6250,1.536463198,1.474091e-05,4.9507,1.057624
