lambda_um,width_um,neff_real,neff_imag,prop_db_cm_calc,prop_db_cm_meas,facet_db_calc,facet_db_meas
1.55,1.5,1.450040615,7.856776e-07,0.2766,1.45,2.9472,4.45
1.55,2.0,1.450069912,1.331795e-06,0.4689,1.4,2.4152,3.2
1.55,2.5,1.450104992,1.963722e-06,0.6914,1.95,1.9978,1.92
1.55,3.0,1.450144406,2.645975e-06,0.9316,2.35,1.6733,1.17
1.55,3.5,1.450186769,3.347646e-06,1.1787,2.85,1.4225,0.75
1.55,4.0,1.450230850,4.044196e-06,1.4239,3.25,1.2289,0.57
1.55,4.5,1.450275615,4.717747e-06,1.6611,3.75,1.0795,0.5
1.55,5.0,1.450320236,5.356436e-06,1.8860,4.3,0.9644,0.37
1.31,1.5,1.451113160,2.264512e-06,0.9434,2.05,1.9223,1.63
1.31,2.0,1.451189352,3.686284e-06,1.5357,2.9,1.3748,1.1
1.31,2.5,1.451275402,5.197803e-06,2.1654,4.4,1.0258,0.8
1.31,3.0,1.451366170,6.689191e-06,2.7867,5.95,0.8006,0.7
1.31,3.5,1.451457657,8.090601e-06,3.3706,7.5,0.6528,0.58
1.31,4.0,1.451547034,9.365744e-06,3.9018,8.95,0.5543,0.58
1.31,4.5,1.451632486,1.050190e-05,4.3751,10.1,0.4880,0.58
1.31,5.0,1.451712973,1.150085e-05,4.7913,11.15,0.4434,0.62
