gap_um,kappa_per_um,Lc_um,max_transfer,best_length_um,best_transfer,n_super_low,n_even_planar,n_odd_planar
3.000,5.685136e-03,274.47,0.98683,273.2,0.96339,1.429681544,1.434645955,1.431094220
3.250,5.149509e-03,302.59,0.98399,300.9,0.95827,1.429812715,1.434591476,1.431244514
3.500,4.664504e-03,333.46,0.98055,331.5,0.95235,1.429931301,1.434545593,1.431376446
3.750,4.227050e-03,367.20,0.97642,364.7,0.94555,1.430038055,1.434507146,1.431491079
4.000,3.833305e-03,403.89,0.97147,400.9,0.93775,1.430133920,1.434475098,1.431589947
4.250,3.479203e-03,443.64,0.96558,440.1,0.92884,1.430219894,1.434448517,1.431674750
4.500,3.160770e-03,486.57,0.95860,482.3,0.91869,1.430296951,1.434426576,1.431747193
4.750,2.874276e-03,532.77,0.95036,527.7,0.90714,1.430366005,1.434408545,1.431808890
5.000,2.616305e-03,582.31,0.94070,576.3,0.89406,1.430427894,1.434393789,1.431861316
5.250,2.383774e-03,635.28,0.92942,628.1,0.87929,1.430483370,1.434381758,1.431905794
5.500,2.173929e-03,691.68,0.91634,683.1,0.86268,1.430533108,1.434371979,1.431943485
5.750,1.984320e-03,751.50,0.90124,741.5,0.84408,1.430577706,1.434364055,1.431975403
6.000,1.812779e-03,814.68,0.88394,802.9,0.82336,1.430617693,1.434357650,1.432002421
6.250,1.657389e-03,881.08,0.86425,867.3,0.80041,1.430653540,1.434352483,1.432025288
6.500,1.516453e-03,950.49,0.84201,934.4,0.77516,1.430685660,1.434348323,1.432044640
6.750,1.388474e-03,1022.64,0.81712,1004.0,0.74757,1.430714422,1.434344979,1.432061023
7.000,1.272127e-03,1097.15,0.78950,1075.8,0.71768,1.430740153,1.434342294,1.432074894
7.250,1.166238e-03,1173.54,0.75916,1149.0,0.68559,1.430763146,1.434340140,1.432086643
7.500,1.069767e-03,1251.29,0.72619,1223.4,0.65145,1.430783661,1.434338415,1.432096598
7.750,9.817893e-04,1329.75,0.69078,1298.4,0.61552,1.430801935,1.434337034,1.432105037
8.000,9.014838e-04,1408.26,0.65319,1373.0,0.57813,1.430818179,1.434335928,1.432112194
8.250,8.281175e-04,1486.08,0.61380,1446.8,0.53966,1.430832589,1.434335044,1.432118266
8.500,7.610366e-04,1562.49,0.57307,1519.1,0.50057,1.430845340,1.434334337,1.432123420
8.750,6.996564e-04,1636.77,0.53150,1589.1,0.46134,1.430856596,1.434333772,1.432127797
9.000,6.434528e-04,1708.28,0.48968,1656.3,0.42245,1.430866505,1.434333321,1.432131514
9.250,5.919559e-04,1776.42,0.44815,1720.3,0.38439,1.430875206,1.434332961,1.432134673
9.500,5.447428e-04,1840.71,0.40749,1780.5,0.34761,1.430882825,1.434332673,1.432137359
9.750,5.014330e-04,1900.79,0.36818,1836.5,0.31248,1.430889480,1.434332443,1.432139643
10.000,4.616831e-04,1956.42,0.33065,1888.5,0.27931,1.430895276,1.434332260,1.432141585
10.250,4.251830e-04,2007.47,0.29526,1935.9,0.24834,1.430900313,1.434332113,1.432143238
10.500,3.916523e-04,2053.94,0.26226,1979.1,0.21972,1.430904680,1.434331996,1.432144644
10.750,3.608368e-04,2095.90,0.23181,2017.9,0.19351,1.430908458,1.434331903,1.432145842
11.000,3.325059e-04,2133.54,0.20397,2052.7,0.16973,1.430911719,1.434331828,1.432146861
11.250,3.064503e-04,2167.08,0.17874,2083.7,0.14832,1.430914530,1.434331769,1.432147729
11.500,2.824797e-04,2196.80,0.15607,2111.0,0.12918,1.430916949,1.434331722,1.432148469
11.750,2.604206e-04,2222.99,0.13583,2135.2,0.11218,1.430919027,1.434331684,1.432149099
12.000,2.401152e-04,2245.96,0.11787,2156.4,0.09716,1.430920810,1.434331654,1.432149635
