metal,table,nG,lambda_nm,Re_eps_metal,Im_eps_metal,Re_eps_eff,Im_eps_eff,R,T,A,R_dB
Ag,lerer,221,400.0,-3.772571,0.674700,1.202570,0.567340,0.0008965,0.0000001,0.9991035,-30.475
Ag,lerer,221,405.0,-4.010171,0.695460,1.012937,0.666868,0.0011550,0.0000000,0.9988450,-29.374
Ag,lerer,221,410.0,-4.254971,0.716220,0.793548,0.793236,0.0028953,0.0000000,0.9971047,-25.383
Ag,lerer,221,415.0,-4.494888,0.727434,0.545837,0.938323,0.0073425,0.0000000,0.9926575,-21.342
Ag,lerer,221,420.0,-4.724844,0.723760,0.265398,1.095136,0.0164636,0.0000000,0.9835364,-17.835
Ag,lerer,221,425.0,-4.960045,0.723492,-0.061631,1.304974,0.0318174,0.0000000,0.9681826,-14.973
Ag,lerer,221,430.0,-5.182243,0.725676,-0.413987,1.565761,0.0507885,0.0000000,0.9492115,-12.942
Ag,lerer,221,435.0,-5.394620,0.735648,-0.784393,1.905520,0.0703970,0.0000000,0.9296030,-11.524
Ag,lerer,221,440.0,-5.611227,0.745436,-1.205749,2.361945,0.0904716,0.0000000,0.9095284,-10.435
Ag,lerer,221,445.0,-5.837216,0.750510,-1.700869,2.995178,0.1100292,0.0000000,0.8899708,-9.585
Ag,lerer,221,450.0,-6.078099,0.745940,-2.300188,3.921866,0.1282481,0.0000000,0.8717519,-8.919
Ag,lerer,221,455.0,-6.323752,0.740586,-2.893324,5.308807,0.1397828,0.0000000,0.8602172,-8.545
Ag,lerer,221,460.0,-6.569040,0.734162,-3.249736,7.357804,0.1423789,0.0000000,0.8576211,-8.466
Ag,lerer,221,465.0,-6.802944,0.731360,-2.805366,10.069425,0.1342357,0.0000000,0.8657643,-8.721
Ag,lerer,221,470.0,-7.041153,0.722704,-0.755309,13.254447,0.1179988,0.0000000,0.8820012,-9.281
Ag,lerer,221,475.0,-7.283115,0.718732,3.608311,15.152064,0.0942553,0.0000000,0.9057447,-10.257
Ag,lerer,221,480.0,-7.523355,0.719452,8.307417,13.933988,0.0695914,0.0000000,0.9304086,-11.574
Ag,lerer,221,485.0,-7.755783,0.730456,10.815354,10.879660,0.0494609,0.0000000,0.9505391,-13.057
Ag,lerer,221,490.0,-7.992000,0.735800,11.566533,7.973415,0.0352043,0.0000000,0.9647957,-14.534
Ag,lerer,221,495.0,-8.231484,0.746720,11.321166,5.789706,0.0257221,0.0000000,0.9742779,-15.897
