formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
MG,400,3.226570,0.964643,0.053038,0.245465,0.701497
MG,405,3.225474,0.967459,0.053626,0.248485,0.697890
MG,410,3.224379,0.970288,0.054252,0.251517,0.694230
MG,415,3.222506,0.972016,0.054876,0.254896,0.690229
MG,420,3.219119,0.971575,0.055460,0.258939,0.685601
MG,425,3.215724,0.971118,0.056027,0.262998,0.680975
MG,430,3.212320,0.970647,0.056561,0.267058,0.676381
MG,435,3.197965,0.973148,0.056913,0.269971,0.673116
MG,440,3.182076,0.975831,0.057153,0.272747,0.670099
MG,445,3.165845,0.978349,0.057272,0.275501,0.667227
MG,450,3.149267,0.980687,0.057242,0.278224,0.664533
MG,455,3.130011,0.978021,0.056974,0.282409,0.660617
MG,460,3.109996,0.973804,0.056479,0.286997,0.656524
MG,465,3.089756,0.969043,0.055728,0.291675,0.652597
MG,470,3.069305,0.963717,0.054661,0.296452,0.648887
MG,475,3.030486,0.974373,0.052881,0.295459,0.651660
MG,480,2.981682,0.991346,0.050403,0.292072,0.657525
MG,485,2.929216,1.008143,0.047132,0.288551,0.664317
MG,490,2.872725,1.024593,0.042629,0.284895,0.672476
MG,495,2.811804,1.040475,0.035627,0.281071,0.683302
MG,500,2.722707,1.103654,0.011242,0.261943,0.726815
MG,505,2.615324,1.187492,0.010314,0.237053,0.752633
MG,510,2.490827,1.285106,0.010087,0.212333,0.777580
MG,515,2.344773,1.400194,0.010169,0.185894,0.803938
MG,520,2.171035,1.537904,0.010898,0.157964,0.831137
MG,525,2.050586,1.731875,0.013272,0.128199,0.858528
MG,530,1.946431,1.974600,0.017220,0.100171,0.882608
MG,535,1.849225,2.272442,0.022933,0.075321,0.901746
MG,540,1.771580,2.639937,0.030478,0.054540,0.914981
MG,545,1.735724,3.093526,0.039502,0.038286,0.922212
MG,550,1.786548,3.643079,0.048956,0.026638,0.924406
MG,555,1.996021,4.271142,0.057084,0.019239,0.923677
MG,560,2.420608,4.946252,0.062910,0.014928,0.922162
MG,565,3.127066,5.570337,0.065510,0.013150,0.921340
MG,570,4.119710,5.980618,0.064683,0.013811,0.921505
MG,575,5.276906,6.009088,0.061058,0.017611,0.921331
MG,580,6.367257,5.601515,0.055873,0.026399,0.917729
MG,585,7.162787,4.810862,0.050275,0.044592,0.905133
MG,590,7.560630,3.902954,0.046395,0.075851,0.877754
MG,595,7.661282,3.093491,0.045977,0.119619,0.834404
MG,600,7.586961,2.435925,0.049263,0.172601,0.778135
MG,605,7.426428,1.924175,0.054500,0.231211,0.714288
MG,610,7.232429,1.532095,0.058944,0.292960,0.648096
MG,615,7.032929,1.232078,0.060914,0.354113,0.584973
MG,620,6.847272,1.007211,0.061225,0.408088,0.530687
MG,625,6.677417,0.833834,0.061154,0.454641,0.484204
MG,630,6.521537,0.696125,0.059486,0.499806,0.440708
MG,635,6.379630,0.585633,0.055527,0.548882,0.395591
MG,640,6.250899,0.496092,0.051072,0.600929,0.347999
MG,645,6.134224,0.422838,0.047121,0.651205,0.301674
MG,650,6.028402,0.362371,0.043365,0.696217,0.260418
MG,655,5.932268,0.312042,0.039470,0.734962,0.225567
MG,660,5.844325,0.270878,0.035278,0.767187,0.197535
MG,665,5.760935,0.244681,0.030381,0.789025,0.180594
MG,670,5.685329,0.222155,0.025117,0.805894,0.168989
MG,675,5.616487,0.202645,0.019095,0.816042,0.164864
MG,680,5.553556,0.185636,0.012758,0.822474,0.164768
MG,685,5.495818,0.170718,0.010273,0.845574,0.144153
MG,690,5.442666,0.157561,0.008972,0.869062,0.121967
MG,695,5.393580,0.145898,0.007135,0.884740,0.108125
MG,700,5.348117,0.135511,0.005469,0.896190,0.098341
MG,705,5.305667,0.126366,0.004378,0.904960,0.090662
MG,710,5.264263,0.119391,0.004057,0.910883,0.085059
MG,715,5.225781,0.113070,0.004804,0.914840,0.080356
MG,720,5.189922,0.107320,0.007114,0.916233,0.076652
MG,725,5.156430,0.102072,0.015963,0.907323,0.076714
MG,730,5.125076,0.097265,0.026060,0.901401,0.072539
MG,735,5.095664,0.092850,0.036981,0.892696,0.070323
MG,740,5.068018,0.088782,0.051764,0.878314,0.069922
MG,745,5.041985,0.085025,0.072337,0.855517,0.072146
MG,750,5.017428,0.081546,0.102279,0.818759,0.078961
MG,755,4.994224,0.078316,0.148888,0.756016,0.095096
MG,760,4.970767,0.075373,0.228260,0.638240,0.133500
MG,765,4.948265,0.072648,0.366920,0.405497,0.227584
MG,770,4.927003,0.070104,0.503440,0.096642,0.399917
MG,775,4.906881,0.067726,0.312938,0.291352,0.395710
MG,780,4.887811,0.065497,0.093392,0.662517,0.244091
MG,785,4.869711,0.063404,0.019025,0.823811,0.157164
MG,790,4.852510,0.061436,0.001225,0.883255,0.115519
MG,795,4.836143,0.059582,0.002274,0.903403,0.094324
MG,800,4.820550,0.057833,0.011011,0.905590,0.083399
MG,805,4.805677,0.056180,0.024432,0.896628,0.078940
MG,810,4.791476,0.054616,0.042705,0.877152,0.080143
MG,815,4.777903,0.053133,0.068454,0.842907,0.088640
MG,820,4.764916,0.051726,0.108428,0.781378,0.110194
MG,825,4.751570,0.050081,0.179966,0.658950,0.161083
MG,830,4.738571,0.048445,0.314117,0.404076,0.281807
MG,835,4.726146,0.046905,0.419370,0.150426,0.430204
MG,840,4.714259,0.045450,0.234162,0.461428,0.304410
MG,845,4.702875,0.044076,0.095279,0.743859,0.160862
MG,850,4.691964,0.042775,0.048693,0.854502,0.096805
MG,855,4.681495,0.041543,0.034565,0.898217,0.067218
MG,860,4.671443,0.040374,0.031614,0.916845,0.051542
