table,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
lerer,MG,400,3.336663,0.874587,0.068937,0.000526,0.930537
lerer,MG,405,3.332566,0.878336,0.069293,0.000557,0.930150
lerer,MG,410,3.328900,0.882620,0.069640,0.000586,0.929773
lerer,MG,415,3.323776,0.885353,0.069898,0.000624,0.929478
lerer,MG,420,3.317252,0.885483,0.070044,0.000675,0.929281
lerer,MG,425,3.310701,0.885561,0.070131,0.000729,0.929139
lerer,MG,430,3.300007,0.886273,0.070081,0.000780,0.929139
lerer,MG,435,3.284497,0.887932,0.069882,0.000822,0.929296
lerer,MG,440,3.268788,0.889322,0.069612,0.000868,0.929520
lerer,MG,445,3.246048,0.893718,0.069143,0.000888,0.929968
lerer,MG,450,3.212887,0.900809,0.068366,0.000882,0.930752
lerer,MG,455,3.177888,0.907284,0.067398,0.000878,0.931725
lerer,MG,460,3.141378,0.913672,0.066224,0.000872,0.932904
lerer,MG,465,3.098071,0.924537,0.064754,0.000832,0.934414
lerer,MG,470,3.052624,0.933814,0.062994,0.000800,0.936206
lerer,MG,475,3.005035,0.941219,0.060878,0.000778,0.938344
lerer,MG,480,2.941474,0.967668,0.058266,0.000648,0.941087
lerer,MG,485,2.861355,1.005142,0.054885,0.000488,0.944626
lerer,MG,490,2.772457,1.041361,0.050316,0.000366,0.949318
lerer,MG,495,2.670603,1.073093,0.043155,0.000277,0.956568
lerer,MG,500,2.575719,1.166158,0.017927,0.000132,0.981941
lerer,MG,505,2.465697,1.289282,0.014497,0.000052,0.985451
lerer,MG,510,2.333672,1.432955,0.014791,0.000017,0.985193
lerer,MG,515,2.167569,1.609133,0.016115,0.000004,0.983881
lerer,MG,520,2.028343,1.878739,0.018906,0.000001,0.981094
lerer,MG,525,1.918026,2.266074,0.023163,0.000000,0.976837
lerer,MG,530,1.835976,2.786649,0.028373,0.000000,0.971627
lerer,MG,535,1.857324,3.505913,0.033160,0.000000,0.966840
lerer,MG,540,2.117461,4.402861,0.034790,0.000000,0.965210
lerer,MG,545,2.698456,5.070427,0.031718,0.000000,0.968282
lerer,MG,550,3.621874,5.587037,0.026701,0.000000,0.973299
lerer,MG,555,4.786886,5.761265,0.021531,0.000000,0.978469
lerer,MG,560,5.977617,5.444745,0.017592,0.000000,0.982408
lerer,MG,565,6.742161,4.896300,0.016065,0.000000,0.983935
lerer,MG,570,6.964920,4.734642,0.016560,0.000000,0.983440
lerer,MG,575,7.169318,4.554192,0.017418,0.000000,0.982582
lerer,MG,580,7.337936,4.354630,0.018640,0.000000,0.981360
lerer,MG,585,7.501848,4.132347,0.020140,0.000000,0.979860
lerer,MG,590,7.639865,3.916424,0.021913,0.000000,0.978086
lerer,MG,595,7.755189,3.694938,0.023930,0.000001,0.976069
lerer,MG,600,7.848218,3.471011,0.026162,0.000003,0.973836
lerer,MG,605,7.919827,3.247479,0.028582,0.000006,0.971411
lerer,MG,610,7.971268,3.026829,0.031165,0.000016,0.968819
lerer,MG,615,7.987797,2.804114,0.033904,0.000037,0.966060
lerer,MG,620,8.003862,2.596588,0.036724,0.000081,0.963195
lerer,MG,625,8.004917,2.396959,0.039623,0.000171,0.960206
lerer,MG,630,7.992744,2.206188,0.042583,0.000345,0.957072
lerer,MG,635,7.969082,2.024924,0.045596,0.000667,0.953737
lerer,MG,640,7.935589,1.853546,0.048658,0.001235,0.950107
lerer,MG,645,7.887132,1.685369,0.051755,0.002241,0.946004
lerer,MG,650,7.838438,1.534721,0.054725,0.003816,0.941460
lerer,MG,655,7.530535,1.233973,0.056278,0.010119,0.933603
lerer,MG,660,7.059088,0.900388,0.056011,0.029977,0.914012
lerer,MG,665,6.690184,0.683900,0.063869,0.062395,0.873736
lerer,MG,670,6.389541,0.536460,0.068403,0.104714,0.826883
lerer,MG,675,6.148861,0.429721,0.054685,0.155191,0.790124
lerer,MG,680,5.947555,0.350217,0.032544,0.214825,0.752630
lerer,MG,685,5.778972,0.290180,0.035958,0.271632,0.692410
lerer,MG,690,5.644487,0.247951,0.069715,0.307312,0.622973
lerer,MG,695,5.549135,0.220026,0.098789,0.330728,0.570482
lerer,MG,700,5.463574,0.197647,0.115710,0.351140,0.533150
lerer,MG,705,5.387019,0.177467,0.109334,0.386819,0.503847
lerer,MG,710,5.317655,0.161118,0.086080,0.433551,0.480369
lerer,MG,715,5.255872,0.146271,0.062701,0.472642,0.464658
lerer,MG,720,5.198554,0.133951,0.037810,0.511493,0.450697
lerer,MG,725,5.146358,0.122402,0.012071,0.544765,0.443164
lerer,MG,730,5.099700,0.113197,0.016665,0.537858,0.445477
lerer,MG,735,5.062974,0.106280,0.046691,0.430413,0.522896
lerer,MG,740,5.028634,0.099988,0.023053,0.457249,0.519698
lerer,MG,745,4.996463,0.094248,0.056241,0.449610,0.494149
lerer,MG,750,4.966271,0.088996,0.074588,0.381916,0.543496
lerer,Bruggeman,400,3.262711,0.789729,0.066440,0.000998,0.932562
lerer,Bruggeman,405,3.259279,0.791803,0.066823,0.001063,0.932114
lerer,Bruggeman,410,3.256092,0.794313,0.067168,0.001128,0.931704
lerer,Bruggeman,415,3.252109,0.795530,0.067423,0.001205,0.931371
lerer,Bruggeman,420,3.247505,0.794740,0.067584,0.001307,0.931109
lerer,Bruggeman,425,3.242893,0.793930,0.067692,0.001414,0.930894
lerer,Bruggeman,430,3.235296,0.793064,0.067691,0.001523,0.930785
lerer,Bruggeman,435,3.224229,0.792341,0.067575,0.001632,0.930793
lerer,Bruggeman,440,3.213091,0.791520,0.067403,0.001746,0.930851
lerer,Bruggeman,445,3.196792,0.792192,0.067049,0.001836,0.931115
lerer,Bruggeman,450,3.173192,0.794040,0.066419,0.001900,0.931681
lerer,Bruggeman,455,3.148665,0.795801,0.065609,0.001964,0.932427
lerer,Bruggeman,460,3.123410,0.797940,0.064608,0.002020,0.933371
lerer,Bruggeman,465,3.093747,0.803403,0.063338,0.002019,0.934643
lerer,Bruggeman,470,3.063263,0.808507,0.061823,0.002019,0.936158
lerer,Bruggeman,475,3.031924,0.813215,0.060001,0.002022,0.937977
lerer,Bruggeman,480,2.991458,0.831513,0.057714,0.001818,0.940468
lerer,Bruggeman,485,2.943361,0.858620,0.054735,0.001523,0.943742
lerer,Bruggeman,490,2.893289,0.887104,0.050625,0.001259,0.948116
lerer,Bruggeman,495,2.839240,0.916357,0.043910,0.001028,0.955062
lerer,Bruggeman,500,2.802298,0.977906,0.017272,0.000667,0.982061
lerer,Bruggeman,505,2.769164,1.051333,0.013201,0.000419,0.986380
lerer,Bruggeman,510,2.737531,1.129135,0.012760,0.000257,0.986983
lerer,Bruggeman,515,2.707207,1.213648,0.012841,0.000152,0.987007
lerer,Bruggeman,520,2.703811,1.307345,0.013243,0.000088,0.986669
lerer,Bruggeman,525,2.717638,1.406332,0.013821,0.000052,0.986127
lerer,Bruggeman,530,2.736902,1.506156,0.014497,0.000031,0.985472
lerer,Bruggeman,535,2.763505,1.607295,0.015248,0.000019,0.984733
lerer,Bruggeman,540,2.795338,1.702607,0.016019,0.000012,0.983968
lerer,Bruggeman,545,2.832089,1.767744,0.016683,0.000010,0.983307
lerer,Bruggeman,550,2.873005,1.832078,0.017394,0.000008,0.982598
lerer,Bruggeman,555,2.915083,1.895698,0.018152,0.000007,0.981842
lerer,Bruggeman,560,2.959776,1.958518,0.018951,0.000006,0.981043
lerer,Bruggeman,565,2.996346,2.007401,0.019740,0.000005,0.980255
lerer,Bruggeman,570,3.004530,2.024050,0.020445,0.000005,0.979550
lerer,Bruggeman,575,3.012867,2.040711,0.021183,0.000005,0.978812
lerer,Bruggeman,580,3.021985,2.056479,0.021945,0.000006,0.978049
lerer,Bruggeman,585,3.031540,2.073782,0.022739,0.000006,0.977256
lerer,Bruggeman,590,3.040342,2.090469,0.023550,0.000006,0.976444
lerer,Bruggeman,595,3.049299,2.107167,0.024379,0.000006,0.975615
lerer,Bruggeman,600,3.058410,2.123875,0.025223,0.000006,0.974770
lerer,Bruggeman,605,3.067677,2.140595,0.026081,0.000007,0.973913
lerer,Bruggeman,610,3.077098,2.157325,0.026949,0.000007,0.973044
lerer,Bruggeman,615,3.088242,2.173701,0.027828,0.000007,0.972165
lerer,Bruggeman,620,3.097981,2.190438,0.028715,0.000007,0.971278
lerer,Bruggeman,625,3.107876,2.207184,0.029609,0.000007,0.970383
lerer,Bruggeman,630,3.117928,2.223939,0.030510,0.000008,0.969483
lerer,Bruggeman,635,3.128139,2.240702,0.031416,0.000008,0.968577
lerer,Bruggeman,640,3.138507,2.257473,0.032326,0.000008,0.967666
lerer,Bruggeman,645,3.150050,2.274830,0.033247,0.000008,0.966744
lerer,Bruggeman,650,3.160745,2.291612,0.034166,0.000009,0.965826
lerer,Bruggeman,655,3.212233,2.324969,0.035326,0.000009,0.964665
lerer,Bruggeman,660,3.306895,2.373775,0.036755,0.000009,0.963236
lerer,Bruggeman,665,3.403161,2.418393,0.038200,0.000009,0.961791
lerer,Bruggeman,670,3.503603,2.458547,0.039669,0.000009,0.960321
lerer,Bruggeman,675,3.605068,2.495437,0.041161,0.000010,0.958829
lerer,Bruggeman,680,3.710287,2.528606,0.042685,0.000011,0.957304
lerer,Bruggeman,685,3.818100,2.557451,0.044233,0.000012,0.955755
lerer,Bruggeman,690,3.921255,2.579140,0.045753,0.000013,0.954234
lerer,Bruggeman,695,4.006310,2.593656,0.047170,0.000015,0.952816
lerer,Bruggeman,700,4.092877,2.604059,0.048594,0.000017,0.951390
lerer,Bruggeman,705,4.180591,2.612780,0.050037,0.000019,0.949944
lerer,Bruggeman,710,4.269680,2.617118,0.051485,0.000022,0.948493
lerer,Bruggeman,715,4.358613,2.619549,0.052943,0.000025,0.947032
lerer,Bruggeman,720,4.450082,2.617351,0.054409,0.000030,0.945561
lerer,Bruggeman,725,4.542758,2.612998,0.055892,0.000035,0.944073
lerer,Bruggeman,730,4.633692,2.603886,0.057352,0.000042,0.942606
lerer,Bruggeman,735,4.711573,2.593088,0.058723,0.000050,0.941227
lerer,Bruggeman,740,4.790094,2.579546,0.060092,0.000059,0.939849
lerer,Bruggeman,745,4.869217,2.563139,0.061457,0.000071,0.938472
lerer,Bruggeman,750,4.948895,2.543736,0.062818,0.000086,0.937097
lerer,MLWA15,400,3.185116,0.877190,0.065939,0.000444,0.933616
