table,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
lerer,dilute,400,3.408024,0.830971,0.069783,0.000803,0.929415
lerer,dilute,410,3.402151,0.839821,0.070604,0.000883,0.928514
lerer,dilute,420,3.391741,0.844531,0.071140,0.000994,0.927866
lerer,dilute,430,3.375683,0.848297,0.071278,0.001114,0.927608
lerer,dilute,440,3.346758,0.856700,0.070930,0.001187,0.927883
lerer,dilute,450,3.295628,0.877743,0.069929,0.001125,0.928946
lerer,dilute,460,3.229123,0.903503,0.068083,0.001016,0.930902
lerer,dilute,470,3.146184,0.940527,0.065165,0.000832,0.934003
lerer,dilute,480,3.042310,0.997308,0.060789,0.000580,0.938631
lerer,dilute,490,2.886125,1.111323,0.053407,0.000254,0.946339
lerer,dilute,500,2.711442,1.295236,0.019800,0.000064,0.980136
lerer,dilute,510,2.536910,1.665444,0.016759,0.000005,0.983237
lerer,dilute,520,2.401031,2.294714,0.021216,0.000000,0.978784
lerer,dilute,530,2.781816,3.353490,0.025632,0.000000,0.974368
lerer,dilute,540,4.272566,4.337618,0.021541,0.000000,0.978459
lerer,dilute,550,5.759806,3.826406,0.015753,0.000000,0.984247
lerer,dilute,560,6.507929,2.678775,0.014856,0.000008,0.985136
lerer,dilute,570,6.612978,2.117992,0.017706,0.000102,0.982192
lerer,dilute,580,6.641650,1.885405,0.021458,0.000314,0.978229
lerer,dilute,590,6.645975,1.657641,0.025827,0.000897,0.973277
lerer,dilute,600,6.629827,1.451402,0.030548,0.002259,0.967193
lerer,dilute,610,6.595301,1.262069,0.035077,0.005150,0.959773
lerer,dilute,620,6.539560,1.090345,0.038798,0.010661,0.950540
lerer,dilute,630,6.481178,0.936166,0.042583,0.020243,0.937175
lerer,dilute,640,6.415581,0.798254,0.048509,0.035525,0.915966
lerer,dilute,650,6.341837,0.673525,0.056751,0.058692,0.884557
lerer,dilute,660,5.932366,0.445923,0.052322,0.138842,0.808836
lerer,dilute,670,5.564019,0.295356,0.030463,0.257935,0.711602
lerer,dilute,680,5.304840,0.207227,0.090498,0.345071,0.564431
lerer,dilute,690,5.118068,0.154337,0.096606,0.433271,0.470123
lerer,dilute,700,5.002597,0.126868,0.054191,0.512125,0.433684
lerer,dilute,710,4.907064,0.106052,0.014385,0.597658,0.387957
lerer,dilute,720,4.827415,0.090017,0.020816,0.623449,0.355735
lerer,dilute,730,4.760116,0.077402,0.068292,0.463689,0.468019
lerer,dilute,740,4.711054,0.069234,0.026606,0.583972,0.389423
lerer,dilute,750,4.667510,0.062310,0.069252,0.683073,0.247676
lerer,LL,400,3.593667,0.476604,0.069112,0.016721,0.914167
lerer,LL,410,3.595569,0.482396,0.070765,0.017601,0.911634
lerer,LL,420,3.594049,0.488807,0.073233,0.018315,0.908452
lerer,LL,430,3.590156,0.497593,0.074167,0.018677,0.907156
lerer,LL,440,3.584056,0.514396,0.073465,0.017933,0.908602
lerer,LL,450,3.577110,0.547513,0.073113,0.015283,0.911604
lerer,LL,460,3.569202,0.592434,0.073152,0.012019,0.914828
lerer,LL,470,3.566066,0.653669,0.072313,0.008535,0.919152
lerer,LL,480,3.577350,0.737800,0.069844,0.005308,0.924848
lerer,LL,490,3.639814,0.871152,0.064553,0.002518,0.932929
lerer,LL,500,3.792242,0.995815,0.021996,0.001368,0.976635
lerer,LL,510,4.070300,1.000034,0.013598,0.001900,0.984502
lerer,LL,520,4.321911,0.834977,0.012042,0.006586,0.981372
lerer,LL,530,4.397676,0.566503,0.012091,0.034690,0.953218
lerer,LL,540,4.369890,0.357552,0.017795,0.119379,0.862826
lerer,LL,550,4.309028,0.257481,0.023582,0.215513,0.760905
lerer,LL,560,4.250105,0.185020,0.017681,0.326373,0.655945
lerer,LL,570,4.223158,0.154746,0.008750,0.393639,0.597611
lerer,LL,580,4.212728,0.140922,0.007233,0.438056,0.554711
lerer,LL,590,4.202053,0.127355,0.023188,0.468137,0.508675
lerer,LL,600,4.191837,0.114871,0.052164,0.486790,0.461046
lerer,LL,610,4.181661,0.103202,0.071906,0.513650,0.414445
lerer,LL,620,4.171016,0.092573,0.071924,0.554154,0.373922
lerer,LL,630,4.161039,0.082396,0.053836,0.602122,0.344042
lerer,LL,640,4.151182,0.072894,0.033319,0.634355,0.332327
lerer,LL,650,4.141096,0.063935,0.016029,0.685856,0.298116
lerer,LL,660,4.093739,0.051377,0.004487,0.758939,0.236574
lerer,LL,670,4.044491,0.041006,0.030941,0.758736,0.210323
lerer,LL,680,4.004484,0.033118,0.057510,0.772099,0.170391
lerer,LL,690,3.972248,0.027454,0.056120,0.808019,0.135861
lerer,LL,700,3.950641,0.024178,0.071413,0.820340,0.108247
lerer,LL,710,3.931649,0.021435,0.079297,0.829930,0.090773
lerer,LL,720,3.914968,0.019132,0.070781,0.847746,0.081473
lerer,LL,730,3.900224,0.017181,0.055972,0.845548,0.098480
lerer,LL,740,3.889081,0.015872,0.028390,0.860593,0.111017
lerer,LL,750,3.878892,0.014706,0.112159,0.694039,0.193802
jc,dilute,400,3.320768,0.936033,0.069438,0.000312,0.930250
jc,dilute,410,3.319790,0.941828,0.070186,0.000361,0.929454
jc,dilute,420,3.315041,0.944086,0.070686,0.000425,0.928890
jc,dilute,430,3.308384,0.944543,0.070926,0.000502,0.928573
jc,dilute,440,3.280510,0.955506,0.070609,0.000532,0.928859
jc,dilute,450,3.249941,0.966791,0.069904,0.000559,0.929536
jc,dilute,460,3.210493,0.968124,0.068376,0.000624,0.931000
jc,dilute,470,3.168658,0.966591,0.065958,0.000705,0.933337
jc,dilute,480,3.087740,1.012398,0.061925,0.000545,0.937530
jc,dilute,490,2.985319,1.070310,0.054629,0.000378,0.944993
jc,dilute,500,2.849950,1.188761,0.019320,0.000161,0.980519
jc,dilute,510,2.656438,1.449260,0.014931,0.000026,0.985043
jc,dilute,520,2.398088,1.847182,0.017400,0.000001,0.982599
jc,dilute,530,2.362911,2.445023,0.021830,0.000000,0.978170
jc,dilute,540,2.611257,3.258410,0.025303,0.000000,0.974697
jc,dilute,550,3.425372,4.119880,0.024247,0.000000,0.975753
jc,dilute,560,4.852200,4.372837,0.019975,0.000000,0.980025
jc,dilute,570,6.144135,3.678296,0.018220,0.000000,0.981779
jc,dilute,580,6.688055,2.591036,0.020624,0.000019,0.979356
jc,dilute,590,6.614224,1.670370,0.025826,0.000840,0.973334
jc,dilute,600,6.346114,1.087681,0.031171,0.008863,0.959966
jc,dilute,610,6.070604,0.733345,0.033822,0.037722,0.928456
jc,dilute,620,5.834660,0.514390,0.045755,0.093411,0.860834
jc,dilute,630,5.643962,0.374954,0.054005,0.168738,0.777257
jc,dilute,640,5.485252,0.279278,0.037721,0.256634,0.705646
jc,dilute,650,5.352697,0.211598,0.016228,0.357928,0.625843
jc,dilute,660,5.240892,0.163078,0.048788,0.425994,0.525217
jc,dilute,670,5.142754,0.137348,0.100437,0.455103,0.444460
jc,dilute,680,5.059638,0.117355,0.115714,0.492571,0.391715
jc,dilute,690,4.988377,0.101509,0.078057,0.562448,0.359494
jc,dilute,700,4.926626,0.088735,0.042125,0.611478,0.346396
jc,dilute,710,4.871096,0.079323,0.008538,0.679767,0.311695
jc,dilute,720,4.821234,0.072233,0.021831,0.675311,0.302858
jc,dilute,730,4.777225,0.066214,0.060143,0.507279,0.432578
jc,dilute,740,4.738098,0.061050,0.030777,0.556120,0.413103
jc,dilute,750,4.703082,0.056578,0.060107,0.705595,0.234298
jc,LL,400,3.615240,0.553129,0.070570,0.009015,0.920416
jc,LL,410,3.617900,0.555356,0.071762,0.009925,0.918313
jc,LL,420,3.617650,0.558451,0.073597,0.010762,0.915642
jc,LL,430,3.615921,0.562013,0.074699,0.011572,0.913728
jc,LL,440,3.613572,0.579858,0.074595,0.011162,0.914243
jc,LL,450,3.611067,0.599693,0.074235,0.010622,0.915143
jc,LL,460,3.600911,0.622457,0.073854,0.009864,0.916282
jc,LL,470,3.588569,0.646990,0.072729,0.009048,0.918224
jc,LL,480,3.597788,0.710028,0.070159,0.006480,0.923361
jc,LL,490,3.619235,0.792033,0.063804,0.004177,0.932019
jc,LL,500,3.698610,0.900865,0.021215,0.002349,0.976436
jc,LL,510,3.911292,1.000021,0.013570,0.001717,0.984713
jc,LL,520,4.199695,0.990338,0.012498,0.002524,0.984978
jc,LL,530,4.361119,0.798636,0.012537,0.009250,0.978214
jc,LL,540,4.413167,0.597171,0.014572,0.031723,0.953705
jc,LL,550,4.400147,0.433155,0.019396,0.082873,0.897731
jc,LL,560,4.354765,0.315407,0.021166,0.162305,0.816529
jc,LL,570,4.302654,0.231449,0.014566,0.260217,0.725217
jc,LL,580,4.251903,0.171589,0.007997,0.370203,0.621800
jc,LL,590,4.200694,0.129619,0.023310,0.462310,0.514380
jc,LL,600,4.155540,0.099786,0.059130,0.523935,0.416935
jc,LL,610,4.116970,0.077948,0.077933,0.587218,0.334849
jc,LL,620,4.084358,0.061822,0.064138,0.660542,0.275320
jc,LL,630,4.057024,0.049820,0.034459,0.714709,0.250832
jc,LL,640,4.033112,0.040413,0.017803,0.756685,0.225512
jc,LL,650,4.012062,0.032938,0.002427,0.834254,0.163318
jc,LL,660,3.993391,0.027039,0.013515,0.849564,0.136920
jc,LL,670,3.976340,0.024095,0.049726,0.804475,0.145799
jc,LL,680,3.961172,0.021622,0.055256,0.829661,0.115083
jc,LL,690,3.947591,0.019522,0.060919,0.834414,0.104667
jc,LL,700,3.935363,0.017725,0.073719,0.846484,0.079796
jc,LL,710,3.923993,0.016404,0.080221,0.849519,0.070260
jc,LL,720,3.913458,0.015417,0.071247,0.862498,0.066255
jc,LL,730,3.903882,0.014538,0.055345,0.862124,0.082531
jc,LL,740,3.895141,0.013751,0.030083,0.872681,0.097235
jc,LL,750,3.887129,0.013041,0.146851,0.628296,0.224853
jc,Au10,400,3.226570,0.964643,0.067980,0.000223,0.931797
jc,Au10,410,3.224379,0.970288,0.068649,0.000260,0.931091
jc,Au10,420,3.219119,0.971575,0.069065,0.000311,0.930625
jc,Au10,430,3.212320,0.970647,0.069241,0.000373,0.930385
jc,Au10,440,3.182076,0.975831,0.068772,0.000414,0.930813
jc,Au10,450,3.149267,0.980687,0.067902,0.000457,0.931640
