design,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
original,MG,400,3.336663,0.874587,0.002355,0.000000,0.997645
original,MG,410,3.328900,0.882620,0.002340,0.000000,0.997660
original,MG,420,3.317252,0.885483,0.002446,0.000000,0.997554
original,MG,430,3.300007,0.886273,0.002243,0.000000,0.997756
original,MG,440,3.268788,0.889322,0.001924,0.000000,0.998076
original,MG,450,3.212887,0.900809,0.001648,0.000001,0.998351
original,MG,460,3.141378,0.913672,0.001533,0.000001,0.998466
original,MG,470,3.052624,0.933814,0.001644,0.000000,0.998355
original,MG,480,2.941474,0.967668,0.001984,0.000000,0.998015
original,MG,490,2.772457,1.041361,0.002568,0.000000,0.997432
original,MG,500,2.575719,1.166158,0.003387,0.000000,0.996613
original,MG,510,2.333672,1.432955,0.004860,0.000000,0.995140
original,MG,520,2.028343,1.878739,0.007904,0.000000,0.992096
original,MG,530,1.835976,2.786649,0.014056,0.000000,0.985944
original,MG,540,2.117461,4.402861,0.019442,0.000000,0.980558
original,MG,550,3.621874,5.587037,0.015850,0.000000,0.984150
original,MG,560,5.977617,5.444745,0.010051,0.000000,0.989949
original,MG,570,6.964920,4.734642,0.008466,0.000000,0.991534
original,MG,580,7.337936,4.354630,0.008975,0.000000,0.991025
original,MG,590,7.639865,3.916424,0.010183,0.000000,0.989817
original,MG,600,7.848218,3.471011,0.012142,0.000000,0.987858
original,MG,610,7.971268,3.026829,0.014830,0.000000,0.985170
original,MG,620,8.003862,2.596588,0.018217,0.000000,0.981783
original,MG,630,7.992744,2.206188,0.022118,0.000000,0.977882
original,MG,640,7.935589,1.853546,0.026343,0.000001,0.973656
original,MG,650,7.838438,1.534721,0.030633,0.000011,0.969356
original,MG,660,7.059088,0.900388,0.034299,0.000765,0.964936
original,MG,670,6.389541,0.536460,0.036333,0.010281,0.953386
original,MG,680,5.947555,0.350217,0.037410,0.042619,0.919972
original,MG,690,5.644487,0.247951,0.028293,0.096021,0.875686
original,MG,700,5.463574,0.197647,0.036902,0.157280,0.805818
original,MG,710,5.317655,0.161118,0.041348,0.210527,0.748126
original,MG,720,5.198554,0.133951,0.015083,0.267201,0.717716
original,MG,730,5.099700,0.113197,0.046039,0.333963,0.619999
original,MG,740,5.028634,0.099988,0.057561,0.371749,0.570689
original,MG,750,4.966271,0.088996,0.028255,0.406105,0.565639
original,Bruggeman,400,3.262711,0.789729,0.002100,0.000001,0.997899
original,Bruggeman,410,3.256092,0.794313,0.002017,0.000001,0.997982
original,Bruggeman,420,3.247505,0.794740,0.002122,0.000001,0.997877
original,Bruggeman,430,3.235296,0.793064,0.001941,0.000002,0.998058
original,Bruggeman,440,3.213091,0.791520,0.001653,0.000002,0.998345
original,Bruggeman,450,3.173192,0.794040,0.001407,0.000003,0.998591
original,Bruggeman,460,3.123410,0.797940,0.001313,0.000003,0.998684
original,Bruggeman,470,3.063263,0.808507,0.001426,0.000003,0.998571
original,Bruggeman,480,2.991458,0.831513,0.001744,0.000002,0.998253
original,Bruggeman,490,2.893289,0.887104,0.002256,0.000001,0.997743
original,Bruggeman,500,2.802298,0.977906,0.002917,0.000000,0.997083
original,Bruggeman,510,2.737531,1.129135,0.003779,0.000000,0.996221
original,Bruggeman,520,2.703811,1.307345,0.004820,0.000000,0.995180
original,Bruggeman,530,2.736902,1.506156,0.006017,0.000000,0.993983
original,Bruggeman,540,2.795338,1.702607,0.007306,0.000000,0.992694
original,Bruggeman,550,2.873005,1.832078,0.008470,0.000000,0.991530
original,Bruggeman,560,2.959776,1.958518,0.009699,0.000000,0.990301
original,Bruggeman,570,3.004530,2.024050,0.010861,0.000000,0.989139
