design,variant,lambda_nm,R,T,A_layers,A_total
improved,motheye_h300,400,0.000219,0.000000,0.999781,0.999781
improved,motheye_h300,410,0.000341,0.000000,0.999659,0.999659
improved,motheye_h300,420,0.000464,0.000000,0.999536,0.999536
improved,motheye_h300,430,0.000584,0.000000,0.999416,0.999416
improved,motheye_h300,440,0.000706,0.000000,0.999294,0.999294
improved,motheye_h300,450,0.000843,0.000000,0.999157,0.999157
improved,motheye_h300,460,0.000985,0.000000,0.999015,0.999015
improved,motheye_h300,470,0.001084,0.000000,0.998916,0.998916
improved,motheye_h300,480,0.001080,0.000000,0.998920,0.998920
improved,motheye_h300,490,0.000914,0.000000,0.999086,0.999086
improved,motheye_h300,500,0.000691,0.000000,0.999309,0.999309
improved,motheye_h300,510,0.000483,0.000000,0.999517,0.999517
improved,motheye_h300,520,0.000325,0.000000,0.999675,0.999675
improved,motheye_h300,530,0.000501,0.000000,0.999499,0.999499
improved,motheye_h300,540,0.001176,0.000000,0.998824,0.998824
improved,motheye_h300,550,0.001405,0.000000,0.998595,0.998595
improved,motheye_h300,560,0.001047,0.000000,0.998953,0.998953
improved,motheye_h300,570,0.000837,0.000000,0.999163,0.999163
improved,motheye_h300,580,0.000802,0.000000,0.999198,0.999198
improved,motheye_h300,590,0.000850,0.000000,0.999150,0.999150
improved,motheye_h300,600,0.001000,0.000000,0.999000,0.999000
improved,motheye_h300,610,0.001263,0.000000,0.998737,0.998737
improved,motheye_h300,620,0.001622,0.000000,0.998378,0.998378
improved,motheye_h300,630,0.001946,0.000000,0.998054,0.998054
improved,motheye_h300,640,0.002015,0.000000,0.997985,0.997985
improved,motheye_h300,650,0.001823,0.000000,0.998177,0.998177
improved,motheye_h300,660,0.005960,0.000000,0.994040,0.994040
improved,motheye_h300,670,0.010991,0.000001,0.989008,0.989009
improved,motheye_h300,680,0.006839,0.000038,0.993123,0.993161
improved,motheye_h300,690,0.003394,0.000326,0.996279,0.996606
improved,motheye_h300,700,0.000141,0.000917,0.998942,0.999859
improved,motheye_h300,710,0.012478,0.001817,0.985705,0.987522
improved,motheye_h300,720,0.001742,0.003151,0.995107,0.998258
improved,motheye_h300,730,0.042549,0.004333,0.953118,0.957451
improved,motheye_h300,740,0.062643,0.005509,0.931848,0.937357
improved,motheye_h300,750,0.015357,0.007398,0.977245,0.984643
improved,motheye_h500,400,0.000057,0.000000,0.999943,0.999943
improved,motheye_h500,410,0.000049,0.000000,0.999951,0.999951
improved,motheye_h500,420,0.000050,0.000000,0.999950,0.999950
improved,motheye_h500,430,0.000063,0.000000,0.999937,0.999937
improved,motheye_h500,440,0.000090,0.000000,0.999910,0.999910
improved,motheye_h500,450,0.000132,0.000000,0.999868,0.999868
improved,motheye_h500,460,0.000189,0.000000,0.999811,0.999811
improved,motheye_h500,470,0.000243,0.000000,0.999757,0.999757
improved,motheye_h500,480,0.000267,0.000000,0.999733,0.999733
improved,motheye_h500,490,0.000231,0.000000,0.999769,0.999769
improved,motheye_h500,500,0.000167,0.000000,0.999833,0.999833
improved,motheye_h500,510,0.000102,0.000000,0.999898,0.999898
improved,motheye_h500,520,0.000052,0.000000,0.999948,0.999948
improved,motheye_h500,530,0.000046,0.000000,0.999954,0.999954
improved,motheye_h500,540,0.000090,0.000000,0.999910,0.999910
improved,motheye_h500,550,0.000106,0.000000,0.999894,0.999894
improved,motheye_h500,560,0.000073,0.000000,0.999927,0.999927
improved,motheye_h500,570,0.000063,0.000000,0.999937,0.999937
improved,motheye_h500,580,0.000063,0.000000,0.999937,0.999937
improved,motheye_h500,590,0.000072,0.000000,0.999928,0.999928
improved,motheye_h500,600,0.000087,0.000000,0.999913,0.999913
improved,motheye_h500,610,0.000111,0.000000,0.999889,0.999889
improved,motheye_h500,620,0.000148,0.000000,0.999852,0.999852
