lambda_nm,I_wcm2,P_lin,P_dec,P_sc,dP_dec,dP_sc,ratio_cyl_lin,ratio_film_lin,ratio_cyl_sc,ratio_film_sc,Re_eps_cyl_sc,Im_eps_cyl_sc,Re_eps_film_sc,Im_eps_film_sc,Re_eps_dec,Im_eps_dec,iterations,converged
400,1.000e+06,0.701497,0.701446,0.701471,-0.000051,-0.000026,0.81805,0.40859,0.81805,0.40862,3.22706,0.96455,3.22681,0.96460,3.22717,0.96453,9,1
400,5.000e+06,0.701497,0.701241,0.701366,-0.000256,-0.000131,0.81805,0.40859,0.81808,0.40872,3.22901,0.96417,3.22779,0.96441,3.22956,0.96407,11,1
400,2.000e+07,0.701497,0.700480,0.700975,-0.001017,-0.000521,0.81805,0.40859,0.81816,0.40912,3.23620,0.96276,3.23144,0.96370,3.23829,0.96234,13,1
410,1.000e+06,0.694230,0.694178,0.694203,-0.000053,-0.000027,0.82874,0.41017,0.82874,0.41020,3.22488,0.97019,3.22463,0.97024,3.22499,0.97017,9,1
410,5.000e+06,0.694230,0.693968,0.694094,-0.000263,-0.000136,0.82874,0.41017,0.82878,0.41030,3.22689,0.96979,3.22563,0.97004,3.22741,0.96969,11,1
410,2.000e+07,0.694230,0.693186,0.693688,-0.001045,-0.000543,0.82874,0.41017,0.82891,0.41070,3.23429,0.96831,3.22934,0.96931,3.23628,0.96790,13,1
420,1.000e+06,0.685601,0.685548,0.685573,-0.000053,-0.000028,0.84004,0.41302,0.84005,0.41304,3.21964,0.97148,3.21937,0.97153,3.21974,0.97146,9,1
420,5.000e+06,0.685601,0.685335,0.685461,-0.000267,-0.000140,0.84004,0.41302,0.84009,0.41314,3.22171,0.97108,3.22040,0.97133,3.22220,0.97098,11,1
420,2.000e+07,0.685601,0.684542,0.685042,-0.001059,-0.000559,0.84004,0.41302,0.84026,0.41351,3.22931,0.96958,3.22419,0.97060,3.23120,0.96920,13,1
430,1.000e+06,0.676381,0.676327,0.676353,-0.000054,-0.000029,0.85091,0.41675,0.85092,0.41677,3.21285,0.97055,3.21258,0.97060,3.21295,0.97053,9,1
430,5.000e+06,0.676381,0.676112,0.676237,-0.000269,-0.000144,0.85091,0.41675,0.85096,0.41686,3.21498,0.97016,3.21363,0.97041,3.21545,0.97007,11,1
430,2.000e+07,0.676381,0.675311,0.675805,-0.001071,-0.000576,0.85091,0.41675,0.85114,0.41719,3.22280,0.96869,3.21751,0.96969,3.22459,0.96834,13,1
440,1.000e+06,0.670099,0.670044,0.670069,-0.000055,-0.000030,0.85985,0.41932,0.85986,0.41934,3.18266,0.97574,3.18236,0.97579,3.18276,0.97572,9,1
440,5.000e+06,0.670099,0.669824,0.669949,-0.000275,-0.000150,0.85985,0.41932,0.85989,0.41941,3.18500,0.97537,3.18351,0.97561,3.18547,0.97530,11,1
440,2.000e+07,0.670099,0.669004,0.669499,-0.001096,-0.000600,0.85985,0.41932,0.86001,0.41969,3.19357,0.97398,3.18775,0.97493,3.19539,0.97368,13,1
450,1.000e+06,0.664533,0.664477,0.664502,-0.000056,-0.000031,0.86905,0.42254,0.86905,0.42256,3.14991,0.98060,3.14958,0.98065,3.15001,0.98059,9,1
450,5.000e+06,0.664533,0.664253,0.664377,-0.000280,-0.000157,0.86905,0.42254,0.86905,0.42261,3.15249,0.98027,3.15084,0.98048,3.15297,0.98021,11,1
450,2.000e+07,0.664533,0.663417,0.663908,-0.001117,-0.000625,0.86905,0.42254,0.86907,0.42283,3.16192,0.97900,3.15550,0.97987,3.16377,0.97874,13,1
460,1.000e+06,0.656524,0.656471,0.656493,-0.000052,-0.000030,0.88333,0.43001,0.88332,0.43001,3.11071,0.97374,3.11034,0.97378,3.11080,0.97374,9,1
460,5.000e+06,0.656524,0.656261,0.656372,-0.000262,-0.000151,0.88333,0.43001,0.88326,0.43004,3.11354,0.97350,3.11173,0.97366,3.11401,0.97346,11,1
460,2.000e+07,0.656524,0.655475,0.655919,-0.001048,-0.000605,0.88333,0.43001,0.88309,0.43015,3.12391,0.97256,3.11686,0.97321,3.12570,0.97239,13,1
470,1.000e+06,0.648887,0.648841,0.648859,-0.000046,-0.000028,0.90120,0.43887,0.90117,0.43887,3.07009,0.96369,3.06969,0.96370,3.07018,0.96369,9,1
470,5.000e+06,0.648887,0.648656,0.648748,-0.000231,-0.000138,0.90120,0.43887,0.90104,0.43886,3.07321,0.96357,3.07121,0.96365,3.07364,0.96356,11,1
470,2.000e+07,0.648887,0.647958,0.648331,-0.000929,-0.000555,0.90120,0.43887,0.90062,0.43884,3.08460,0.96307,3.07686,0.96342,3.08624,0.96299,13,1
480,1.000e+06,0.657525,0.657480,0.657497,-0.000045,-0.000028,0.91469,0.43748,0.91463,0.43746,2.98270,0.99136,2.98217,0.99135,2.98279,0.99136,10,1
480,5.000e+06,0.657525,0.657300,0.657385,-0.000225,-0.000140,0.91469,0.43748,0.91438,0.43741,2.98673,0.99139,2.98411,0.99137,2.98720,0.99140,12,1
480,2.000e+07,0.657525,0.656606,0.656958,-0.000919,-0.000567,0.91469,0.43748,0.91352,0.43723,3.00136,0.99141,2.99126,0.99142,3.00315,0.99140,14,1
490,1.000e+06,0.672476,0.672439,0.672451,-0.000038,-0.000025,0.93742,0.43518,0.93730,0.43515,2.87411,1.02468,2.87337,1.02463,2.87420,1.02469,10,1
490,5.000e+06,0.672476,0.672285,0.672350,-0.000191,-0.000126,0.93742,0.43518,0.93685,0.43502,2.87958,1.02502,2.87593,1.02480,2.88004,1.02504,12,1
490,2.000e+07,0.672476,0.671668,0.671956,-0.000809,-0.000521,0.93742,0.43518,0.93528,0.43458,2.89927,1.02603,2.88533,1.02535,2.90103,1.02610,14,1
