design,variant,lambda_nm,R,T,A_layers,A_total
improved,cone_h300,400,0.015765,0.000000,0.984235,0.984235
improved,cone_h300,450,0.019521,0.000000,0.980479,0.980479
improved,cone_h300,500,0.016150,0.000000,0.983850,0.983850
improved,cone_h300,550,0.033366,0.000000,0.966634,0.966634
improved,cone_h300,600,0.041691,0.000000,0.958309,0.958309
improved,cone_h300,650,0.049468,0.000000,0.950532,0.950532
improved,cone_h300,700,0.036041,0.000918,0.963042,0.963959
improved,cone_h300,750,0.008217,0.007577,0.984206,0.991783
improved,motheye_h300,400,0.000219,0.000000,0.999781,0.999781
improved,motheye_h300,450,0.000843,0.000000,0.999157,0.999157
improved,motheye_h300,500,0.000691,0.000000,0.999309,0.999309
improved,motheye_h300,550,0.001405,0.000000,0.998595,0.998595
improved,motheye_h300,600,0.001000,0.000000,0.999000,0.999000
improved,motheye_h300,650,0.001823,0.000000,0.998177,0.998177
improved,motheye_h300,700,0.000141,0.000917,0.998942,0.999859
improved,motheye_h300,750,0.015357,0.007398,0.977245,0.984643
improved,motheye_h500,400,0.000057,0.000000,0.999943,0.999943
improved,motheye_h500,450,0.000132,0.000000,0.999868,0.999868
improved,motheye_h500,500,0.000167,0.000000,0.999833,0.999833
improved,motheye_h500,550,0.000106,0.000000,0.999894,0.999894
improved,motheye_h500,600,0.000087,0.000000,0.999913,0.999913
improved,motheye_h500,650,0.000116,0.000000,0.999884,0.999884
improved,motheye_h500,700,0.000838,0.000881,0.998281,0.999162
improved,motheye_h500,750,0.013459,0.007286,0.979255,0.986541
improved,frustum_h300,400,0.009267,0.000000,0.990733,0.990733
improved,frustum_h300,450,0.005647,0.000000,0.994353,0.994353
improved,frustum_h300,500,0.008723,0.000000,0.991277,0.991277
improved,frustum_h300,550,0.015099,0.000000,0.984901,0.984901
improved,frustum_h300,600,0.025184,0.000000,0.974816,0.974816
improved,frustum_h300,650,0.050787,0.000000,0.949213,0.949213
improved,frustum_h300,700,0.052910,0.000889,0.946201,0.947090
improved,frustum_h300,750,0.018887,0.007453,0.973660,0.981113
original,cone_h300,400,0.008115,0.000000,0.991885,0.991885
original,cone_h300,450,0.007941,0.000000,0.992059,0.992059
original,cone_h300,500,0.009799,0.000000,0.990201,0.990201
original,cone_h300,550,0.030820,0.000000,0.969180,0.969180
original,cone_h300,600,0.042448,0.000000,0.957552,0.957552
original,cone_h300,650,0.034283,0.000006,0.965711,0.965717
original,cone_h300,700,0.029731,0.144019,0.826250,0.970269
original,cone_h300,750,0.001953,0.413876,0.584170,0.998047
original,motheye_h300,400,0.001197,0.000000,0.998803,0.998803
original,motheye_h300,450,0.000226,0.000000,0.999774,0.999774
original,motheye_h300,500,0.000021,0.000000,0.999979,0.999979
original,motheye_h300,550,0.001092,0.000000,0.998908,0.998908
original,motheye_h300,600,0.000750,0.000000,0.999250,0.999250
original,motheye_h300,650,0.003489,0.000003,0.996508,0.996511
original,motheye_h300,700,0.002716,0.106890,0.890394,0.997284
original,motheye_h300,750,0.038348,0.330970,0.630683,0.961652
original,motheye_h500,400,0.000311,0.000000,0.999689,0.999689
original,motheye_h500,450,0.000087,0.000000,0.999913,0.999913
original,motheye_h500,500,0.000035,0.000000,0.999965,0.999965
original,motheye_h500,550,0.000368,0.000000,0.999632,0.999632
original,motheye_h500,600,0.000966,0.000000,0.999034,0.999034
original,motheye_h500,650,0.001972,0.000000,0.998028,0.998028
original,motheye_h500,700,0.001153,0.084271,0.914576,0.998847
original,motheye_h500,750,0.006180,0.287146,0.706674,0.993820
original,frustum_h300,400,0.001562,0.000000,0.998438,0.998438
original,frustum_h300,450,0.003152,0.000000,0.996848,0.996848
original,frustum_h300,500,0.007329,0.000000,0.992671,0.992671
original,frustum_h300,550,0.040592,0.000000,0.959408,0.959408
original,frustum_h300,600,0.051641,0.000000,0.948359,0.948359
original,frustum_h300,650,0.034403,0.000001,0.965595,0.965597
original,frustum_h300,700,0.036546,0.119519,0.843935,0.963454
original,frustum_h300,750,0.003846,0.388585,0.607568,0.996154
