design,variant,lambda_nm,R,T,A_layers,A_total
improved,square,400,0.013307,0.000000,0.986693,0.986693
improved,square,410,0.010933,0.000000,0.989067,0.989067
improved,square,420,0.008852,0.000000,0.991148,0.991148
improved,square,430,0.007016,0.000000,0.992984,0.992984
improved,square,440,0.005309,0.000000,0.994691,0.994691
improved,square,450,0.003656,0.000000,0.996344,0.996344
improved,square,460,0.002205,0.000000,0.997795,0.997795
improved,square,470,0.001072,0.000000,0.998928,0.998928
improved,square,480,0.000346,0.000000,0.999654,0.999654
improved,square,490,0.000029,0.000000,0.999971,0.999971
improved,square,500,0.000088,0.000000,0.999912,0.999912
improved,square,510,0.000552,0.000000,0.999448,0.999448
improved,square,520,0.001806,0.000000,0.998194,0.998194
improved,square,530,0.004423,0.000000,0.995577,0.995577
improved,square,540,0.007488,0.000000,0.992512,0.992512
improved,square,550,0.006662,0.000000,0.993338,0.993338
improved,square,560,0.005155,0.000000,0.994845,0.994845
improved,square,570,0.004357,0.000000,0.995643,0.995643
improved,square,580,0.003709,0.000000,0.996291,0.996291
improved,square,590,0.003020,0.000000,0.996980,0.996980
improved,square,600,0.002274,0.000000,0.997726,0.997726
improved,square,610,0.001512,0.000000,0.998488,0.998488
improved,square,620,0.000866,0.000000,0.999134,0.999134
improved,square,630,0.000547,0.000000,0.999453,0.999453
improved,square,640,0.000485,0.000000,0.999515,0.999515
improved,square,650,0.000339,0.000000,0.999661,0.999661
improved,square,660,0.005021,0.000000,0.994979,0.994979
improved,square,670,0.020407,0.000001,0.979592,0.979593
improved,square,680,0.017451,0.000040,0.982509,0.982549
improved,square,690,0.006608,0.000341,0.993051,0.993392
improved,square,700,0.004258,0.000946,0.994796,0.995742
improved,square,710,0.010359,0.001874,0.987767,0.989641
improved,square,720,0.017945,0.003174,0.978881,0.982055
improved,square,730,0.056048,0.004361,0.939590,0.943952
improved,square,740,0.127186,0.005231,0.867583,0.872814
improved,square,750,0.003667,0.007603,0.988730,0.996333
improved,circle_area,400,0.012346,0.000000,0.987654,0.987654
improved,circle_area,410,0.010078,0.000000,0.989922,0.989922
improved,circle_area,420,0.008102,0.000000,0.991898,0.991898
improved,circle_area,430,0.006376,0.000000,0.993624,0.993624
improved,circle_area,440,0.004792,0.000000,0.995208,0.995208
improved,circle_area,450,0.003277,0.000000,0.996723,0.996723
improved,circle_area,460,0.001964,0.000000,0.998036,0.998036
improved,circle_area,470,0.000950,0.000000,0.999050,0.999050
improved,circle_area,480,0.000308,0.000000,0.999692,0.999692
improved,circle_area,490,0.000027,0.000000,0.999973,0.999973
improved,circle_area,500,0.000086,0.000000,0.999914,0.999914
improved,circle_area,510,0.000480,0.000000,0.999520,0.999520
improved,circle_area,520,0.001502,0.000000,0.998498,0.998498
improved,circle_area,530,0.003423,0.000000,0.996577,0.996577
improved,circle_area,540,0.005292,0.000000,0.994708,0.994708
improved,circle_area,550,0.004268,0.000000,0.995732,0.995732
improved,circle_area,560,0.003062,0.000000,0.996938,0.996938
improved,circle_area,570,0.002456,0.000000,0.997544,0.997544
improved,circle_area,580,0.001967,0.000000,0.998033,0.998033
improved,circle_area,590,0.001463,0.000000,0.998537,0.998537
improved,circle_area,600,0.000958,0.000000,0.999042,0.999042
improved,circle_area,610,0.000518,0.000000,0.999482,0.999482
improved,circle_area,620,0.000285,0.000000,0.999715,0.999715
improved,circle_area,630,0.000379,0.000000,0.999621,0.999621
improved,circle_area,640,0.000642,0.000000,0.999358,0.999358
improved,circle_area,650,0.000774,0.000000,0.999226,0.999226
improved,circle_area,660,0.007817,0.000000,0.992183,0.992183
improved,circle_area,670,0.023955,0.000001,0.976044,0.976045
improved,circle_area,680,0.018604,0.000040,0.981355,0.981396
improved,circle_area,690,0.006517,0.000341,0.993142,0.993483
improved,circle_area,700,0.005598,0.000946,0.993456,0.994402
improved,circle_area,710,0.013002,0.001871,0.985128,0.986998
improved,circle_area,720,0.020034,0.003169,0.976796,0.979966
improved,circle_area,730,0.061879,0.004338,0.933783,0.938121
improved,circle_area,740,0.132397,0.005202,0.862401,0.867603
improved,circle_area,750,0.002918,0.007613,0.989470,0.997082
improved,frustum,400,0.011715,0.000000,0.988285,0.988285
improved,frustum,410,0.012552,0.000000,0.987448,0.987448
improved,frustum,420,0.013441,0.000000,0.986559,0.986559
improved,frustum,430,0.014455,0.000000,0.985545,0.985545
improved,frustum,440,0.015636,0.000000,0.984364,0.984364
improved,frustum,450,0.016934,0.000000,0.983066,0.983066
improved,frustum,460,0.018207,0.000000,0.981793,0.981793
improved,frustum,470,0.019211,0.000000,0.980789,0.980789
improved,frustum,480,0.019732,0.000000,0.980268,0.980268
improved,frustum,490,0.019593,0.000000,0.980407,0.980407
improved,frustum,500,0.019632,0.000000,0.980368,0.980368
improved,frustum,510,0.021030,0.000000,0.978970,0.978970
improved,frustum,520,0.024822,0.000000,0.975178,0.975178
improved,frustum,530,0.033893,0.000000,0.966107,0.966107
improved,frustum,540,0.047256,0.000000,0.952744,0.952744
improved,frustum,550,0.057287,0.000000,0.942713,0.942713
improved,frustum,560,0.060549,0.000000,0.939451,0.939451
improved,frustum,570,0.060878,0.000000,0.939122,0.939122
improved,frustum,580,0.062623,0.000000,0.937377,0.937377
improved,frustum,590,0.064283,0.000000,0.935717,0.935717
improved,frustum,600,0.066153,0.000000,0.933847,0.933847
improved,frustum,610,0.068338,0.000000,0.931662,0.931662
improved,frustum,620,0.070647,0.000000,0.929353,0.929353
improved,frustum,630,0.072313,0.000000,0.927687,0.927687
improved,frustum,640,0.072162,0.000000,0.927838,0.927838
improved,frustum,650,0.070890,0.000000,0.929110,0.929110
improved,frustum,660,0.092874,0.000000,0.907126,0.907126
improved,frustum,670,0.109044,0.000001,0.890955,0.890956
improved,frustum,680,0.071633,0.000039,0.928328,0.928367
improved,frustum,690,0.040340,0.000334,0.959326,0.959660
improved,frustum,700,0.053072,0.000911,0.946017,0.946928
improved,frustum,710,0.070731,0.001782,0.927487,0.929269
improved,frustum,720,0.073643,0.003019,0.923338,0.926357
improved,frustum,730,0.149048,0.003973,0.846979,0.850952
improved,frustum,740,0.217459,0.004720,0.777821,0.782541
improved,frustum,750,0.019346,0.007524,0.973130,0.980654
improved,cone,400,0.038143,0.000000,0.961857,0.961857
improved,cone,410,0.039389,0.000000,0.960611,0.960611
improved,cone,420,0.040498,0.000000,0.959502,0.959502
improved,cone,430,0.041649,0.000000,0.958351,0.958351
improved,cone,440,0.042890,0.000000,0.957110,0.957110
improved,cone,450,0.044090,0.000000,0.955910,0.955910
improved,cone,460,0.045019,0.000000,0.954981,0.954981
improved,cone,470,0.045334,0.000000,0.954666,0.954666
improved,cone,480,0.044784,0.000000,0.955216,0.955216
improved,cone,490,0.043202,0.000000,0.956798,0.956798
improved,cone,500,0.042415,0.000000,0.957585,0.957585
improved,cone,510,0.045264,0.000000,0.954736,0.954736
improved,cone,520,0.054762,0.000000,0.945238,0.945238
