design,variant,lambda_nm,R,T,A_layers,A_total
original,square,400,0.002355,0.000000,0.997645,0.997645
original,square,450,0.001648,0.000001,0.998351,0.998352
original,square,500,0.003387,0.000000,0.996613,0.996613
original,square,550,0.015850,0.000000,0.984150,0.984150
original,square,600,0.012142,0.000000,0.987858,0.987858
original,square,650,0.030633,0.000011,0.969356,0.969367
original,square,700,0.036902,0.157280,0.805818,0.963098
original,square,750,0.028255,0.406105,0.565639,0.971745
original,circle_area,400,0.002518,0.000000,0.997481,0.997482
original,circle_area,450,0.001292,0.000001,0.998708,0.998708
original,circle_area,500,0.003748,0.000000,0.996252,0.996252
original,circle_area,550,0.014063,0.000000,0.985937,0.985937
original,circle_area,600,0.014236,0.000000,0.985764,0.985764
original,circle_area,650,0.035108,0.000011,0.964882,0.964892
original,circle_area,700,0.038631,0.155847,0.805522,0.961369
original,circle_area,750,0.027736,0.403138,0.569126,0.972264
original,circle_side,400,0.006531,0.000000,0.993469,0.993469
original,circle_side,450,0.001575,0.000001,0.998425,0.998425
original,circle_side,500,0.005324,0.000000,0.994676,0.994676
original,circle_side,550,0.011369,0.000000,0.988631,0.988631
original,circle_side,600,0.029767,0.000000,0.970233,0.970233
original,circle_side,650,0.049063,0.000011,0.950926,0.950937
original,circle_side,700,0.047543,0.162313,0.790144,0.952457
original,circle_side,750,0.014710,0.426960,0.558329,0.985290
original,ellipse_x,400,0.011756,0.000000,0.988244,0.988244
original,ellipse_x,450,0.010328,0.000000,0.989672,0.989672
original,ellipse_x,500,0.010228,0.000000,0.989772,0.989772
original,ellipse_x,550,0.057824,0.000000,0.942176,0.942176
original,ellipse_x,600,0.042440,0.000000,0.957560,0.957560
original,ellipse_x,650,0.043052,0.000009,0.956939,0.956948
original,ellipse_x,700,0.037676,0.153875,0.808449,0.962324
original,ellipse_x,750,0.046438,0.373809,0.579753,0.953562
original,ellipse_y,400,0.002736,0.000000,0.997264,0.997264
original,ellipse_y,450,0.000287,0.000001,0.999713,0.999713
original,ellipse_y,500,0.001569,0.000000,0.998431,0.998431
original,ellipse_y,550,0.001651,0.000000,0.998349,0.998349
