design,variant,mean8_layers,min8_layers,mean8_total,min8_total
original,square,0.9132,0.5656,0.9836,0.9631
original,circle_area,0.9130,0.5691,0.9828,0.9614
original,circle_side,0.9056,0.5583,0.9793,0.9509
original,ellipse_x,0.9016,0.5798,0.9675,0.9422
original,ellipse_y,0.9111,0.5544,0.9851,0.9578
original,frustum,0.8597,0.5358,0.9340,0.8798
original,cone,0.8140,0.5012,0.8902,0.8149
original,cone_circle,0.8124,0.5025,0.8882,0.8112
original,cone_h150,0.8536,0.5307,0.9286,0.8718
original,frustum_h150,0.9072,0.5743,0.9784,0.9540
original,two_step,0.9281,0.6004,0.9943,0.9900
improved,square,0.9947,0.9867,0.9957,0.9867
improved,circle_area,0.9952,0.9877,0.9962,0.9877
improved,circle_side,0.9901,0.9784,0.9911,0.9793
improved,ellipse_x,0.9859,0.9674,0.9870,0.9674
improved,ellipse_y,0.9926,0.9852,0.9937,0.9861
improved,frustum,0.9596,0.9291,0.9606,0.9291
improved,cone,0.9145,0.8532,0.9156,0.8532
improved,cone_circle,0.9134,0.8508,0.9144,0.8508
improved,cone_h150,0.9492,0.9142,0.9502,0.9142
improved,frustum_h150,0.9794,0.9686,0.9805,0.9686
improved,two_step,0.9907,0.9844,0.9918,0.9844
improved,cone_h300,0.9714,0.9505,0.9725,0.9505
improved,motheye_h300,0.9963,0.9772,0.9973,0.9846
improved,motheye_h500,0.9971,0.9793,0.9981,0.9865
improved,frustum_h300,0.9756,0.9462,0.9767,0.9471
original,cone_h300,0.9096,0.5842,0.9794,0.9576
original,motheye_h300,0.9393,0.6307,0.9940,0.9617
original,motheye_h500,0.9522,0.7067,0.9986,0.9938
original,frustum_h300,0.9141,0.6076,0.9776,0.9484
