design,n_super,lambda_nm,R,T,A_layers,A_total
original,1.00,400,0.002355,0.000000,0.997645,0.997645
original,1.00,405,0.002069,0.000000,0.997930,0.997931
original,1.00,410,0.002340,0.000000,0.997660,0.997660
original,1.00,415,0.002449,0.000000,0.997551,0.997551
original,1.00,420,0.002446,0.000000,0.997554,0.997554
original,1.00,425,0.002371,0.000000,0.997629,0.997629
original,1.00,430,0.002243,0.000000,0.997756,0.997757
original,1.00,435,0.002086,0.000000,0.997913,0.997914
original,1.00,440,0.001924,0.000000,0.998076,0.998076
original,1.00,445,0.001773,0.000001,0.998226,0.998227
original,1.00,450,0.001648,0.000001,0.998351,0.998352
original,1.00,455,0.001566,0.000001,0.998434,0.998434
original,1.00,460,0.001533,0.000001,0.998466,0.998467
original,1.00,465,0.001563,0.000000,0.998436,0.998437
original,1.00,470,0.001644,0.000000,0.998355,0.998356
original,1.00,475,0.001773,0.000000,0.998227,0.998227
original,1.00,480,0.001984,0.000000,0.998015,0.998016
original,1.00,485,0.002260,0.000000,0.997740,0.997740
original,1.00,490,0.002568,0.000000,0.997432,0.997432
original,1.00,495,0.002897,0.000000,0.997103,0.997103
original,1.00,500,0.003387,0.000000,0.996613,0.996613
original,1.00,505,0.004028,0.000000,0.995972,0.995972
original,1.00,510,0.004860,0.000000,0.995140,0.995140
original,1.00,515,0.006047,0.000000,0.993953,0.993953
original,1.00,520,0.007904,0.000000,0.992096,0.992096
original,1.00,525,0.010610,0.000000,0.989390,0.989390
original,1.00,530,0.014056,0.000000,0.985944,0.985944
original,1.00,535,0.017547,0.000000,0.982453,0.982453
original,1.00,540,0.019442,0.000000,0.980558,0.980558
original,1.00,545,0.018365,0.000000,0.981635,0.981635
original,1.00,550,0.015850,0.000000,0.984150,0.984150
original,1.00,555,0.012833,0.000000,0.987167,0.987167
original,1.00,560,0.010051,0.000000,0.989949,0.989949
original,1.00,565,0.008481,0.000000,0.991519,0.991519
original,1.00,570,0.008466,0.000000,0.991534,0.991534
original,1.00,575,0.008622,0.000000,0.991378,0.991378
original,1.00,580,0.008975,0.000000,0.991025,0.991025
original,1.00,585,0.009480,0.000000,0.990520,0.990520
original,1.00,590,0.010183,0.000000,0.989817,0.989817
original,1.00,595,0.011070,0.000000,0.988930,0.988930
original,1.00,600,0.012142,0.000000,0.987858,0.987858
original,1.00,605,0.013397,0.000000,0.986603,0.986603
original,1.00,610,0.014830,0.000000,0.985170,0.985170
original,1.00,615,0.016459,0.000000,0.983541,0.983541
original,1.00,620,0.018217,0.000000,0.981783,0.981783
original,1.00,625,0.020112,0.000000,0.979888,0.979888
original,1.00,630,0.022118,0.000000,0.977882,0.977882
original,1.00,635,0.024206,0.000000,0.975793,0.975794
original,1.00,640,0.026343,0.000001,0.973656,0.973657
original,1.00,645,0.028507,0.000004,0.971489,0.971493
original,1.00,650,0.030633,0.000011,0.969356,0.969367
original,1.00,655,0.032793,0.000081,0.967126,0.967207
original,1.00,660,0.034299,0.000765,0.964936,0.965701
original,1.00,665,0.034455,0.003504,0.962041,0.965545
original,1.00,670,0.036333,0.010281,0.953386,0.963667
original,1.00,675,0.032012,0.023096,0.944893,0.967988
original,1.00,680,0.037410,0.042619,0.919972,0.962590
original,1.00,685,0.036273,0.070960,0.892768,0.963727
original,1.00,690,0.028293,0.096021,0.875686,0.971707
original,1.00,695,0.022901,0.127184,0.849916,0.977099
original,1.00,700,0.036902,0.157280,0.805818,0.963098
original,1.00,705,0.053313,0.177941,0.768746,0.946687
original,1.00,710,0.041348,0.210527,0.748126,0.958652
original,1.00,715,0.015175,0.252894,0.731931,0.984825
original,1.00,720,0.015083,0.267201,0.717716,0.984917
original,1.00,725,0.030821,0.287648,0.681531,0.969179
original,1.00,730,0.046039,0.333963,0.619999,0.953961
original,1.00,735,0.056443,0.365413,0.578144,0.943557
original,1.00,740,0.057561,0.371749,0.570689,0.942439
original,1.00,745,0.050396,0.369335,0.580269,0.949604
original,1.00,750,0.028255,0.406105,0.565639,0.971745
original,1.33,400,0.024055,0.000000,0.975945,0.975945
original,1.33,405,0.024199,0.000000,0.975800,0.975801
original,1.33,410,0.024341,0.000000,0.975659,0.975659
original,1.33,415,0.024440,0.000000,0.975560,0.975560
original,1.33,420,0.024489,0.000000,0.975511,0.975511
original,1.33,425,0.024526,0.000000,0.975474,0.975474
original,1.33,430,0.024502,0.000000,0.975498,0.975498
original,1.33,435,0.024410,0.000001,0.975590,0.975590
original,1.33,440,0.024300,0.000001,0.975699,0.975700
original,1.33,445,0.024109,0.000001,0.975890,0.975891
original,1.33,450,0.023790,0.000001,0.976210,0.976210
original,1.33,455,0.023429,0.000001,0.976570,0.976571
original,1.33,460,0.023037,0.000001,0.976962,0.976963
original,1.33,465,0.022587,0.000001,0.977412,0.977413
original,1.33,470,0.022088,0.000001,0.977911,0.977912
original,1.33,475,0.021536,0.000000,0.978463,0.978464
original,1.33,480,0.020990,0.000000,0.979009,0.979010
original,1.33,485,0.020418,0.000000,0.979582,0.979582
original,1.33,490,0.019812,0.000000,0.980188,0.980188
original,1.33,495,0.019116,0.000000,0.980884,0.980884
original,1.33,500,0.019469,0.000000,0.980531,0.980531
original,1.33,505,0.020353,0.000000,0.979647,0.979647
original,1.33,510,0.021628,0.000000,0.978372,0.978372
original,1.33,515,0.023414,0.000000,0.976586,0.976586
original,1.33,520,0.026050,0.000000,0.973950,0.973950
original,1.33,525,0.028071,0.000000,0.971929,0.971929
original,1.33,530,0.024525,0.000000,0.975475,0.975475
original,1.33,535,0.009481,0.000000,0.990519,0.990519
original,1.33,540,0.013170,0.000000,0.986830,0.986830
original,1.33,545,0.015085,0.000000,0.984915,0.984915
original,1.33,550,0.016004,0.000000,0.983996,0.983996
original,1.33,555,0.015804,0.000000,0.984196,0.984196
original,1.33,560,0.014429,0.000000,0.985571,0.985571
original,1.33,565,0.012729,0.000000,0.987271,0.987271
original,1.33,570,0.012132,0.000000,0.987868,0.987868
original,1.33,575,0.011431,0.000000,0.988569,0.988569
original,1.33,580,0.010612,0.000000,0.989388,0.989388
original,1.33,585,0.009732,0.000000,0.990268,0.990268
original,1.33,590,0.008860,0.000000,0.991140,0.991140
original,1.33,595,0.007969,0.000000,0.992031,0.992031
