design,au_model,lambda_nm,R,T,A_layers,A_total
original,lerer_fit,300.0,0.061087,0.000000,0.938913,0.938913
original,lerer_fit,310.0,0.060612,0.000000,0.939388,0.939388
original,lerer_fit,320.0,0.059312,0.000000,0.940688,0.940688
original,lerer_fit,330.0,0.057675,0.000000,0.942325,0.942325
original,lerer_fit,340.0,0.056290,0.000000,0.943710,0.943710
original,lerer_fit,350.0,0.055216,0.000000,0.944784,0.944784
original,lerer_fit,360.0,0.054224,0.000000,0.945776,0.945776
original,lerer_fit,370.0,0.052935,0.000000,0.947065,0.947065
original,lerer_fit,380.0,0.050363,0.000000,0.949637,0.949637
original,lerer_fit,390.0,0.044075,0.000000,0.955925,0.955925
original,lerer_fit,400.0,0.002355,0.000000,0.997645,0.997645
original,lerer_fit,410.0,0.002340,0.000000,0.997660,0.997660
original,lerer_fit,420.0,0.002446,0.000000,0.997554,0.997554
original,lerer_fit,430.0,0.002243,0.000000,0.997756,0.997757
original,lerer_fit,440.0,0.001924,0.000000,0.998076,0.998076
original,lerer_fit,450.0,0.001648,0.000001,0.998351,0.998352
original,lerer_fit,460.0,0.001533,0.000001,0.998466,0.998467
original,lerer_fit,470.0,0.001644,0.000000,0.998355,0.998356
original,lerer_fit,480.0,0.001984,0.000000,0.998015,0.998016
original,lerer_fit,490.0,0.002568,0.000000,0.997432,0.997432
original,lerer_fit,500.0,0.003387,0.000000,0.996613,0.996613
original,lerer_fit,510.0,0.004860,0.000000,0.995140,0.995140
original,lerer_fit,520.0,0.007904,0.000000,0.992096,0.992096
original,lerer_fit,530.0,0.014056,0.000000,0.985944,0.985944
original,lerer_fit,540.0,0.019442,0.000000,0.980558,0.980558
original,lerer_fit,550.0,0.015850,0.000000,0.984150,0.984150
original,lerer_fit,560.0,0.010051,0.000000,0.989949,0.989949
original,lerer_fit,570.0,0.008466,0.000000,0.991534,0.991534
original,lerer_fit,580.0,0.008975,0.000000,0.991025,0.991025
original,lerer_fit,590.0,0.010183,0.000000,0.989817,0.989817
original,lerer_fit,600.0,0.012142,0.000000,0.987858,0.987858
original,lerer_fit,610.0,0.014830,0.000000,0.985170,0.985170
original,lerer_fit,620.0,0.018217,0.000000,0.981783,0.981783
original,lerer_fit,630.0,0.022118,0.000000,0.977882,0.977882
original,lerer_fit,640.0,0.026343,0.000001,0.973656,0.973657
original,lerer_fit,650.0,0.030633,0.000011,0.969356,0.969367
original,lerer_fit,660.0,0.034299,0.000765,0.964936,0.965701
original,lerer_fit,670.0,0.036333,0.010281,0.953386,0.963667
original,lerer_fit,680.0,0.037410,0.042619,0.919972,0.962590
original,lerer_fit,690.0,0.028293,0.096021,0.875686,0.971707
original,lerer_fit,700.0,0.036902,0.157280,0.805818,0.963098
original,lerer_fit,710.0,0.041348,0.210527,0.748126,0.958652
original,lerer_fit,720.0,0.015083,0.267201,0.717716,0.984917
original,lerer_fit,730.0,0.046039,0.333963,0.619999,0.953961
original,lerer_fit,740.0,0.057561,0.371749,0.570689,0.942439
original,lerer_fit,750.0,0.028255,0.406105,0.565639,0.971745
original,lerer_fit,760.0,0.009392,0.476089,0.514519,0.990608
original,lerer_fit,770.0,0.055558,0.468076,0.476366,0.944442
original,lerer_fit,780.0,0.077057,0.528076,0.394867,0.922943
original,lerer_fit,790.0,0.070765,0.512317,0.416917,0.929235
original,lerer_fit,800.0,0.019755,0.604347,0.375898,0.980245
original,lerer_fit,820.0,0.034145,0.643674,0.322181,0.965855
original,lerer_fit,840.0,0.099402,0.638768,0.261830,0.900598
original,lerer_fit,860.0,0.039155,0.709332,0.251512,0.960845
original,lerer_fit,880.0,0.009228,0.758057,0.232715,0.990772
original,lerer_fit,900.0,0.091110,0.714109,0.194782,0.908890
original,lerer_fit,920.0,0.115257,0.710817,0.173926,0.884743
original,lerer_fit,940.0,0.047490,0.780664,0.171845,0.952510
original,lerer_fit,960.0,0.004578,0.829291,0.166131,0.995422
original,lerer_fit,980.0,0.063688,0.789899,0.146412,0.936312
original,lerer_fit,1000.0,0.131433,0.740851,0.127716,0.868567
original,lerer_fit,1020.0,0.133999,0.745534,0.120467,0.866001
original,lerer_fit,1040.0,0.073810,0.805716,0.120474,0.926190
original,lerer_fit,1060.0,0.013049,0.867747,0.119204,0.986951
original,lerer_fit,1080.0,0.024162,0.866656,0.109182,0.975838
original,lerer_fit,1100.0,0.092157,0.813150,0.094693,0.907843
original,lerer_fit,1120.0,0.149877,0.767405,0.082718,0.850123
original,lerer_fit,1140.0,0.161318,0.761138,0.077544,0.838682
original,lerer_fit,1160.0,0.126297,0.796326,0.077377,0.873703
original,lerer_fit,1180.0,0.065783,0.855088,0.079129,0.934217
original,lerer_fit,1200.0,0.018231,0.902570,0.079198,0.981769
original,lerer_fit,1220.0,0.018069,0.906301,0.075630,0.981931
original,lerer_fit,1240.0,0.063137,0.867696,0.069167,0.936863
original,lerer_fit,1260.0,0.110483,0.807512,0.082005,0.889517
original,lerer_fit,1280.0,0.156047,0.763680,0.080272,0.843953
original,lerer_fit,1300.0,0.179272,0.745323,0.075404,0.820728
original,lerer_fit,1320.0,0.173044,0.753416,0.073539,0.826956
original,lerer_fit,1340.0,0.141368,0.784608,0.074024,0.858632
original,lerer_fit,1360.0,0.094207,0.830254,0.075539,0.905793
original,lerer_fit,1380.0,0.038530,0.903921,0.057549,0.961470
original,lerer_fit,1400.0,0.018610,0.911982,0.069408,0.981390
original,lerer_fit,1420.0,0.022167,0.904499,0.073334,0.977833
original,lerer_fit,1440.0,0.051942,0.879171,0.068887,0.948058
original,lerer_fit,1460.0,0.095998,0.840526,0.063476,0.904002
original,lerer_fit,1480.0,0.139804,0.801614,0.058582,0.860196
original,lerer_fit,1500.0,0.173500,0.771915,0.054585,0.826500
original,lerer_fit,1520.0,0.192389,0.755822,0.051789,0.807611
original,lerer_fit,1540.0,0.195297,0.754567,0.050136,0.804703
original,lerer_fit,1560.0,0.178390,0.788024,0.033586,0.821610
original,lerer_fit,1580.0,0.155532,0.801295,0.043173,0.844468
original,lerer_fit,1600.0,0.124323,0.826274,0.049403,0.875677
original,lerer_fit,1620.0,0.087477,0.862206,0.050317,0.912523
original,lerer_fit,1640.0,0.053816,0.895461,0.050723,0.946184
original,lerer_fit,1660.0,0.030099,0.919796,0.050105,0.969901
original,lerer_fit,1680.0,0.021336,0.929918,0.048746,0.978664
original,lerer_fit,1700.0,0.028739,0.924462,0.046799,0.971261
original,lerer_fit,1720.0,0.049746,0.905996,0.044258,0.950254
original,lerer_fit,1740.0,0.079372,0.879007,0.041621,0.920628
original,lerer_fit,1760.0,0.112167,0.848869,0.038964,0.887833
original,lerer_fit,1780.0,0.149151,0.824814,0.026035,0.850849
original,lerer_fit,1800.0,0.172877,0.798365,0.028758,0.827123
original,lerer_fit,1820.0,0.190841,0.777004,0.032155,0.809159
original,lerer_fit,1840.0,0.203577,0.764827,0.031596,0.796423
original,lerer_fit,1860.0,0.209038,0.760503,0.030459,0.790962
original,lerer_fit,1880.0,0.207163,0.763123,0.029714,0.792837
original,lerer_fit,1900.0,0.198578,0.771929,0.029493,0.801422
original,lerer_fit,1920.0,0.184057,0.786443,0.029500,0.815943
original,lerer_fit,1940.0,0.164629,0.805766,0.029605,0.835371
original,lerer_fit,1960.0,0.141506,0.828834,0.029660,0.858494
original,lerer_fit,1980.0,0.116370,0.853880,0.029751,0.883630
original,lerer_fit,2000.0,0.091086,0.879101,0.029813,0.908914
original,lerer_fit,2050.0,0.039981,0.930058,0.029961,0.960019
original,lerer_fit,2100.0,0.026090,0.945239,0.028671,0.973910
