lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.20,1500,0,400,0.986693
0.20,1500,0,410,0.989067
0.20,1500,0,420,0.991148
0.20,1500,0,430,0.992984
0.20,1500,0,440,0.994691
0.20,1500,0,450,0.996344
0.20,1500,0,460,0.997795
0.20,1500,0,470,0.998928
0.20,1500,0,480,0.999654
0.20,1500,0,490,0.999971
0.20,1500,0,500,0.999912
0.20,1500,0,510,0.999448
0.20,1500,0,520,0.998194
0.20,1500,0,530,0.995577
0.20,1500,0,540,0.992512
0.20,1500,0,550,0.993338
0.20,1500,0,560,0.994845
0.20,1500,0,570,0.995643
0.20,1500,0,580,0.996291
0.20,1500,0,590,0.996980
0.20,1500,0,600,0.997726
0.20,1500,0,610,0.998488
0.20,1500,0,620,0.999134
0.20,1500,0,630,0.999453
0.20,1500,0,640,0.999515
0.20,1500,0,650,0.999661
0.20,1500,0,660,0.994979
0.20,1500,0,670,0.979589
0.20,1500,0,680,0.982669
0.20,1500,0,690,0.994273
0.20,1500,0,700,0.995155
0.20,1500,0,710,0.978015
0.20,1500,0,720,0.991754
0.20,1500,0,730,0.895475
0.20,1500,0,740,0.945661
0.20,1500,0,750,0.928682
0.20,1500,25,400,0.986693
0.20,1500,25,410,0.989067
0.20,1500,25,420,0.991148
0.20,1500,25,430,0.992984
0.20,1500,25,440,0.994691
0.20,1500,25,450,0.996344
0.20,1500,25,460,0.997795
0.20,1500,25,470,0.998928
0.20,1500,25,480,0.999654
0.20,1500,25,490,0.999971
0.20,1500,25,500,0.999912
0.20,1500,25,510,0.999448
0.20,1500,25,520,0.998194
0.20,1500,25,530,0.995577
0.20,1500,25,540,0.992512
0.20,1500,25,550,0.993338
0.20,1500,25,560,0.994845
0.20,1500,25,570,0.995643
0.20,1500,25,580,0.996291
0.20,1500,25,590,0.996980
0.20,1500,25,600,0.997726
0.20,1500,25,610,0.998488
0.20,1500,25,620,0.999134
0.20,1500,25,630,0.999453
0.20,1500,25,640,0.999515
0.20,1500,25,650,0.999661
0.20,1500,25,660,0.994979
0.20,1500,25,670,0.979592
0.20,1500,25,680,0.982539
0.20,1500,25,690,0.993515
0.20,1500,25,700,0.994749
0.20,1500,25,710,0.983088
0.20,1500,25,720,0.988221
0.20,1500,25,730,0.916603
0.20,1500,25,740,0.895346
0.20,1500,25,750,0.984742
0.20,1500,50,400,0.986693
0.20,1500,50,410,0.989067
0.20,1500,50,420,0.991148
