нижний слой (доля, нм) | прослойка, нм | среднее по сетке 10 нм | наименьшее и где | среднее по 8 точкам
0.20 / 1500 |   0 | 0.9886 | 0.8955 при 730 нм | 0.9872
0.20 / 1500 |  25 | 0.9894 | 0.8953 при 740 нм | 0.9941
0.20 / 1500 |  50 | 0.9892 | 0.8676 при 740 нм | 0.9947
0.20 / 1500 |  75 | 0.9887 | 0.8542 при 740 нм | 0.9924
0.20 / 1500 | 100 | 0.9881 | 0.8487 при 740 нм | 0.9891
0.20 / 1500 | 125 | 0.9874 | 0.8494 при 740 нм | 0.9852
0.20 / 1500 | 150 | 0.9867 | 0.8573 при 740 нм | 0.9806
0.20 / 2000 |   0 | 0.9890 | 0.8564 при 750 нм | 0.9784
0.20 / 2000 |  25 | 0.9897 | 0.8817 при 750 нм | 0.9817
0.20 / 2000 |  50 | 0.9902 | 0.9121 при 750 нм | 0.9856
0.20 / 2000 |  75 | 0.9907 | 0.9379 при 750 нм | 0.9888
0.20 / 2000 | 100 | 0.9910 | 0.9311 при 740 нм | 0.9915
0.20 / 2000 | 125 | 0.9912 | 0.9170 при 740 нм | 0.9936
0.20 / 2000 | 150 | 0.9913 | 0.9038 при 740 нм | 0.9949
0.30 / 1500 |   0 | 0.9858 | 0.8835 при 750 нм | 0.9816
0.30 / 1500 |  25 | 0.9864 | 0.9093 при 740 нм | 0.9849
0.30 / 1500 |  50 | 0.9867 | 0.9031 при 740 нм | 0.9866
0.30 / 1500 |  75 | 0.9868 | 0.9002 при 740 нм | 0.9874
0.30 / 1500 | 100 | 0.9869 | 0.8990 при 740 нм | 0.9878
0.30 / 1500 | 125 | 0.9869 | 0.8989 при 740 нм | 0.9879
0.30 / 1500 | 150 | 0.9868 | 0.9004 при 740 нм | 0.9875
