theta_deg,isolated,embedded_0,embedded_1,embedded_2,embedded_3
-89,6.3359e-05,4.16756e-05,2.80095e-05,7.05297e-05,7.92854e-05
-88.95,6.98508e-05,4.59333e-05,3.08829e-05,7.76575e-05,8.7345e-05
-88.9,7.66609e-05,5.03999e-05,3.38975e-05,8.51351e-05,9.58007e-05
-88.85,8.37893e-05,5.50753e-05,3.70536e-05,9.29629e-05,0.000104653
-88.8,9.12363e-05,5.996e-05,4.03513e-05,0.000101141,0.000113902
-88.75,9.90022e-05,6.50539e-05,4.37909e-05,0.00010967,0.000123549
-88.7,0.000107087,7.03573e-05,4.73724e-05,0.00011855,0.000133594
-88.65,0.000115491,7.58704e-05,5.10962e-05,0.000127782,0.000144037
-88.6,0.000124215,8.15934e-05,5.49624e-05,0.000137365,0.000154879
-88.55,0.000133259,8.75265e-05,5.89711e-05,0.000147301,0.00016612
-88.5,0.000142623,9.36698e-05,6.31227e-05,0.00015759,0.000177762
-88.45,0.000152307,0.000100024,6.74174e-05,0.000168231,0.000189804
-88.4,0.000162313,0.000106588,7.18554e-05,0.000179226,0.000202248
-88.35,0.000172639,0.000113364,7.64368e-05,0.000190575,0.000215093
-88.3,0.000183286,0.000120351,8.11621e-05,0.000202279,0.000228342
-88.25,0.000194256,0.000127549,8.60314e-05,0.000214337,0.000241993
-88.2,0.000205547,0.000134959,9.1045e-05,0.000226751,0.000256048
-88.15,0.000217161,0.000142581,9.62032e-05,0.000239521,0.000270508
-88.1,0.000229098,0.000150415,0.000101506,0.000252647,0.000285373
-88.05,0.000241357,0.000158462,0.000106954,0.00026613,0.000300644
-88,0.000253941,0.000166721,0.000112548,0.00027997,0.000316322
-87.95,0.000266848,0.000175194,0.000118287,0.000294169,0.000332408
-87.9,0.000280079,0.00018388,0.000124173,0.000308726,0.000348902
-87.85,0.000293636,0.00019278,0.000130204,0.000323643,0.000365806
-87.8,0.000307517,0.000201894,0.000136383,0.000338919,0.000383119
-87.75,0.000321724,0.000211222,0.000142708,0.000354556,0.000400844
-87.7,0.000336257,0.000220765,0.000149181,0.000370554,0.000418981
-87.65,0.000351117,0.000230523,0.000155802,0.000386914,0.00043753
-87.6,0.000366304,0.000240496,0.000162571,0.000403636,0.000456493
-87.55,0.000381818,0.000250685,0.000169488,0.000420721,0.000475871
-87.5,0.00039766,0.00026109,0.000176554,0.00043817,0.000495664
-87.45,0.00041383,0.000271712,0.000183769,0.000455984,0.000515874
-87.4,0.000430329,0.00028255,0.000191134,0.000474163,0.000536502
-87.35,0.000447158,0.000293606,0.000198649,0.000492707,0.000557548
-87.3,0.000464317,0.00030488,0.000206314,0.000511619,0.000579014
-87.25,0.000481806,0.000316371,0.000214131,0.000530898,0.000600901
-87.2,0.000499626,0.000328081,0.000222098,0.000550545,0.00062321
-87.15,0.000517778,0.000340009,0.000230217,0.000570561,0.000645942
-87.1,0.000536261,0.000352157,0.000238489,0.000590948,0.000669099
-87.05,0.000555078,0.000364525,0.000246913,0.000611704,0.00069268
-87,0.000574228,0.000377113,0.00025549,0.000632833,0.000716688
-86.95,0.000593712,0.000389921,0.00026422,0.000654334,0.000741124
-86.9,0.00061353,0.000402951,0.000273105,0.000676208,0.000765989
