material,N,target_deg,scenario,phase_scale,mean_loss_db,min_loss_db,max_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
GSST,16,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,7.340000000000003,-13.146833842320966,1.0,1.0,1.0,1.0,0.8873177506512079,ok
GSST,16,30.0,eim_prediction,1.0,5.728175000000005,0.074,11.382350000000004,30.0,0.0,7.280000000000001,-9.498113055846325,0.4104570000261172,0.3363712343006738,0.3363712343006738,0.8195041972222928,0.5801637333347751,ok
GSST,16,30.0,planar_calibrated,1.0,3.5754500000000027,0.3728,6.778100000000002,30.0,0.0,7.299999999999997,-13.042553117449142,0.5080916481060753,0.47313012194930637,0.47313012194930637,0.9311905120127659,0.7521329290236896,ok
GSST,16,30.0,phase_scale_only,0.9794910748195975,0.0,0.0,0.0,30.010000000000005,0.010000000000005116,7.3300000000000125,-13.106381641889422,1.0,0.9987062193187741,0.998703365060007,0.9987062193187741,0.8839444240246976,ok
GSST,16,30.0,planar_response_to_eim_design,0.9794910748195975,3.5021213634637323,0.365154272692746,6.639088454234716,30.019999999999996,0.01999999999999602,7.299999999999997,-13.029509557598558,0.5137779623228376,0.4791496408146612,0.47914496229826414,0.9326006095091769,0.7560604119954258,ok
Sb2S3,16,30.0,ideal,1.0,0.0,0.0,0.0,30.0,0.0,7.340000000000003,-13.146833842320966,1.0,1.0,1.0,1.0,0.8873177506512079,EIM buffer slice below cutoff
Sb2S3,16,30.0,eim_prediction,1.0,0.7078749999999998,0.56395,0.8518,30.0,0.0,7.340000000000003,-13.129363812307153,0.8498552891392455,0.8497256814791754,0.8497256814791754,0.9998474944361394,0.8871709004754397,EIM buffer slice below cutoff
Sb2S3,16,30.0,planar_calibrated,1.0,1.7098999999999998,1.2559999999999998,2.1638,30.0,0.0,7.340000000000003,-13.091796122578517,0.6765919813473343,0.6755675218676359,0.6755675218676359,0.9984858533533632,0.8846865868021089,EIM buffer slice below cutoff
Sb2S3,16,30.0,phase_scale_only,2.695111708382328,0.0,0.0,0.0,-29.879999999999995,-59.879999999999995,7.329999999999998,0.0,1.0,0.7438602388048113,0.044307333547872994,0.7438602388048113,0.02918442946947195,EIM buffer slice below cutoff
Sb2S3,16,30.0,planar_response_to_eim_design,2.695111708382328,4.608371510162941,3.3850603057282034,5.831682714597682,-29.93,-59.93,7.359999999999999,0.0,0.35374239682462805,0.26079827041671944,0.01611347012242367,0.7372547728453743,0.0288346014201438,EIM buffer slice below cutoff
