element,target_deg,peak_deg,pointing_error_deg,sll_db,scan_loss_db
isotropic,-60.0,-60.000,0.000,-13.23,0.00
isotropic,-55.0,-55.000,0.000,-13.23,0.00
isotropic,-50.0,-50.000,0.000,-13.23,0.00
isotropic,-45.0,-45.000,0.000,-13.23,0.00
isotropic,-40.0,-40.000,0.000,-13.23,0.00
isotropic,-35.0,-35.000,0.000,-13.23,0.00
isotropic,-30.0,-30.000,0.000,-13.23,0.00
isotropic,-25.0,-25.000,0.000,-13.23,0.00
isotropic,-20.0,-20.000,0.000,-13.23,0.00
isotropic,-15.0,-15.000,0.000,-13.23,0.00
isotropic,-10.0,-10.000,0.000,-13.23,0.00
isotropic,-5.0,-5.000,0.000,-13.23,0.00
isotropic,0.0,0.000,0.000,-13.23,0.00
isotropic,5.0,5.000,0.000,-13.23,0.00
isotropic,10.0,10.000,0.000,-13.23,0.00
isotropic,15.0,15.000,0.000,-13.23,0.00
isotropic,20.0,20.000,0.000,-13.23,0.00
isotropic,25.0,25.000,0.000,-13.23,0.00
isotropic,30.0,30.000,0.000,-13.23,0.00
isotropic,35.0,35.000,0.000,-13.23,0.00
isotropic,40.0,40.000,0.000,-13.23,0.00
isotropic,45.0,45.000,0.000,-13.23,0.00
isotropic,50.0,50.000,0.000,-13.23,0.00
isotropic,55.0,55.000,0.000,-13.23,0.00
isotropic,60.0,60.000,0.000,-13.23,0.00
isolated,-60.0,-59.360,0.640,-10.51,-9.87
isolated,-55.0,-54.600,0.400,-11.14,-8.18
isolated,-50.0,-49.730,0.270,-11.48,-6.80
isolated,-45.0,-44.790,0.210,-11.61,-5.59
isolated,-40.0,-39.820,0.180,-11.68,-4.41
isolated,-35.0,-34.840,0.160,-11.85,-3.18
isolated,-30.0,-29.870,0.130,-12.19,-2.00
isolated,-25.0,-24.920,0.080,-12.58,-1.06
isolated,-20.0,-19.950,0.050,-12.91,-0.45
isolated,-15.0,-14.980,0.020,-13.11,-0.14
isolated,-10.0,-9.990,0.010,-13.21,-0.02
isolated,-5.0,-5.000,0.000,-13.23,0.00
isolated,0.0,0.000,0.000,-13.23,0.00
isolated,5.0,5.000,0.000,-13.23,-0.00
isolated,10.0,10.000,0.000,-13.21,-0.03
isolated,15.0,14.980,-0.020,-13.12,-0.14
isolated,20.0,19.960,-0.040,-12.91,-0.45
isolated,25.0,24.920,-0.080,-12.59,-1.06
isolated,30.0,29.870,-0.130,-12.19,-2.00
isolated,35.0,34.840,-0.160,-11.85,-3.18
isolated,40.0,39.820,-0.180,-11.68,-4.41
isolated,45.0,44.790,-0.210,-11.61,-5.59
isolated,50.0,49.730,-0.270,-11.49,-6.80
isolated,55.0,54.600,-0.400,-11.14,-8.18
isolated,60.0,59.370,-0.630,-10.52,-9.86
embedded,-60.0,-59.180,0.820,-9.54,-9.89
embedded,-55.0,-54.450,0.550,-10.31,-7.62
embedded,-50.0,-49.620,0.380,-10.96,-5.67
embedded,-45.0,-44.740,0.260,-11.57,-4.02
embedded,-40.0,-39.830,0.170,-12.13,-2.71
embedded,-35.0,-34.900,0.100,-12.58,-1.79
embedded,-30.0,-29.950,0.050,-12.83,-1.21
embedded,-25.0,-24.970,0.030,-12.89,-0.85
embedded,-20.0,-19.970,0.030,-12.91,-0.54
embedded,-15.0,-14.970,0.030,-13.03,-0.23
embedded,-10.0,-9.990,0.010,-13.19,-0.03
embedded,-5.0,-5.000,0.000,-13.24,0.01
embedded,0.0,0.000,0.000,-13.22,0.00
embedded,5.0,5.000,0.000,-13.24,0.01
embedded,10.0,9.990,-0.010,-13.19,-0.03
embedded,15.0,14.970,-0.030,-13.03,-0.23
embedded,20.0,19.970,-0.030,-12.91,-0.54
embedded,25.0,24.970,-0.030,-12.89,-0.85
embedded,30.0,29.950,-0.050,-12.83,-1.21
embedded,35.0,34.900,-0.100,-12.58,-1.79
embedded,40.0,39.830,-0.170,-12.13,-2.71
embedded,45.0,44.740,-0.260,-11.57,-4.02
embedded,50.0,49.620,-0.380,-10.96,-5.67
embedded,55.0,54.450,-0.550,-10.31,-7.62
embedded,60.0,59.180,-0.820,-9.54,-9.88
