material,N,target_deg,design,levels,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_target,eta_coherent
GSST,16,30.0,fem,0,1.0,5.182394250000004,30.0,0.0,7.290000000000006,-10.133218132634362,0.4336724941854274,0.3665072371993588,0.8451244709161784
GSST,16,30.0,eim_te,0,1.0083594566353187,5.225716250000004,29.99000000000001,-0.009999999999990905,7.280000000000001,-10.03188291581421,0.4317667042934268,0.3639326769366513,0.8428940396038925
GSST,16,30.0,eim_tm,0,1.0919540229885056,5.658936250000004,29.909999999999997,-0.09000000000000341,7.280000000000001,-8.70233935419282,0.41391381204798494,0.3327534269260789,0.8042121363089414
Sb2S3,16,30.0,fem,0,1.0,0.1132424,30.0,0.0,7.340000000000003,-13.147142488071161,0.9742620843655215,0.9742620380219968,0.9999999524321788
Sb2S3,16,30.0,eim_te,0,0.956444759206799,0.10831009999999999,30.019999999999996,0.01999999999999602,7.340000000000003,-13.06113953103052,0.9753691783999562,0.9696751409334268,0.9941754527778839
Sb2S3,16,30.0,eim_tm,0,1.7623937677053827,0.1995777,-86.95,-116.95,19.379999999999995,0.0,0.9550857344887834,0.08664055773479382,0.8375537116894175
Sb2Se3,16,30.0,fem,0,1.0,0.1944037500000001,30.0,0.0,7.340000000000003,-13.159514147508473,0.9563774645350828,0.956300715062677,0.999919749810873
Sb2Se3,16,30.0,eim_te,0,0.9750679963735267,0.18955687500000007,30.010000000000005,0.010000000000005116,7.340000000000003,-13.10823434065149,0.9574378430107877,0.955530800983224,0.9980129693595298
Sb2Se3,16,30.0,eim_tm,0,1.3789664551223935,0.2680762500000001,29.840000000000003,-0.1599999999999966,7.320000000000007,-4.05808965361894,0.9404266460742117,0.5892245309758629,0.6273282317457667
GSST,32,30.0,fem,0,1.0,5.1823942500000095,30.0,0.0,3.6500000000000057,-10.9876530537664,0.433672494185427,0.3665072371993583,0.845124470916178
GSST,32,30.0,eim_te,0,1.0083594566353187,5.2257162500000085,30.0,0.0,3.6500000000000057,-10.869969230948879,0.43176670429342634,0.3639326769366508,0.8428919444638884
GSST,32,30.0,eim_tm,0,1.0919540229885056,5.658936250000009,29.980000000000004,-0.01999999999999602,3.6500000000000057,-9.325507299719856,0.4139138120479845,0.3327534269260785,0.803993107174276
Sb2S3,32,30.0,fem,0,1.0,0.1132424,30.0,0.0,3.6500000000000057,-13.232959314062915,0.9742620843655215,0.9742620380219968,0.9999999524321788
Sb2S3,32,30.0,eim_te,0,0.956444759206799,0.10831009999999999,30.0,0.0,3.660000000000011,-13.190981081863335,0.9753691783999562,0.9696751409334272,0.9941621720343166
Sb2S3,32,30.0,eim_tm,0,1.7623937677053827,0.19957770000000002,-88.48,-118.48,13.590000000000003,0.0,0.9550857344887834,0.08664055773479375,0.8372893011525084
Sb2Se3,32,30.0,fem,0,1.0,0.1944037500000002,30.0,0.0,3.6500000000000057,-13.23573001892374,0.9563774645350828,0.956300715062677,0.999919749810873
Sb2Se3,32,30.0,eim_te,0,0.9750679963735267,0.18955687500000018,30.0,0.0,3.660000000000011,-13.210873780388619,0.9574378430107877,0.955530800983224,0.9980081818976709
Sb2Se3,32,30.0,eim_tm,0,1.3789664551223935,0.2680762500000003,29.960000000000008,-0.03999999999999204,3.6500000000000057,-4.067700017632479,0.9404266460742117,0.5892245309758622,0.6267441024143341
GSST,64,30.0,fem,0,1.0,5.182394250000018,30.0,0.0,1.8199999999999932,-11.274754231875173,0.4336724941854261,0.3665072371993576,0.8451244709161783
GSST,64,30.0,eim_te,0,1.0083594566353187,5.225716250000017,30.0,0.0,1.8199999999999932,-11.151250242176866,0.4317667042934254,0.36393267693665,0.8428919444638883
GSST,64,30.0,eim_tm,0,1.0919540229885056,5.6589362500000195,29.99000000000001,-0.009999999999990905,1.8199999999999932,-9.525117488795306,0.4139138120479836,0.33275342692607773,0.8039254670138019
Sb2S3,64,30.0,fem,0,1.0,0.1132424,30.0,0.0,1.8299999999999983,-13.254503370440226,0.9742620843655214,0.9742620380219968,0.9999999524321789
Sb2S3,64,30.0,eim_te,0,0.956444759206799,0.10831009999999999,30.0,0.0,1.8299999999999983,-13.233634830844084,0.9753691783999562,0.9696751409334272,0.9941621720343166
Sb2S3,64,30.0,eim_tm,0,1.7623937677053827,0.19957770000000002,-89.24,-119.24,9.569999999999993,0.0,0.9550857344887835,0.08664055773479418,0.8372234404994763
Sb2Se3,64,30.0,fem,0,1.0,0.19440375000000037,30.0,0.0,1.8299999999999983,-13.255176273282956,0.9563774645350827,0.9563007150626768,0.9999197498108728
Sb2Se3,64,30.0,eim_te,0,0.9750679963735267,0.18955687500000035,30.0,0.0,1.8299999999999983,-13.242844276680392,0.9574378430107876,0.9555308009832235,0.9980081818976706
Sb2Se3,64,30.0,eim_tm,0,1.3789664551223935,0.2680762500000005,29.99000000000001,-0.009999999999990905,1.8299999999999983,-4.070025878352477,0.9404266460742116,0.5892245309758621,0.6265986582799905
