material,N,target_deg,design,levels,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_target,eta_coherent
GSST,32,-60.0,fem,0,1.0,6.795290036544762,-60.0,0.0,6.32,-11.367605535239168,0.3099574794393637,0.257544778641734,0.8309035778312841
GSST,32,-60.0,eim_te,0,1.0083594566353187,6.852094968929671,-60.01,-0.00999999999999801,6.32,-11.243133701251377,0.3078147333332898,0.25501575092467327,0.8284785255207535
GSST,32,-60.0,eim_tm,0,1.0919540229885056,7.420144292778763,-60.129999999999995,-0.12999999999999545,6.340000000000003,-9.647602437046901,0.28777354870150257,0.2262541624002812,0.7870494665480102
Sb2S3,32,-60.0,fem,0,1.0,0.11404179676934292,-60.0,0.0,6.3700000000000045,-13.232911165060546,0.9740827797558119,0.9740827287854202,0.9999999476734496
Sb2S3,32,-60.0,eim_te,0,0.956444759206799,0.10907467885056489,-59.95,0.04999999999999716,6.359999999999999,-13.173899109583893,0.9751974874941213,0.968937006229478,0.9937649827263638
Sb2S3,32,-60.0,eim_tm,0,1.7623937677053827,0.20098655188421383,15.700000000000003,75.7,3.2900000000000063,0.0,0.9547759830212434,0.07117660388826326,0.8272253671008276
Sb2Se3,32,-60.0,fem,0,1.0,0.2272398309540426,-60.0,0.0,6.3700000000000045,-13.233857262594062,0.9491889846036488,0.9491052089149685,0.9999117397167064
Sb2Se3,32,-60.0,eim_te,0,0.9750679963735267,0.22157428666461723,-59.97,0.030000000000001137,6.3700000000000045,-13.199541967252774,0.9504197857262255,0.9483379851148258,0.9978709353162751
Sb2Se3,32,-60.0,eim_tm,0,1.3789664551223935,0.31335610415330806,-60.480000000000004,-0.480000000000004,6.500000000000007,-4.314702033705294,0.9307009861668125,0.5575394274500831,0.6075950971858074
GSST,32,-55.0,fem,0,1.0,6.528378654085044,-55.0,0.0,5.419999999999995,-11.679261633097378,0.32790548606445913,0.2729234005956108,0.8323233742480295
GSST,32,-55.0,eim_te,0,1.0083594566353187,6.582952352342808,-55.01,-0.00999999999999801,5.409999999999997,-11.617741167025347,0.3257849463925113,0.27036948181058174,0.829903108219496
GSST,32,-55.0,eim_tm,0,1.0919540229885056,7.12868933492045,-55.07,-0.07000000000000028,5.410000000000004,-10.238104971514037,0.3059407826776869,0.24103237265944583,0.7881418683587562
Sb2S3,32,-55.0,fem,0,1.0,0.11390950793914129,-55.0,0.0,5.539999999999999,-13.23209624117716,0.9741124491261647,0.9741123992818447,0.9999999488310409
Sb2S3,32,-55.0,eim_te,0,0.956444759206799,0.10894815189221695,-54.97,0.030000000000001137,5.529999999999994,-12.928019604012501,0.9752258971569239,0.9691032076099808,0.9937799691116203
Sb2S3,32,-55.0,eim_tm,0,1.7623937677053827,0.2007534068743294,21.299999999999997,76.3,3.4000000000000057,0.0,0.9548272333647597,0.07365807252644892,0.827680423646296
Sb2Se3,32,-55.0,fem,0,1.0,0.22180592515856762,-55.0,0.0,5.530000000000001,-13.200415283169962,0.9503736850609974,0.9502916293885163,0.9999136595701554
Sb2Se3,32,-55.0,eim_te,0,0.9750679963735267,0.21627585902814095,-54.98,0.020000000000003126,5.530000000000001,-13.02791171226345,0.9515765174596365,0.9495374839652237,0.9978750113739713
Sb2Se3,32,-55.0,eim_tm,0,1.3789664551223935,0.30586293034105294,-55.25,-0.25,5.549999999999997,-4.28406920773475,0.9323013556206645,0.5643080720790596,0.6085164019150389
GSST,32,-50.0,fem,0,1.0,6.882775091754497,-50.0,0.0,4.839999999999996,-12.233931162886318,0.30544172583146817,0.252999364657654,0.8283064927325942
GSST,32,-50.0,eim_te,0,1.0083594566353187,6.94031135166467,-50.01,-0.00999999999999801,4.850000000000001,-12.105121364524937,0.3033075596892896,0.25048329935263847,0.8258426427614816
GSST,32,-50.0,eim_tm,0,1.0919540229885056,7.515673950766403,-50.08,-0.0799999999999983,4.839999999999996,-10.37087836010352,0.2833557724861203,0.22186294057697029,0.7834720612740439
Sb2S3,32,-50.0,fem,0,1.0,0.11408515683704468,-50.0,0.0,4.93,-13.232675386173716,0.974073055094798,0.974073003846321,0.99999994738744
Sb2S3,32,-50.0,eim_te,0,0.956444759206799,0.10911615036007709,-49.97,0.030000000000001137,4.93,-12.902736030493106,0.9751881757239143,0.9688934217638558,0.9936641293618134
Sb2S3,32,-50.0,eim_tm,0,1.7623937677053827,0.20106296939729865,28.040000000000006,78.04,3.589999999999989,0.0,0.954759184835283,0.06601157806222265,0.8247023422671423
Sb2Se3,32,-50.0,fem,0,1.0,0.22902089230909128,-50.0,0.0,4.93,-13.224122889571417,0.9488007602063938,0.9487165254825018,0.9999112197972169
Sb2Se3,32,-50.0,eim_te,0,0.9750679963735267,0.22331094259150286,-49.98,0.020000000000003126,4.93,-13.03436823815754,0.9500407231802501,0.9479475042412597,0.9978365406091356
Sb2Se3,32,-50.0,eim_tm,0,1.3789664551223935,0.315812128016435,-50.32,-0.3200000000000003,4.979999999999997,-4.389700343829339,0.9301766328279376,0.5545638071489628,0.6025016732184318
GSST,32,-45.0,fem,0,1.0,6.619305047355026,-45.0,0.0,4.469999999999999,-11.631796287817979,0.3244144438124255,0.2689872634356603,0.829147001824577
GSST,32,-45.0,eim_te,0,1.0083594566353187,6.674638840854337,-45.01,-0.00999999999999801,4.479999999999997,-11.514171729608243,0.3223010753919989,0.26644837235026647,0.8267153492237825
GSST,32,-45.0,eim_tm,0,1.0919540229885056,7.227976775847441,-45.1,-0.10000000000000142,4.479999999999997,-9.899473079369782,0.30252393690757035,0.23725071291131963,0.7852556796828463
Sb2S3,32,-45.0,fem,0,1.0,0.11395457363131706,-45.0,0.0,4.490000000000002,-13.23288659968738,0.974102344563701,0.974102292962313,0.9999999470267285
Sb2S3,32,-45.0,eim_te,0,0.956444759206799,0.10899125473731848,-44.949999999999996,0.05000000000000426,4.480000000000004,-12.593871591345014,0.9752162215054831,0.968878193197771,0.9938251664269512
Sb2S3,32,-45.0,eim_tm,0,1.7623937677053827,0.20083283036935734,36.10000000000001,81.10000000000001,3.910000000000011,0.0,0.9548097824072661,0.06346447892530359,0.8286975327153046
Sb2Se3,32,-45.0,fem,0,1.0,0.2236570468709433,-45.0,0.0,4.490000000000002,-13.23260966202691,0.9499744522615527,0.9498895539044021,0.9999106309049169
Sb2Se3,32,-45.0,eim_te,0,0.9750679963735267,0.21808082856727062,-44.97,0.030000000000001137,4.479999999999997,-12.863175940850551,0.9511866037625616,0.9490769537825636,0.9978885472967933
Sb2Se3,32,-45.0,eim_tm,0,1.3789664551223935,0.3084155650867677,-45.46,-0.46000000000000085,4.5,-4.285373692797096,0.9317642791719816,0.5533570695630512,0.6101582160152719
GSST,32,-40.0,fem,0,1.0,7.06751488069501,-40.0,0.0,4.189999999999998,-12.63840684646308,0.2962841135556614,0.2440258907388301,0.8236212458721185
GSST,32,-40.0,eim_te,0,1.0083594566353187,7.1265954648596495,-40.0,0.0,4.189999999999998,-12.517436124475854,0.29416505835478135,0.24153702557112522,0.8210935279737288
GSST,32,-40.0,eim_tm,0,1.0919540229885056,7.717401306506046,-40.03,-0.030000000000001137,4.200000000000003,-10.81204117952839,0.27437689173738483,0.2132542315141098,0.7773635570553851
Sb2S3,32,-40.0,fem,0,1.0,0.11417671910143902,-40.0,0.0,4.140000000000001,-13.233587343128157,0.9740525221177097,0.9740524692806212,0.999999945755401
Sb2S3,32,-40.0,eim_te,0,0.956444759206799,0.10920372460799817,-39.98,0.020000000000003126,4.140000000000001,-12.57766894795151,0.9751685144415909,0.9686792720506824,0.9933895254704086
Sb2S3,32,-40.0,eim_tm,0,1.7623937677053827,0.20122433816142424,45.69999999999999,85.69999999999999,4.569999999999993,0.0,0.9547237196342978,0.060242751013602415,0.8177696029871456
Sb2Se3,32,-40.0,fem,0,1.0,0.23278191066854687,-40.0,0.0,4.140000000000001,-13.26101108339566,0.947984666251055,0.9478978959845898,0.9999084687025495
Sb2Se3,32,-40.0,eim_te,0,0.9750679963735267,0.22697819122758128,-39.99,0.00999999999999801,4.1299999999999955,-12.875269464202004,0.9492438006499899,0.947087596310389,0.9977433189737813
Sb2Se3,32,-40.0,eim_tm,0,1.3789664551223935,0.32099844617122375,-40.17,-0.1700000000000017,4.230000000000004,-4.5972812080689405,0.929076206594393,0.545067670767743,0.5891177526875978
GSST,32,-35.0,fem,0,1.0,6.142600401814162,-35.0,0.0,3.8599999999999994,-11.891383011435217,0.3586452904690115,0.29868433328999033,0.8328126458858323
GSST,32,-35.0,eim_te,0,1.0083594566353187,6.193949203501219,-35.0,0.0,3.8599999999999994,-11.768377731686572,0.35658371110335724,0.2961137713752087,0.8304186707209936
GSST,32,-35.0,eim_tm,0,1.0919540229885056,6.707437220371786,-35.05,-0.04999999999999716,3.8599999999999994,-10.091855792455098,0.33727650230080997,0.2660213393531928,0.7891036981179522
Sb2S3,32,-35.0,fem,0,1.0,0.11371830532634958,-35.0,0.0,3.8700000000000045,-13.232888592790069,0.974155337411337,0.9741552870456135,0.9999999482980573
Sb2S3,32,-35.0,eim_te,0,0.956444759206799,0.10876527715526565,-34.97,0.030000000000001137,3.8599999999999994,-13.031980845900685,0.9752669642375844,0.9690802642293371,0.9937859170951598
Sb2S3,32,-35.0,eim_tm,0,1.7623937677053827,0.2004164325811763,58.77000000000001,93.77000000000001,6.150000000000006,0.0,0.9549013255897476,0.06871834973705154,0.8277917143292056
Sb2Se3,32,-35.0,fem,0,1.0,0.2139520724623481,-35.0,0.0,3.8700000000000045,-13.232864065169741,0.9520956047707727,0.9520125587899507,0.999912775586395
Sb2Se3,32,-35.0,eim_te,0,0.9750679963735267,0.20861781861582535,-34.98,0.020000000000003126,3.8599999999999994,-13.117439642792924,0.9532575525712027,0.9511939970297604,0.997875102905908
Sb2Se3,32,-35.0,eim_tm,0,1.3789664551223935,0.29503273092949356,-35.26,-0.259999999999998,3.8899999999999935,-4.284517804531653,0.9346323259749061,0.5621650163645845,0.6086343138166557
GSST,32,-30.0,fem,0,1.0,8.17374896249999,-30.0,0.0,3.490000000000002,-11.474677517621439,0.22691243521036458,0.1875254363466341,0.826422034441542
GSST,32,-30.0,eim_te,0,1.0083594566353187,8.242077062499991,-30.009999999999998,-0.00999999999999801,3.489999999999995,-11.341122705154856,0.22478750821479987,0.18519536379745258,0.8238786897536122
GSST,32,-30.0,eim_tm,0,1.0919540229885056,8.925358062499988,-30.089999999999996,-0.0899999999999963,3.479999999999997,-9.692058412413566,0.20506410239124945,0.15992002602452807,0.7811646536483481
Sb2S3,32,-30.0,fem,0,1.0,0.11472499999999998,-30.0,0.0,3.6499999999999986,-13.232693032784972,0.9739295544143561,0.973929504032382,0.9999999482693857
Sb2S3,32,-30.0,eim_te,0,0.956444759206799,0.109728125,-29.97,0.030000000000001137,3.6600000000000037,-12.96042613574327,0.9750507677563418,0.9688624337297866,0.993808328450094
Sb2S3,32,-30.0,eim_tm,0,1.7623937677053827,0.202190625,-86.07,-56.06999999999999,14.030000000000001,0.0,0.9545113063714965,0.0745505812985699,0.828418187399954
Sb2Se3,32,-30.0,fem,0,1.0,0.25530313749999983,-30.0,0.0,3.6499999999999986,-13.224620194915142,0.9430734524728936,0.9429911084749981,0.9999126854884107
Sb2Se3,32,-30.0,eim_te,0,0.9750679963735267,0.24893791874999982,-29.979999999999997,0.020000000000003126,3.6499999999999986,-13.06649838294721,0.9444485557662874,0.942402029749519,0.9978829581861504
Sb2Se3,32,-30.0,eim_tm,0,1.3789664551223935,0.3520544624999997,-30.25,-0.25,3.6999999999999957,-4.2516595033009565,0.9224413611115613,0.556021089479318,0.6101254359996938
GSST,32,-25.0,fem,0,1.0,6.382922718422389,-25.0,0.0,3.3900000000000077,-11.042057043070692,0.33400550606568064,0.28043621848546263,0.8396155554103834
GSST,32,-25.0,eim_te,0,1.0083594566353187,6.436280484093632,-25.0,0.0,3.3900000000000077,-10.904874009878892,0.33184729772630145,0.2778589231273228,0.8373095849540206
GSST,32,-25.0,eim_tm,0,1.0919540229885056,6.969858140806055,-25.039999999999992,-0.03999999999999204,3.3800000000000026,-9.2615577184615,0.3116123895643628,0.24839931875654533,0.7974895571222573
Sb2S3,32,-25.0,fem,0,1.0,0.11383741586349666,-25.0,0.0,3.490000000000002,-13.232603179452024,0.9741286174168148,0.9741285685364454,0.9999999498214419
Sb2S3,32,-25.0,eim_te,0,0.956444759206799,0.1088791998042863,-24.980000000000004,0.01999999999999602,3.490000000000002,-12.860496547053552,0.9752413789847192,0.9692369278232262,0.993902298748123
Sb2S3,32,-25.0,eim_tm,0,1.7623937677053827,0.2006263522495124,-57.54,-32.54,5.910000000000004,0.0,0.9548551617584148,0.0819142472444603,0.8309245218795043
Sb2Se3,32,-25.0,fem,0,1.0,0.21884466571545333,-25.0,0.0,3.490000000000002,-13.221169821632559,0.9510186603068569,0.9509382021727234,0.9999153979438137
Sb2Se3,32,-25.0,eim_te,0,0.9750679963735267,0.2133884297162013,-24.989999999999995,0.010000000000005116,3.489999999999995,-13.007559769019059,0.9522062843058305,0.9502069231177594,0.9979205959146246
Sb2Se3,32,-25.0,eim_tm,0,1.3789664551223935,0.30177945290408387,-25.159999999999997,-0.1599999999999966,3.469999999999999,-4.140429701225992,0.9331722193743679,0.5715322726495305,0.6156453405131791
GSST,32,-20.0,fem,0,1.0,6.38790829525383,-20.0,0.0,3.260000000000005,-10.213951914282983,0.3365493564824479,0.2819365460545565,0.8377271880751921
GSST,32,-20.0,eim_te,0,1.0083594566353187,6.441307737638396,-20.010000000000005,-0.010000000000005116,3.260000000000005,-10.114417064175765,0.3343978528163071,0.27936750662273646,0.8354369331346327
GSST,32,-20.0,eim_tm,0,1.0919540229885056,6.975302161484065,-20.060000000000002,-0.060000000000002274,3.260000000000005,-8.779592896342761,0.3142103571644772,0.2499052320425011,0.7960636401280936
Sb2S3,32,-20.0,fem,0,1.0,0.11383988685638138,-20.0,0.0,3.3599999999999994,-13.232946624909154,0.9741280671551596,0.974128016282307,0.9999999477760119
Sb2S3,32,-20.0,eim_te,0,0.956444759206799,0.10888156317248093,-19.97,0.030000000000001137,3.3700000000000045,-13.131542515557799,0.9752408519224564,0.9689920794926714,0.9938241675293805
Sb2S3,32,-20.0,eim_tm,0,1.7623937677053827,0.20063070711197245,-42.93,-22.93,4.339999999999996,0.0,0.954854216415645,0.06813594018991428,0.8286140573819777
Sb2Se3,32,-20.0,fem,0,1.0,0.21894616440235265,-20.0,0.0,3.3599999999999994,-13.235246136968971,0.9510029538414544,0.9509192492243317,0.9999119828000695
Sb2Se3,32,-20.0,eim_te,0,0.9750679963735267,0.21348739783747078,-19.980000000000004,0.01999999999999602,3.3599999999999994,-13.177352097660362,0.9521907927309065,0.9501107839170149,0.997891313778105
Sb2Se3,32,-20.0,eim_tm,0,1.3789664551223935,0.301919416188557,-20.289999999999992,-0.28999999999999204,3.3900000000000006,-4.30620524438079,0.9331542768036558,0.5590397200886658,0.610165041714209
GSST,32,-15.0,fem,0,1.0,6.544367958577073,-15.0,0.0,3.1299999999999955,-11.808283793116923,0.3310453692367683,0.274253145450115,0.8284457990831017
