material,N,levels,eta_ratio_mean,eta_ratio_min,eta_ratio_analytic,sll_worst_db,sll_unquantized_worst_db,pointing_error_max_deg
GSST,32,2,0.9148236331842029,0.523537219009269,0.42386958661405894,0.0,-7.205896862496971,119.85
GSST,32,4,1.1975094716112098,0.8038184933613287,0.8164891732281179,-4.639856231925222,-7.205896862496971,0.5499999999999972
GSST,32,8,1.153306713572061,0.9432601759848019,0.9512149159407904,-5.862678965054822,-7.205896862496971,0.375
GSST,32,16,1.0848025151020495,0.9678402873690042,0.9876143673052,-7.113725541439355,-7.205896862496971,0.14999999999999147
GSST,32,32,1.0447544473498367,0.9780938695250923,0.9968916339185558,-7.067027524984676,-7.205896862496971,0.05000000000000426
GSST,32,64,1.0274864697203323,0.9881795664468022,0.9992221591786302,-7.182460250951089,-7.205896862496971,0.025000000000005684
Sb2S3,32,2,0.42585151569985197,0.3763088267484703,0.42386958661405894,0.0,-13.228272827248496,119.85
Sb2S3,32,4,0.8193677200647453,0.8029504639807703,0.8164891732281179,-6.051033503409479,-13.228272827248496,0.5500000000000114
Sb2S3,32,8,0.9522982995443746,0.9435886877485735,0.9512149159407904,-9.359469448961624,-13.228272827248496,0.375
Sb2S3,32,16,0.9881897281802106,0.9846694232951696,0.9876143673052,-11.253424102757695,-13.228272827248496,0.125
Sb2S3,32,32,0.9970866574282518,0.9964945906833198,0.9968916339185558,-12.434529317817034,-13.228272827248496,0.05000000000000426
Sb2S3,32,64,0.99929485502502,0.9990205060014993,0.9992221591786302,-12.768340102081051,-13.228272827248496,0.025000000000005684
Sb2Se3,32,2,0.43232656432704497,0.3786632642057596,0.42386958661405894,0.0,-13.042599452903705,119.85
Sb2Se3,32,4,0.8253843336729133,0.807521317938161,0.8164891732281179,-6.04228297088579,-13.042599452903705,0.5500000000000114
Sb2Se3,32,8,0.9557090692129079,0.947142346732154,0.9512149159407904,-9.341248443738696,-13.042599452903705,0.375
Sb2Se3,32,16,0.9898440563512639,0.9847372724418997,0.9876143673052,-11.229884533204206,-13.042599452903705,0.125
Sb2Se3,32,32,0.9979119584900219,0.9964735604393777,0.9968916339185558,-12.430839358461574,-13.042599452903705,0.05000000000000426
Sb2Se3,32,64,0.999780882515696,0.9989760965865658,0.9992221591786302,-12.76433099939826,-13.042599452903705,0.025000000000005684
