material,N,target_deg,scenario,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
GSST,32,-60.0,eim_prediction,0.9794910748195975,7.506554457152814,-60.0,0.0,6.32,-10.66076673893506,0.2844681037825012,0.22841990819059846,0.22841990819059846,0.8029719506452783,0.7759369810588528,ok
GSST,32,-60.0,planar_calibrated,0.9794910748195975,4.5827635282248,-60.0,0.0,6.340000000000003,-13.248850896892515,0.4087216950716355,0.3779606003077299,0.3779606003077299,0.9247382873607572,0.8461703569379532,ok
GSST,32,-60.0,planar_response_to_eim_design,0.9794910748195975,4.488775973904961,-59.97,0.030000000000001137,6.329999999999998,-13.20959088302056,0.4150319066829373,0.384449497643912,0.3844313181710388,0.9263131134098838,0.847676296022652,ok
Sb2S3,32,-60.0,eim_prediction,2.695111708382328,0.6626069877133767,-60.0,0.0,6.3700000000000045,-13.231507660553097,0.8587862179415254,0.8586421032174456,0.8586421032174456,0.9998321878937168,0.8857677279128586,EIM buffer slice below cutoff
Sb2S3,32,-60.0,planar_calibrated,2.695111708382328,1.5671370972596956,-60.0,0.0,6.3700000000000045,-13.228372788272784,0.6994164322026547,0.6982503941883437,0.6982503941883437,0.9983328415510072,0.8850503350922022,EIM buffer slice below cutoff
Sb2S3,32,-60.0,planar_response_to_eim_design,2.695111708382328,4.223609539464901,-36.5,23.5,3.9599999999999937,0.0,0.387379428410091,0.2791850562321678,0.0050937329727314806,0.7207018126337222,0.041582147043613675,EIM buffer slice below cutoff
Sb2Se3,32,-60.0,eim_prediction,1.6521309314586994,0.1954784884060805,-60.0,0.0,6.3700000000000045,-13.23208793394646,0.9560964659636342,0.9560419104009318,0.9560419104009318,0.9999429392695773,0.8858163842486254,ok
Sb2Se3,32,-60.0,planar_calibrated,1.6521309314586994,0.6192230564256481,-60.0,0.0,6.3700000000000045,-13.229857474862865,0.8684647331483937,0.8677906094470373,0.8677906094470373,0.9992237753870413,0.8854813319670787,ok
Sb2Se3,32,-60.0,planar_response_to_eim_design,1.6521309314586994,1.0230375649932086,15.760000000000005,75.76,3.299999999999997,0.0,0.7934815673793724,0.5219846137388262,0.1413693587880639,0.6578408814999726,0.276540341981947,ok
GSST,32,-55.0,eim_prediction,0.9794910748195975,7.212257873699343,-55.0,0.0,5.399999999999999,-11.387111203781533,0.30259867345760816,0.24344148172373767,0.24344148172373767,0.8045028054554312,0.7472798753971908,ok
