x_um,P_plasmonic,P_dielectric,P_total
0.0000,0.019121,0.980879,1.000000
3.5221,0.019333,0.980548,0.999881
7.0442,0.019779,0.979984,0.999763
10.5663,0.020458,0.979188,0.999645
14.0884,0.021368,0.978160,0.999529
17.6105,0.022510,0.976902,0.999413
21.1326,0.023883,0.975414,0.999297
24.6547,0.025484,0.973697,0.999181
28.1768,0.027314,0.971751,0.999065
31.6989,0.029370,0.969579,0.998949
35.2210,0.031652,0.967180,0.998832
38.7431,0.034157,0.964557,0.998714
42.2652,0.036884,0.961711,0.998595
45.7873,0.039832,0.958643,0.998475
49.3094,0.042998,0.955355,0.998353
52.8315,0.046381,0.951849,0.998230
56.3536,0.049978,0.948126,0.998104
59.8757,0.053787,0.944189,0.997976
63.3978,0.057806,0.940040,0.997846
66.9199,0.062033,0.935681,0.997714
70.4420,0.066465,0.931114,0.997578
73.9641,0.071099,0.926341,0.997440
77.4862,0.075933,0.921366,0.997298
81.0083,0.080964,0.916190,0.997153
84.5304,0.086189,0.910816,0.997005
88.0525,0.091605,0.905247,0.996852
91.5746,0.097209,0.899487,0.996696
95.0967,0.102998,0.893537,0.996535
98.6188,0.108969,0.887401,0.996370
102.1409,0.115117,0.881083,0.996200
105.6630,0.121441,0.874585,0.996026
109.1851,0.127936,0.867910,0.995846
112.7072,0.134599,0.861063,0.995662
116.2293,0.141425,0.854047,0.995472
119.7514,0.148412,0.846864,0.995277
123.2735,0.155556,0.839520,0.995076
126.7956,0.162852,0.832017,0.994869
130.3177,0.170296,0.824359,0.994656
133.8398,0.177886,0.816551,0.994437
137.3619,0.185615,0.808596,0.994211
140.8840,0.193481,0.800499,0.993979
144.4061,0.201479,0.792262,0.993741
147.9282,0.209604,0.783892,0.993495
151.4503,0.217853,0.775391,0.993243
154.9724,0.226220,0.766764,0.992984
158.4945,0.234702,0.758015,0.992717
162.0166,0.243294,0.749150,0.992444
165.5388,0.251991,0.740171,0.992162
169.0609,0.260789,0.731085,0.991873
172.5830,0.269683,0.721894,0.991577
176.1051,0.278668,0.712605,0.991272
179.6272,0.287739,0.703221,0.990960
183.1493,0.296892,0.693747,0.990639
186.6714,0.306123,0.684188,0.990311
190.1935,0.315425,0.674549,0.989974
193.7156,0.324794,0.664835,0.989629
197.2377,0.334225,0.655050,0.989275
200.7598,0.343714,0.645199,0.988913
204.2819,0.353255,0.635287,0.988542
207.8040,0.362843,0.625320,0.988163
211.3261,0.372473,0.615301,0.987775
214.8482,0.382141,0.605236,0.987378
218.3703,0.391841,0.595131,0.986972
221.8924,0.401568,0.584989,0.986557
225.4145,0.411317,0.574816,0.986133
228.9366,0.421083,0.564617,0.985700
232.4587,0.430861,0.554397,0.985258
235.9808,0.440646,0.544161,0.984807
239.5029,0.450433,0.533914,0.984347
243.0250,0.460216,0.523661,0.983877
246.5471,0.469991,0.513407,0.983399
250.0692,0.479753,0.503158,0.982911
253.5913,0.489497,0.492917,0.982414
257.1134,0.499217,0.482691,0.981907
260.6355,0.508908,0.472483,0.981391
264.1576,0.518566,0.462300,0.980866
267.6797,0.528186,0.452146,0.980332
271.2018,0.537763,0.442026,0.979789
274.7239,0.547291,0.431945,0.979236
278.2460,0.556767,0.421907,0.978674
281.7681,0.566184,0.411918,0.978103
285.2902,0.575539,0.401983,0.977523
288.8123,0.584827,0.392106,0.976933
292.3344,0.594042,0.382293,0.976334
295.8565,0.603180,0.372547,0.975727
299.3786,0.612237,0.362873,0.975110
302.9007,0.621207,0.353277,0.974485
306.4228,0.630087,0.343763,0.973850
309.9449,0.638872,0.334335,0.973207
313.4670,0.647557,0.324997,0.972555
316.9891,0.656138,0.315755,0.971894
320.5112,0.664611,0.306613,0.971224
324.0333,0.672971,0.297575,0.970546
327.5554,0.681214,0.288645,0.969860
331.0775,0.689337,0.279828,0.969165
334.5996,0.697334,0.271128,0.968462
338.1217,0.705202,0.262548,0.967750
341.6438,0.712937,0.254094,0.967031
345.1659,0.720535,0.245768,0.966303
348.6880,0.727993,0.237575,0.965568
