lambda_nm,n,k
200.0,1.072,1.24
201.0,1.079,1.246
202.0,1.087,1.252
203.0,1.095,1.258
204.0,1.103,1.262
205.0,1.111,1.265
206.0,1.12,1.268
207.0,1.127,1.271
208.0,1.134,1.273
209.0,1.141,1.276
210.0,1.147,1.279
211.0,1.154,1.282
212.0,1.161,1.285
213.0,1.167,1.287
214.0,1.173,1.29
215.0,1.178,1.291
216.0,1.183,1.292
217.0,1.187,1.294
218.0,1.192,1.295
219.0,1.196,1.296
220.0,1.201,1.298
221.0,1.206,1.299
222.0,1.21,1.3
223.0,1.213,1.301
224.0,1.217,1.303
225.0,1.221,1.304
226.0,1.224,1.305
227.0,1.228,1.306
228.0,1.232,1.308
229.0,1.235,1.309
230.0,1.239,1.31
231.0,1.242,1.313
232.0,1.245,1.315
233.0,1.248,1.317
234.0,1.251,1.32
235.0,1.254,1.322
236.0,1.257,1.324
237.0,1.26,1.326
238.0,1.263,1.329
239.0,1.267,1.331
240.0,1.27,1.333
241.0,1.273,1.335
242.0,1.277,1.337
243.0,1.28,1.339
244.0,1.284,1.341
245.0,1.287,1.343
246.0,1.291,1.345
247.0,1.294,1.347
248.0,1.298,1.35
249.0,1.302,1.35
250.0,1.306,1.35
251.0,1.311,1.35
252.0,1.315,1.35
253.0,1.32,1.35
254.0,1.324,1.35
255.0,1.328,1.35
256.0,1.333,1.35
257.0,1.337,1.35
258.0,1.341,1.35
259.0,1.346,1.35
260.0,1.351,1.35
261.0,1.357,1.35
262.0,1.362,1.35
263.0,1.367,1.35
264.0,1.373,1.349
265.0,1.378,1.345
266.0,1.384,1.342
267.0,1.389,1.338
268.0,1.395,1.335
269.0,1.401,1.331
270.0,1.407,1.328
271.0,1.413,1.325
272.0,1.419,1.321
273.0,1.425,1.318
274.0,1.431,1.315
275.0,1.437,1.311
276.0,1.443,1.306
277.0,1.449,1.298
278.0,1.454,1.29
279.0,1.46,1.282
280.0,1.466,1.274
281.0,1.471,1.266
282.0,1.476,1.257
283.0,1.48,1.247
284.0,1.484,1.236
285.0,1.488,1.225
286.0,1.492,1.214
287.0,1.496,1.204
288.0,1.5,1.193
289.0,1.503,1.178
290.0,1.506,1.162
