lambda_nm,n,k
200.0,1.427,1.215
201.0,1.426,1.228
202.0,1.425,1.242
203.0,1.424,1.256
204.0,1.423,1.269
205.0,1.423,1.283
206.0,1.422,1.297
207.0,1.422,1.308
208.0,1.425,1.316
209.0,1.427,1.324
210.0,1.429,1.332
211.0,1.43,1.341
212.0,1.431,1.349
213.0,1.431,1.357
214.0,1.432,1.365
215.0,1.433,1.371
216.0,1.435,1.378
217.0,1.437,1.384
218.0,1.438,1.391
219.0,1.439,1.399
220.0,1.44,1.407
221.0,1.441,1.414
222.0,1.443,1.421
223.0,1.445,1.427
224.0,1.448,1.433
225.0,1.45,1.439
226.0,1.452,1.447
227.0,1.452,1.455
228.0,1.453,1.464
229.0,1.453,1.472
230.0,1.454,1.481
231.0,1.456,1.488
232.0,1.458,1.495
233.0,1.46,1.503
234.0,1.462,1.51
235.0,1.463,1.519
236.0,1.465,1.528
237.0,1.467,1.537
238.0,1.469,1.546
239.0,1.47,1.554
240.0,1.472,1.563
241.0,1.474,1.572
242.0,1.476,1.58
243.0,1.477,1.589
244.0,1.479,1.598
245.0,1.48,1.607
246.0,1.481,1.617
247.0,1.482,1.626
248.0,1.484,1.636
249.0,1.485,1.648
250.0,1.486,1.66
251.0,1.487,1.673
252.0,1.488,1.685
253.0,1.489,1.697
254.0,1.492,1.707
255.0,1.495,1.716
256.0,1.497,1.726
257.0,1.5,1.735
258.0,1.503,1.745
259.0,1.509,1.752
260.0,1.517,1.759
261.0,1.524,1.765
262.0,1.532,1.772
263.0,1.539,1.778
264.0,1.547,1.785
265.0,1.556,1.792
266.0,1.566,1.798
267.0,1.575,1.805
268.0,1.584,1.811
269.0,1.593,1.818
270.0,1.601,1.824
271.0,1.61,1.829
272.0,1.618,1.834
273.0,1.627,1.839
274.0,1.635,1.844
275.0,1.643,1.849
276.0,1.651,1.854
277.0,1.657,1.859
278.0,1.664,1.863
279.0,1.671,1.868
280.0,1.678,1.873
281.0,1.684,1.878
282.0,1.691,1.882
283.0,1.699,1.885
284.0,1.707,1.888
285.0,1.715,1.89
286.0,1.723,1.893
287.0,1.731,1.896
288.0,1.739,1.899
289.0,1.745,1.901
290.0,1.75,1.904
291.0,1.755,1.907
292.0,1.76,1.909
293.0,1.765,1.912
294.0,1.77,1.914
295.0,1.775,1.917
296.0,1.78,1.918
297.0,1.785,1.918
298.0,1.79,1.918
299.0,1.795,1.919
300.0,1.8,1.919
301.0,1.805,1.919
302.0,1.81,1.919
303.0,1.813,1.919
304.0,1.815,1.919
305.0,1.818,1.918
306.0,1.82,1.918
307.0,1.822,1.917
308.0,1.825,1.917
309.0,1.827,1.916
310.0,1.83,1.915
311.0,1.831,1.914
312.0,1.832,1.912
313.0,1.833,1.911
314.0,1.835,1.909
315.0,1.836,1.908
316.0,1.837,1.906
317.0,1.838,1.905
318.0,1.839,1.903
319.0,1.837,1.9
320.0,1.835,1.897
321.0,1.834,1.894
322.0,1.832,1.891
323.0,1.83,1.888
324.0,1.828,1.885
325.0,1.826,1.881
326.0,1.824,1.878
327.0,1.821,1.876
328.0,1.818,1.874
329.0,1.815,1.872
330.0,1.812,1.87
331.0,1.81,1.868
332.0,1.807,1.866
333.0,1.804,1.864
334.0,1.801,1.862
335.0,1.798,1.86
336.0,1.794,1.858
337.0,1.791,1.857
338.0,1.787,1.855
339.0,1.784,1.854
340.0,1.781,1.852
341.0,1.777,1.851
342.0,1.774,1.849
343.0,1.77,1.848
344.0,1.767,1.846
345.0,1.764,1.846
346.0,1.761,1.846
347.0,1.759,1.846
348.0,1.756,1.846
349.0,1.753,1.846
350.0,1.751,1.847
351.0,1.748,1.847
352.0,1.745,1.847
353.0,1.743,1.847
354.0,1.74,1.847
355.0,1.738,1.849
356.0,1.735,1.85
357.0,1.733,1.851
358.0,1.731,1.853
359.0,1.729,1.854
360.0,1.726,1.855
361.0,1.724,1.857
362.0,1.722,1.858
363.0,1.719,1.859
364.0,1.717,1.861
