lambda_nm,eps_re,eps_im
400.0,-3.7736,-0.663
450.0,-6.0784,-0.741
500.0,-8.5095,-0.7592
525.0,-9.8427,-0.8164
550.0,-11.1412,-0.8016
575.0,-12.5172,-0.8496
600.0,-13.8985,-0.8952
625.0,-15.3495,-1.0192
650.0,-17.0373,-1.1564
675.0,-18.7293,-1.2124
700.0,-20.4108,-1.2656
750.0,-23.9875,-1.47
800.0,-27.9645,-1.4812
850.0,-32.2399,-1.704
900.0,-36.5736,-2.057
950.0,-40.92,-2.56
1000.0,-45.6535,-2.8392
1050.0,-50.4992,-3.2706
1100.0,-55.7433,-3.5856
1150.0,-61.3927,-4.2336
1200.0,-67.15,-4.92
1250.0,-67.2816,-5.747
1300.0,-73.4795,-6.3492
1325.0,-65.296,-6.3102
1350.0,-67.4084,-6.576
1375.0,-69.5544,-6.847
1395.0,-69.8805,-7.0308
1405.0,-69.8805,-7.0308
1410.0,-70.048,-7.0392
1450.0,-76.2027,-7.5164
1500.0,-80.9776,-8.109
1550.0,-86.6415,-8.7608
1600.0,-92.6895,-9.4472
1650.0,-98.7424,-10.149
1700.0,-104.987,-10.8756
1750.0,-111.422,-11.627
1800.0,-118.922,-12.4488
1830.0,-123.695,-12.9412
1880.0,-129.76,-13.6884
1900.0,-132.916,-14.0618
1930.0,-137.724,-14.596
1980.0,-145.345,-15.5017
2000.0,-148.418,-15.86
