lambda_nm,eps_re,eps_im
250.0,-0.5355,-4.9468
275.0,-0.7329,-6.068
295.0,-0.518,-6.8352
300.0,-0.4464,-6.912
315.0,-0.2625,-7.0288
335.0,-0.2196,-6.696
350.0,-0.36,-6.475
375.0,-0.72,-6.46
400.0,-1.086,-6.5072
415.0,-1.1847,-6.3896
435.0,-1.1583,-6.1056
445.0,-1.2384,-5.852
450.0,-1.2844,-5.64
465.0,-1.472,-5.0142
475.0,-1.6524,-4.536
490.0,-2.3085,-3.7332
500.0,-2.8704,-3.268
515.0,-4.0131,-2.646
530.0,-5.3865,-2.2752
545.0,-6.72,-1.9912
560.0,-7.9065,-1.8112
575.0,-8.384,-1.6878
590.0,-8.694,-1.5392
600.0,-8.8776,-1.495
615.0,-9.1887,-1.3984
630.0,-9.4464,-1.232
645.0,-9.7645,-1.1268
660.0,-10.7328,-1.0496
675.0,-12.5769,-1.136
690.0,-14.5668,-1.2224
700.0,-15.5769,-1.264
715.0,-17.28,-1.3312
730.0,-18.984,-1.3952
745.0,-20.492,-1.5402
760.0,-21.9672,-1.5946
775.0,-23.5907,-1.6524
790.0,-25.168,-1.8072
800.0,-26.182,-1.8432
850.0,-31.0964,-2.232
900.0,-35.9516,-2.64
950.0,-41.4207,-2.9624
1000.0,-46.4448,-3.5464
1050.0,-52.05,-4.0432
1100.0,-58.8924,-4.608
1150.0,-65.5076,-5.184
1200.0,-71.6184,-5.929
1250.0,-72.1056,-6.46
1300.0,-68.7219,-6.806
1350.0,-73.7664,-7.568
1400.0,-84.0515,-8.6292
1450.0,-84.39,-9.2
1500.0,-90.1592,-10.0806
1550.0,-131.745,-12.6403
1600.0,-102.68,-11.9774
1650.0,-108.34,-12.9296
1700.0,-115.322,-14.0076
1750.0,-122.103,-15.1231
1800.0,-146.474,-17.6533
1850.0,-136.185,-17.4939
1900.0,-143.629,-18.7836
1950.0,-150.182,-20.0422
2000.0,-158.085,-21.4232
2050.0,-165.678,-22.8365
2100.0,-203.473,-27.507
2150.0,-180.832,-25.7762
2200.0,-189.699,-27.3967
2250.0,-198.313,-29.0588
2300.0,-206.887,-30.7498
2400.0,-223.672,-34.2582
2500.0,-242.447,-38.1404
2600.0,-260.958,-42.1693
2700.0,-281.245,-46.5443
2800.0,-300.563,-51.0478
2900.0,-321.246,-55.8785
3000.0,-343.021,-60.986
3100.0,-365.773,-66.3659
3200.0,-389.75,-72.1259
3300.0,-412.994,-78.0143
3400.0,-437.698,-84.2786
3500.0,-463.97,-90.8968
3600.0,-489.453,-97.6892
3700.0,-514.149,-104.609
3800.0,-541.501,-112.1
3900.0,-571.855,-120.073
4000.0,-598.587,-127.989
