lambda_nm,eps_re,eps_im
517.0,-5.624,-6.1248
530.0,-6.3525,-6.05
545.0,-7.254,-5.8752
560.0,-8.1576,-5.719
575.0,-9.1027,-5.4636
590.0,-10.0529,-5.232
605.0,-11.0416,-4.896
620.0,-12.1091,-4.602
635.0,-13.144,-4.1838
650.0,-14.1264,-4.256
665.0,-15.2685,-3.3012
680.0,-16.2425,-3.24
695.0,-17.1375,-3.4112
710.0,-18.142,-3.5952
725.0,-19.7152,-3.7464
740.0,-20.1552,-3.8786
755.0,-21.252,-3.9818
770.0,-22.3689,-4.18
785.0,-23.4171,-4.374
800.0,-24.5979,-4.482
815.0,-25.6965,-4.6828
830.0,-26.9232,-4.8974
860.0,-29.3632,-5.2224
890.0,-32.0223,-5.5664
920.0,-34.6781,-5.91
950.0,-37.4292,-6.3856
980.0,-40.296,-6.7522
1010.0,-43.2684,-7.128
1050.0,-47.1696,-7.579
1090.0,-51.2388,-8.0416
1130.0,-55.3152,-8.6536
1170.0,-59.5595,-9.1332
1210.0,-64.1088,-9.7966
1240.0,-67.5132,-10.2176
1270.0,-71.0056,-10.647
1300.0,-74.4129,-11.072
1350.0,-80.3432,-11.9361
1400.0,-86.5223,-12.7966
1450.0,-92.9869,-13.7106
1500.0,-99.803,-14.6849
1530.0,-104.012,-15.2981
1580.0,-111.213,-16.3263
1600.0,-114.157,-16.7551
1630.0,-118.656,-17.3878
1680.0,-126.276,-18.4328
1700.0,-129.284,-18.7416
1730.0,-133.876,-19.1864
1780.0,-141.696,-19.9758
1800.0,-144.905,-20.2967
1830.0,-149.762,-20.7803
1880.0,-158.027,-21.5712
1900.0,-161.39,-21.9008
1930.0,-166.513,-22.4
1980.0,-175.248,-23.2173
2000.0,-178.787,-23.5572
2030.0,-184.647,-24.4035
2080.0,-194.641,-25.8667
2100.0,-198.696,-26.4457
2130.0,-204.355,-27.3073
2180.0,-213.518,-28.6749
2200.0,-217.263,-29.221
2250.0,-227.209,-30.8505
2300.0,-237.713,-32.6079
2350.0,-248.452,-34.444
2400.0,-259.019,-36.1379
2450.0,-269.84,-37.8741
2500.0,-280.848,-39.648
2550.0,-291.748,-41.7141
2600.0,-302.82,-43.8269
2650.0,-314.131,-46.0269
2700.0,-325.432,-48.2615
2750.0,-336.859,-50.5401
2800.0,-348.479,-52.9055
2900.0,-373.096,-57.6928
3000.0,-399.763,-62.6518
3100.0,-427.318,-67.6823
3200.0,-455.782,-72.4717
3300.0,-485.164,-77.4244
3400.0,-513.306,-82.5972
3500.0,-541.296,-87.9993
3600.0,-570.028,-93.5682
3700.0,-600.223,-99.5612
3800.0,-631.739,-105.932
3900.0,-664.061,-112.495
