lambda_nm,n,k
200.0,1.825,4.175
201.0,1.825,4.175
202.0,1.825,4.175
203.0,1.825,4.175
204.0,1.825,4.175
205.0,1.825,4.175
206.0,1.825,4.175
207.0,1.825,4.175
208.0,1.825,4.175
209.0,1.825,4.175
210.0,1.825,4.175
211.0,1.825,4.175
212.0,1.825,4.175
213.0,1.825,4.175
214.0,1.825,4.175
215.0,1.825,4.175
216.0,1.825,4.175
217.0,1.825,4.175
218.0,1.825,4.175
219.0,1.825,4.175
220.0,1.825,4.175
221.0,1.825,4.175
222.0,1.825,4.175
223.0,1.825,4.175
224.0,1.825,4.175
225.0,1.825,4.175
226.0,1.825,4.175
227.0,1.825,4.175
228.0,1.825,4.175
229.0,1.825,4.175
230.0,1.825,4.175
231.0,1.825,4.175
232.0,1.825,4.175
233.0,1.825,4.175
234.0,1.825,4.175
235.0,1.825,4.175
236.0,1.825,4.175
237.0,1.825,4.175
238.0,1.825,4.175
239.0,1.825,4.175
240.0,1.825,4.175
241.0,1.825,4.175
242.0,1.825,4.175
243.0,1.825,4.175
244.0,1.825,4.175
245.0,1.825,4.175
246.0,1.825,4.175
247.0,1.825,4.175
248.0,1.825,4.175
249.0,1.825,4.175
250.0,1.825,4.175
251.0,1.825,4.175
252.0,1.825,4.175
253.0,1.825,4.175
254.0,1.825,4.175
255.0,1.825,4.175
256.0,1.825,4.175
257.0,1.825,4.175
258.0,1.825,4.175
259.0,1.825,4.175
260.0,1.825,4.175
261.0,1.825,4.175
262.0,1.825,4.175
263.0,1.825,4.175
264.0,1.829142857,4.187428571
265.0,1.849857143,4.249571429
266.0,1.879714286,4.307142857
267.0,1.913666667,4.367133333
268.0,1.950333333,4.432466667
269.0,1.992571429,4.505857143
270.0,2.042333333,4.581666667
271.0,2.099,4.659
272.0,2.158333333,4.709666667
273.0,2.223,4.775
274.0,2.293,4.855
275.0,2.381666667,4.912333333
276.0,2.47225,4.969125
277.0,2.56475,5.025375
278.0,2.6634,5.079
279.0,2.7615,5.12275
280.0,2.85775,5.152125
281.0,2.957,5.1955
282.0,3.061375,5.238875
283.0,3.18325,5.26825
284.0,3.29725,5.2995
285.0,3.406,5.332
286.0,3.560117647,5.340823529
287.0,3.716375,5.348125
288.0,3.877625,5.351875
289.0,4.040882353,5.319647059
290.0,4.205,5.272
291.0,4.351470588,5.195529412
292.0,4.488166667,5.109833333
293.0,4.602055556,5.002611111
294.0,4.697823529,4.887529412
295.0,4.775470588,4.764588235
296.0,4.832777778,4.654666667
297.0,4.885,4.548
298.0,4.908888889,4.445777778
299.0,4.934333333,4.346444444
300.0,4.966,4.258666667
301.0,4.985222222,4.175111111
302.0,4.985777778,4.097888889
303.0,4.993263158,4.027210526
304.0,5.005368421,3.960894737
305.0,5.015222222,3.896666667
306.0,5.024111111,3.833333333
307.0,5.024526316,3.787684211
308.0,5.024,3.744
309.0,5.0265,3.6945
310.0,5.029,3.645
311.0,5.031631579,3.608157895
312.0,5.03425,3.57085
313.0,5.03675,3.52935
314.0,5.0388,3.4896
315.0,5.0368,3.4656
316.0,5.03485,3.4414
317.0,5.03335,3.4154
318.0,5.032904762,3.389857143
319.0,5.041952381,3.368428571
320.0,5.051,3.347
321.0,5.0595,3.3165
322.0,5.068,3.286
323.0,5.067047619,3.272666667
324.0,5.066095238,3.259333333
325.0,5.076227273,3.239590909
326.0,5.087590909,3.219136364
327.0,5.100666667,3.2
328.0,5.11447619,3.181428571
329.0,5.124090909,3.166363636
330.0,5.130909091,3.153636364
331.0,5.139363636,3.139818182
332.0,5.150272727,3.124363636
333.0,5.160565217,3.109478261
334.0,5.168391304,3.096869565
335.0,5.176217391,3.08426087
336.0,5.193043478,3.070086957
337.0,5.210869565,3.05573913
338.0,5.225565217,3.045304348
339.0,5.238173913,3.037478261
340.0,5.250913043,3.029
341.0,5.263956522,3.019
342.0,5.277,3.009
343.0,5.29075,3.007333333
344.0,5.3045,3.005666667
345.0,5.32325,3.00575
346.0,5.345333333,3.007
347.0,5.36828,3.0088
348.0,5.39468,3.0128
349.0,5.42108,3.0168
350.0,5.445916667,3.020916667
351.0,5.470083333,3.025083333
352.0,5.50068,3.03136
353.0,5.54628,3.04256
354.0,5.59188,3.05376
355.0,5.647461538,3.067076923
356.0,5.705538462,3.080923077
357.0,5.768538462,3.093
358.0,5.851230769,3.098
359.0,5.933923077,3.103
360.0,6.032538462,3.089307692
361.0,6.141769231,3.063153846
362.0,6.251,3.037
