lambda_nm,n,k
200.0,1.830528,0.08875121
201.0,1.830224,0.08909941
202.0,1.829917,0.08945248
203.0,1.829607,0.08981052
204.0,1.829294,0.09017362
205.0,1.828977,0.09054189
206.0,1.828657,0.09091544
207.0,1.828334,0.09129438
208.0,1.828007,0.09167883
209.0,1.827677,0.0920689
210.0,1.827343,0.09246471
211.0,1.827005,0.09286638
212.0,1.826665,0.09327405
213.0,1.82632,0.09368784
214.0,1.825972,0.09410789
215.0,1.825619,0.09453433
216.0,1.825263,0.09496732
217.0,1.824904,0.09540698
218.0,1.82454,0.09585348
219.0,1.824172,0.09630697
220.0,1.8238,0.09676761
221.0,1.823424,0.09723557
222.0,1.823044,0.097711
223.0,1.822659,0.0981941
224.0,1.82227,0.09868503
225.0,1.821877,0.09918398
226.0,1.821479,0.09969115
227.0,1.821077,0.1002067
228.0,1.82067,0.1007309
229.0,1.820259,0.1012639
230.0,1.819843,0.101806
231.0,1.819422,0.1023573
232.0,1.818996,0.1029181
233.0,1.818566,0.1034886
234.0,1.81813,0.1040691
235.0,1.817689,0.1046598
236.0,1.817243,0.105261
237.0,1.816792,0.105873
238.0,1.816335,0.106496
239.0,1.815874,0.1071303
240.0,1.815406,0.1077762
241.0,1.814933,0.1084341
242.0,1.814455,0.1091042
243.0,1.813971,0.1097869
244.0,1.813481,0.1104825
245.0,1.812985,0.1111914
246.0,1.812483,0.1119139
247.0,1.811976,0.1126504
248.0,1.811462,0.1134013
249.0,1.810942,0.114167
250.0,1.810416,0.114948
251.0,1.809883,0.1157446
252.0,1.809344,0.1165574
253.0,1.808799,0.1173867
254.0,1.808247,0.1182332
255.0,1.807688,0.1190972
256.0,1.807123,0.1199793
257.0,1.80655,0.12088
258.0,1.805971,0.1217999
259.0,1.805385,0.1227397
260.0,1.804793,0.1236999
261.0,1.804193,0.124681
262.0,1.803585,0.1256839
263.0,1.802971,0.1267092
264.0,1.80235,0.1277576
265.0,1.801721,0.1288298
266.0,1.801085,0.1299266
267.0,1.800441,0.1310488
268.0,1.79979,0.1321972
269.0,1.799132,0.1333728
270.0,1.798466,0.1345764
271.0,1.797793,0.135809
272.0,1.797112,0.1370715
273.0,1.796424,0.1383649
274.0,1.795729,0.1396905
275.0,1.795026,0.1410492
276.0,1.794316,0.1424422
277.0,1.793599,0.1438708
278.0,1.792875,0.1453362
279.0,1.792144,0.1468398
280.0,1.791406,0.148383
281.0,1.790661,0.1499671
282.0,1.78991,0.1515938
283.0,1.789152,0.1532646
284.0,1.788388,0.1549811
285.0,1.787619,0.1567452
286.0,1.786845,0.1585586
287.0,1.786065,0.1604232
288.0,1.785281,0.162341
289.0,1.784493,0.1643142
290.0,1.783701,0.1663449
291.0,1.782906,0.1684354
292.0,1.782109,0.1705881
293.0,1.781311,0.1728055
294.0,1.780512,0.1750903
295.0,1.779714,0.1774452
296.0,1.778917,0.1798731
297.0,1.778122,0.1823771
298.0,1.777332,0.1849604
299.0,1.776546,0.1876262
300.0,1.775768,0.1903782
301.0,1.774999,0.1932199
302.0,1.77424,0.1961553
303.0,1.773495,0.1991884
304.0,1.772765,0.2023233
305.0,1.772053,0.2055645
306.0,1.771362,0.2089166
307.0,1.770696,0.2123845
308.0,1.770057,0.2159732
309.0,1.769451,0.219688
310.0,1.768882,0.2235343
311.0,1.768353,0.2275179
312.0,1.767872,0.2316448
313.0,1.767444,0.2359211
314.0,1.767076,0.2403532
315.0,1.766774,0.2449477
316.0,1.766548,0.2497114
317.0,1.766406,0.2546512
318.0,1.766358,0.2597743
319.0,1.766415,0.2650879
320.0,1.766589,0.2705993
321.0,1.766894,0.2763158
322.0,1.767343,0.2822447
323.0,1.767954,0.2883929
324.0,1.768744,0.2947675
325.0,1.769733,0.3013747
326.0,1.770942,0.3082206
327.0,1.772395,0.3153102
328.0,1.774117,0.3226477
329.0,1.776138,0.3302361
330.0,1.778487,0.3380767
331.0,1.781198,0.3461688
332.0,1.784308,0.3545095
333.0,1.787855,0.3630929
334.0,1.791882,0.3719095
335.0,1.796433,0.3809459
336.0,1.801557,0.3901834
337.0,1.807304,0.399598
338.0,1.813725,0.4091587
339.0,1.820875,0.4188271
340.0,1.828809,0.4285561
341.0,1.837581,0.4382889
342.0,1.847244,0.4479582
343.0,1.857848,0.4574851
344.0,1.869439,0.4667785
345.0,1.882052,0.4757347
346.0,1.895714,0.4842374
347.0,1.910441,0.492158
348.0,1.926227,0.4993571
349.0,1.943052,0.5056861
350.0,1.960868,0.5109908
351.0,1.979605,0.5151143
352.0,1.999162,0.5179026
353.0,2.019411,0.5192101
354.0,2.040194,0.5189058
355.0,2.061325,0.5168802
356.0,2.082596,0.5130516
357.0,2.103779,0.5073719
358.0,2.124635,0.4998315
359.0,2.144921,0.4904619
360.0,2.164399,0.4793368
361.0,2.182847,0.4665702
362.0,2.200064,0.4523126
363.0,2.21588,0.4367456
364.0,2.230161,0.4200739
365.0,2.24281,0.4025174
366.0,2.253771,0.3843022
367.0,2.263027,0.3656528
368.0,2.270594,0.3467842
369.0,2.276521,0.3278965
370.0,2.280885,0.30917
371.0,2.283781,0.2907621
372.0,2.285318,0.2728063
