lambda_nm,Au_re_lerer,Au_im_lerer,Cu_re_lerer,Cu_im_lerer,Au_re_jc,Au_im_jc,Cu_re_jc,Cu_im_jc,cu_lerer_extrapolated
2.100000000000000000e+02,2.678169999999999717e-01,-3.806856000000000240e+00,1.157980769230769624e+01,-7.891230769230759279e+00,-8.206739130434761997e-02,-3.460599999999999454e+00,-1.599797826086956309e+00,-3.349797826086955865e+00,1.000000000000000000e+00
2.120000000000000000e+02,2.279599999999999405e-01,-3.860838000000000214e+00,1.146773076923076928e+01,-7.879723076923056624e+00,-1.347511111111109883e-01,-3.512137777777777803e+00,-1.645888888888888957e+00,-3.439337777777777827e+00,1.000000000000000000e+00
2.140000000000000000e+02,1.873990000000000933e-01,-3.909359999999999946e+00,1.135565384615384232e+01,-7.868215384615353969e+00,-1.797733333333332295e-01,-3.554893333333332794e+00,-1.679666666666666419e+00,-3.544093333333332652e+00,1.000000000000000000e+00
2.160000000000000000e+02,1.603410000000002888e-01,-3.954860000000000042e+00,1.124357692307694379e+01,-7.856707692307679736e+00,-2.247955555555554430e-01,-3.597648888888888674e+00,-1.713444444444444326e+00,-3.648848888888888808e+00,1.000000000000000000e+00
2.180000000000000000e+02,1.329629999999999423e-01,-4.000516000000000183e+00,1.113149999999998840e+01,-7.845199999999977081e+00,-2.697999999999998733e-01,-3.639479999999999826e+00,-1.726631999999999945e+00,-3.751655999999999658e+00,1.000000000000000000e+00
2.200000000000000000e+02,9.395099999999989571e-02,-4.052159999999999762e+00,1.101942307692308987e+01,-7.833692307692302847e+00,-3.147999999999998577e-01,-3.681079999999999686e+00,-1.734671999999999770e+00,-3.853975999999999846e+00,1.000000000000000000e+00
2.220000000000000000e+02,6.300799999999995293e-02,-4.101005999999999929e+00,1.090734615384616291e+01,-7.822184615384600193e+00,-3.549499999999999322e-01,-3.724575000000000191e+00,-1.739437500000000192e+00,-3.956462500000000215e+00,1.000000000000000000e+00
2.240000000000000000e+02,4.321499999999955932e-02,-4.149968000000000323e+00,1.079526923076923595e+01,-7.810676923076925959e+00,-3.837833333333333652e-01,-3.772491666666667243e+00,-1.736562500000000009e+00,-4.059337500000000709e+00,1.000000000000000000e+00
2.260000000000000000e+02,1.449499999999970257e-02,-4.202087999999999823e+00,1.068319230769230899e+01,-7.799169230769223304e+00,-4.126166666666667981e-01,-3.820408333333333850e+00,-1.733687500000000270e+00,-4.162212500000000759e+00,1.000000000000000000e+00
2.280000000000000000e+02,-3.208699999999975461e-02,-4.254383999999999943e+00,1.057111538461538203e+01,-7.787661538461520649e+00,-4.633235294117648007e-01,-3.848847058823529288e+00,-1.721047058823529152e+00,-4.255723529411764794e+00,1.000000000000000000e+00
2.300000000000000000e+02,-7.924500000000067601e-02,-4.306747999999999799e+00,1.045903846153848349e+01,-7.776153846153846416e+00,-5.164607843137253296e-01,-3.875121568627450941e+00,-1.707321568627450992e+00,-4.348194117647058654e+00,1.000000000000000000e+00
2.320000000000000000e+02,-1.092610000000004966e-01,-4.359420000000000073e+00,1.034696153846152811e+01,-7.764646153846143761e+00,-5.589534482758620193e-01,-3.911848275862068736e+00,-1.687586206896551921e+00,-4.433017241379309858e+00,1.000000000000000000e+00
