lambda_nm,P_Au_lerer,P_Cu_lerer,P_Au_jc,P_Cu_jc,R_Au_lerer,T_Au_lerer,R_Cu_lerer,T_Cu_lerer
2.100000000000000000e+02,8.121762017212549312e-01,4.695725008841854509e-01,8.212562756540590092e-01,8.938660795814356019e-01,6.256694599587089844e-02,1.252568522828742259e-01,1.109540166449220350e-01,4.194734824708925558e-01
2.150000000000000000e+02,8.168354974479568043e-01,4.603526759729843487e-01,8.279415381827872622e-01,8.962489389623724545e-01,6.055879667128597627e-02,1.226057058807572819e-01,1.161840308594228321e-01,4.234632931675927914e-01
2.200000000000000000e+02,8.205691832563638544e-01,4.699226624384268414e-01,8.333844633977665062e-01,8.956989787744521481e-01,5.867695092151838793e-02,1.207538658221177785e-01,1.094629020510725081e-01,4.206144355105007060e-01
2.250000000000000000e+02,8.229846250907021377e-01,4.808009833000515543e-01,8.369125566200559252e-01,8.934416218983706193e-01,5.719317233619748003e-02,1.198222025731004170e-01,1.007020327727263104e-01,4.184969839272221770e-01
2.300000000000000000e+02,8.275148874487885386e-01,4.760862050537393864e-01,8.407817298444003606e-01,8.900679976438469199e-01,5.643157654652698058e-02,1.160535360046845016e-01,9.369618017989138348e-02,4.302176147663692718e-01
2.350000000000000000e+02,8.304238995867845308e-01,4.774188178344180300e-01,8.428816621218454541e-01,8.855530658992466497e-01,5.633487756929107804e-02,1.132412228439243496e-01,8.278358467737938209e-02,4.397975974882026295e-01
2.400000000000000000e+02,8.347047333782465772e-01,4.884640789988729526e-01,8.456337655516554808e-01,8.797317900858799833e-01,5.685842959254246154e-02,1.084368370292109474e-01,7.240797591320070892e-02,4.391279450879263524e-01
2.450000000000000000e+02,8.392475768480595066e-01,5.157835969798685305e-01,8.493108346407869380e-01,8.740482532221510725e-01,5.759400769690072724e-02,1.031584154550397592e-01,6.229157715995928268e-02,4.219248258601722701e-01
2.500000000000000000e+02,8.444798862876984336e-01,5.541232248602436794e-01,8.534940029500072134e-01,8.691957352404069415e-01,5.596792152388001262e-02,9.955219218842156770e-02,4.397230215051479291e-02,4.019044729892414236e-01
2.550000000000000000e+02,8.442802892855314489e-01,5.651110035657604946e-01,8.540517687529779467e-01,8.555421366614345269e-01,5.961909284819147392e-02,9.610061786627709102e-02,4.351421456644080643e-02,3.913747818677987267e-01
2.600000000000000000e+02,8.408147605024147708e-01,5.370891301389040251e-01,8.534903369778795712e-01,8.428587154399930226e-01,6.285687253281978248e-02,9.632836696476546057e-02,5.715576110557681749e-02,4.057551087555191227e-01
2.650000000000000000e+02,8.340236759734513949e-01,5.115931443460338679e-01,8.514506572684141794e-01,8.303424537967343255e-01,6.599609934806957567e-02,9.998022467847900163e-02,7.149458915538067783e-02,4.169122664985854820e-01
2.700000000000000000e+02,8.261382973781870032e-01,4.967478255549234167e-01,8.481817826358032386e-01,8.185860832888622873e-01,6.909257597652759819e-02,1.047691266452853431e-01,8.329852298873863248e-02,4.199536514563379508e-01
2.750000000000000000e+02,8.174499402190616992e-01,4.908490953119551414e-01,8.429320567790106189e-01,8.086850343708554822e-01,7.198946904349483311e-02,1.105605907374435093e-01,9.193242558024722344e-02,4.172184791077976906e-01
2.800000000000000000e+02,8.094416725622035624e-01,4.927880370148676747e-01,8.367800529953600686e-01,8.012706318908233705e-01,7.460136160966275576e-02,1.159569658281336679e-01,9.679511642442233110e-02,4.104168465607100358e-01
2.850000000000000000e+02,8.002962428023502328e-01,5.002704678324019216e-01,8.305886055066812323e-01,7.952667741395540446e-01,7.691854162726298461e-02,1.227852155703867965e-01,9.833655301052175723e-02,4.013929791570762240e-01
2.900000000000000000e+02,7.911247814025172964e-01,5.060500398244142106e-01,8.250650364811804582e-01,7.925398249400371631e-01,7.883066569752991692e-02,1.300445528999527589e-01,9.940119092409328838e-02,3.945487692514925149e-01
2.950000000000000000e+02,7.834952428548550563e-01,5.043059576277555411e-01,8.191245244575097173e-01,7.929278843148229727e-01,8.009101429966400398e-02,1.364137428454809398e-01,1.020606634712990790e-01,3.936333789009453521e-01
3.000000000000000000e+02,7.748998146810532894e-01,4.996998512749500909e-01,8.127887931426044377e-01,7.960166340473778801e-01,8.064144746641364880e-02,1.444587378525329924e-01,1.040657361334117875e-01,3.962344125916381632e-01
3.050000000000000000e+02,7.675206565635994682e-01,4.978919618977888373e-01,8.091310364456850701e-01,7.990744387147752370e-01,8.032716545558406251e-02,1.521521779808165109e-01,1.032507681751304446e-01,3.988572699270807043e-01
3.100000000000000000e+02,7.614559168895962404e-01,5.001169272194860849e-01,8.064057507797043334e-01,8.022183883236631008e-01,7.915510471928637048e-02,1.593889783911174307e-01,9.954514848056555953e-02,4.003379242999483556e-01
3.150000000000000000e+02,7.565149917243431110e-01,5.057449434676422051e-01,8.034101906454815811e-01,8.046453305626142249e-01,7.714442666973311824e-02,1.663405816059238262e-01,9.369336166933489585e-02,4.005616948630227880e-01
3.200000000000000000e+02,7.528013294907399677e-01,5.139337103083430058e-01,8.005469080295131157e-01,8.067792358903442818e-01,7.441616506348601445e-02,1.727825054457740039e-01,8.653812192552942650e-02,3.995281677661275954e-01
3.250000000000000000e+02,7.501757394461356920e-01,5.239360648502611184e-01,8.011616136470064431e-01,8.094151894955984305e-01,7.115550898400843649e-02,1.786687515698558715e-01,7.889078937550617066e-02,3.971731457742326832e-01
3.300000000000000000e+02,7.491203933843227913e-01,5.350353086123976754e-01,8.019849247954798921e-01,8.119350576950716825e-01,6.797198003680875178e-02,1.829076265788685263e-01,7.152777192323343802e-02,3.934369194643688727e-01
3.350000000000000000e+02,7.480723650519865986e-01,5.464703963584400803e-01,7.998943037822550117e-01,8.119998805305419509e-01,6.509190853439413005e-02,1.868357264136192297e-01,6.514868566023138130e-02,3.883809179813285106e-01
3.400000000000000000e+02,7.474517412588115306e-01,5.574764541370614834e-01,7.963814690644803740e-01,8.108443086270926692e-01,6.268556642111935973e-02,1.898626923200691097e-01,6.026528604988934390e-02,3.822582598130491727e-01
3.450000000000000000e+02,7.466512622129473087e-01,5.674671295096931356e-01,7.921851117941106635e-01,8.099822201507885788e-01,6.088791591537021791e-02,1.924608218716824803e-01,5.708279132851832444e-02,3.754500791617885191e-01
3.500000000000000000e+02,7.457813851643539937e-01,5.762593591875224686e-01,7.873422163011969399e-01,8.094232852921647847e-01,5.986007911594605491e-02,1.943585357197000207e-01,5.549511260084871722e-02,3.682455282116287587e-01
3.550000000000000000e+02,7.447873957162109981e-01,5.842257249331491709e-01,7.829939666729106573e-01,8.088610035990763114e-01,5.941835319778315111e-02,1.957942510860059548e-01,5.525914373101865201e-02,3.605151313358321286e-01
3.600000000000000000e+02,7.445804778517087774e-01,5.928381381014928841e-01,7.824492528263081725e-01,8.093549578948019407e-01,5.971653383092326295e-02,1.957029883173679596e-01,5.641380563146416310e-02,3.507480562670430291e-01
3.650000000000000000e+02,7.448156955821907399e-01,6.003653573632340423e-01,7.824409931279587838e-01,8.102708746844304866e-01,6.088447778652517073e-02,1.942998266312840339e-01,5.912447661143655636e-02,3.405101660253293527e-01
3.700000000000000000e+02,7.431927729831903084e-01,6.022476301812248467e-01,7.803143726947965320e-01,8.099554601560076117e-01,6.091555717179435170e-02,1.958916698450153815e-01,5.795881805156161831e-02,3.397935517672134864e-01
3.750000000000000000e+02,7.422380368847745213e-01,6.070550479238068231e-01,7.788288400665461797e-01,8.107106499637246610e-01,6.097589965337950335e-02,1.967860634618460725e-01,5.696893480640180529e-02,3.359760172697913716e-01
3.800000000000000000e+02,7.407440904055020425e-01,6.135300702979334941e-01,7.774463689752052487e-01,8.113936030817667788e-01,6.106224011104835481e-02,1.981936694834496582e-01,5.638820012978257301e-02,3.300817295722838773e-01
3.850000000000000000e+02,7.392614809573549994e-01,6.210843676587535223e-01,7.741303070964500321e-01,8.109456189051222896e-01,6.140032428739518322e-02,1.993381947552498035e-01,5.629516209305880647e-02,3.226204702481876296e-01
3.900000000000000000e+02,7.373712036389996616e-01,6.292409973101089626e-01,7.699085116537583984e-01,8.099139884250096122e-01,6.199340139329768962e-02,2.006353949677026349e-01,5.675047180872944130e-02,3.140085308811614850e-01
3.950000000000000000e+02,7.346670474693670627e-01,6.374959786163993947e-01,7.655562677864811150e-01,8.087118253221841080e-01,6.284785565895428805e-02,2.024850968716787047e-01,5.782069026963135988e-02,3.046833311139693357e-01
4.000000000000000000e+02,7.319669311377520193e-01,6.453534284242419261e-01,7.612170415810435298e-01,8.085176241889237003e-01,6.404000589125301290e-02,2.039930629709949816e-01,5.954098952438122150e-02,2.951055820513767691e-01
4.050000000000000000e+02,7.280609978041833186e-01,6.524765061772680452e-01,7.568606265415787071e-01,8.092085348057092009e-01,6.544208766920635301e-02,2.064969145266103145e-01,6.185460576977211411e-02,2.856688880529598684e-01
4.100000000000000000e+02,7.240184944300934733e-01,6.588176525023441421e-01,7.523303792707971560e-01,8.096927463302138195e-01,6.715495602987232859e-02,2.088265495400342397e-01,6.459189893860654841e-02,2.765904485590492956e-01
4.150000000000000000e+02,7.192606971690419515e-01,6.645960081840180944e-01,7.473830182787509768e-01,8.098439835090078809e-01,6.905907899293144137e-02,2.116802238380266488e-01,6.751999896677821078e-02,2.678839928492036671e-01
4.200000000000000000e+02,7.134938155809423810e-01,6.701443002169392704e-01,7.417875380275791297e-01,8.095324341171641347e-01,7.106819626264787582e-02,2.154379881564097987e-01,7.042253418659483177e-02,2.594331655964658978e-01
4.250000000000000000e+02,7.075546904398412051e-01,6.757563340415192465e-01,7.361347281107357698e-01,8.090322949582517964e-01,7.313147544576543979e-02,2.193138341143933134e-01,7.315066200915833206e-02,2.510930039493224353e-01
4.300000000000000000e+02,7.018938775155780796e-01,6.816161001012837062e-01,7.304916520590184481e-01,8.083511591534717766e-01,7.510470946036966466e-02,2.230014130240523529e-01,7.562963507393610785e-02,2.427542648247802970e-01
4.350000000000000000e+02,6.967853034954778479e-01,6.877980924318892741e-01,7.261895186219103904e-01,8.063569440728260984e-01,7.685274958069895912e-02,2.263619469238231374e-01,7.784048341902062573e-02,2.343614241490901418e-01
4.400000000000000000e+02,6.918182181294973976e-01,6.942970880171897008e-01,7.222134284953223293e-01,8.041246777550338232e-01,7.834969089436887024e-02,2.298320909761337183e-01,7.979792113242131779e-02,2.259049908503890092e-01
4.450000000000000000e+02,6.884392414662772186e-01,7.010591705167370513e-01,7.184662492155811098e-01,8.017914632344615988e-01,7.938331022930880665e-02,2.321774483044140303e-01,8.153374304658075888e-02,2.174070864366821898e-01
4.500000000000000000e+02,6.868345616531994491e-01,7.080043414635337484e-01,7.149717199544008972e-01,7.993645671528442076e-01,7.975654442867718963e-02,2.334088939181233058e-01,8.308660670045799057e-02,2.089090518360082749e-01
4.550000000000000000e+02,6.856126929684884797e-01,7.150406710176104852e-01,7.104233453661304987e-01,7.961366700072448621e-01,7.964213368165914964e-02,2.347451733498523430e-01,8.449629148517483201e-02,2.004630374972147522e-01
4.600000000000000000e+02,6.849337476655059653e-01,7.220726357432574183e-01,7.057469387847701281e-01,7.926680525334102168e-01,7.905897477536606710e-02,2.360072775591279537e-01,8.580046315592826378e-02,1.921269011008142624e-01
4.650000000000000000e+02,6.865868854479464378e-01,7.290061659195997690e-01,7.012125939978501865e-01,7.891267625594259316e-01,7.783400977086306349e-02,2.355791047811904848e-01,8.703257066474322234e-02,1.839612634156569670e-01
4.700000000000000000e+02,6.882877012730743704e-01,7.357522078041278668e-01,6.968074500462747567e-01,7.855271835083371679e-01,7.614975731051341901e-02,2.355625414164121967e-01,8.821997343730866858e-02,1.760278187585634924e-01
4.750000000000000000e+02,6.899335460311449841e-01,7.422301074117704234e-01,6.987686091148760381e-01,7.831011291019501774e-01,7.402315448362978278e-02,2.360432994852252053e-01,8.938153472351671736e-02,1.683883578647128454e-01
4.800000000000000000e+02,6.989768909716422840e-01,7.483721745167228878e-01,7.035960126557682104e-01,7.812063482793956126e-01,7.107738690433267059e-02,2.299457221240250315e-01,9.052354055242366193e-02,1.611042849308534364e-01
4.850000000000000000e+02,7.124429727909806775e-01,7.541320974055671922e-01,7.088985734373529635e-01,7.794180105283259330e-01,6.739406804140632423e-02,2.201629591676129705e-01,9.163113397689315320e-02,1.542367686175395991e-01
4.900000000000000000e+02,7.259622540837720184e-01,7.595059835873296805e-01,7.146985368925600213e-01,7.778045347092652495e-01,6.321214536962248276e-02,2.108256005466055405e-01,9.264550543133952265e-02,1.478485109813308385e-01
4.950000000000000000e+02,7.392151279930471164e-01,7.646124537716452174e-01,7.211522188758260343e-01,7.765459410429186304e-01,5.814110125080002717e-02,2.026437707561528356e-01,9.337483264166576702e-02,1.420127135866889601e-01
5.000000000000000000e+02,7.687435000625436610e-01,7.713766012283800322e-01,7.445957152873518003e-01,7.780575216324091548e-01,5.152521244359585528e-02,1.797312874938604699e-01,9.160282333683289480e-02,1.370205754347870175e-01
5.050000000000000000e+02,7.972613101413550396e-01,7.735420192792115124e-01,7.682615854745447059e-01,7.760244714512759545e-01,5.222384186404329526e-02,1.505148479946017137e-01,9.480851567165209104e-02,1.316494650491364660e-01
5.100000000000000000e+02,8.242667358142706791e-01,7.751092832150066059e-01,7.925796927801256331e-01,7.743285696670831886e-01,5.326573007587975805e-02,1.224675341098495351e-01,9.763860914329156038e-02,1.272521076417018338e-01
5.150000000000000000e+02,8.493208630145672178e-01,7.758658273184919629e-01,8.170690141989118693e-01,7.727429490072617035e-01,5.605099754672139556e-02,9.462813943871137279e-02,1.005285752624456158e-01,1.236055974190623657e-01
5.200000000000000000e+02,8.690094289326051324e-01,7.757768203818750097e-01,8.406968338264898533e-01,7.712405013182557223e-01,6.537715972696775402e-02,6.561341134042708578e-02,1.035005779280315091e-01,1.207226016900935645e-01
5.250000000000000000e+02,8.764746143355615082e-01,7.748227506765706929e-01,8.595288443320368010e-01,7.737979212865552237e-01,8.306237617141511154e-02,4.046300949302335248e-02,1.065486884088415742e-01,1.186285609145877606e-01
5.300000000000000000e+02,8.684477159103439758e-01,7.729903342200353800e-01,8.713938751345691180e-01,7.774027726815022632e-01,1.090979341484921844e-01,2.245434994116379465e-02,1.096577203260911126e-01,1.173519454538735490e-01
5.350000000000000000e+02,8.456937118062017866e-01,7.711955254884103050e-01,8.750866195403715908e-01,7.811665891719035137e-01,1.431119931446084015e-01,1.119429504918979454e-02,1.130454591595820707e-01,1.157590153520076520e-01
5.400000000000000000e+02,8.162757628569957680e-01,7.683364776587777722e-01,8.700194257373820017e-01,7.850652495373614537e-01,1.781204602029474171e-01,5.603776940056895590e-03,1.165019435741253689e-01,1.151615787670969282e-01
5.450000000000000000e+02,7.981967383384883652e-01,7.643896879548905954e-01,8.569390031465360380e-01,7.890742340371466046e-01,1.977509821209633423e-01,4.052279540548269117e-03,1.199997637596711547e-01,1.156105482854382638e-01
5.500000000000000000e+02,7.853662541798668295e-01,7.591094822862129998e-01,8.382247344703364078e-01,7.939503861835170984e-01,2.109527432781435341e-01,3.681002541989710983e-03,1.234975838603387388e-01,1.173929338534482336e-01
5.550000000000000000e+02,7.781553195842844106e-01,7.526879620280372274e-01,8.178449315429179300e-01,8.004569097153251267e-01,2.173605982043000373e-01,4.484082211415472280e-03,1.269830126820064020e-01,1.203290252899563845e-01
5.600000000000000000e+02,7.758648386813689068e-01,7.450914455804311665e-01,7.986188720349672865e-01,8.062059262127774240e-01,2.166160206941631639e-01,7.519140624467869453e-03,1.304424293442854044e-01,1.244661250752834708e-01
5.650000000000000000e+02,7.749125308194343420e-01,7.368933166204298946e-01,7.831440335785414542e-01,8.110283783223187770e-01,2.117995835243550173e-01,1.328788565621058862e-02,1.341696243447376979e-01,1.289370590348324630e-01
5.700000000000000000e+02,7.729151628617514369e-01,7.272342846318577969e-01,7.729724658562576733e-01,8.147496354249558204e-01,2.110600101601382284e-01,1.602482697811037290e-02,1.378854753031869829e-01,1.348802400649552757e-01
5.750000000000000000e+02,7.706483884358403813e-01,7.160580354520879043e-01,7.682010484598069677e-01,8.171974701320090517e-01,2.099054627742431567e-01,1.944614878991647242e-02,1.415873711988434869e-01,1.423545933490686644e-01
5.800000000000000000e+02,7.681589428653075036e-01,7.030656014381064800e-01,7.671777291042469749e-01,8.182134567605722220e-01,2.081261783151668321e-01,2.371487881952556026e-02,1.452347862259375233e-01,1.516996123359559412e-01
5.850000000000000000e+02,7.648053226436778429e-01,6.885298260600297704e-01,7.671249761071510243e-01,8.144310098814125931e-01,2.059447710454521130e-01,2.924990631087013432e-02,1.488599285662855209e-01,1.626102453736847087e-01
5.900000000000000000e+02,7.606553619623322993e-01,6.724838481197407125e-01,7.615292559210996570e-01,8.046061770579422401e-01,2.036855690655083040e-01,3.565906897215939675e-02,1.524540635244882036e-01,1.750620883557711116e-01
5.950000000000000000e+02,7.554553912673708238e-01,6.547883022453844237e-01,7.440793018953590909e-01,7.912411906751326551e-01,2.011633928657055037e-01,4.338121586692370718e-02,1.563964882282233015e-01,1.888152095263923025e-01
6.000000000000000000e+02,7.489367268386689647e-01,6.353887268055222748e-01,7.111435407979604939e-01,7.738746057495379249e-01,1.984939465176268347e-01,5.256932664370415204e-02,1.602950390153910498e-01,2.043162341790867864e-01
6.050000000000000000e+02,7.408039372975605552e-01,6.144470473461358662e-01,6.623986671298994766e-01,7.493238950300713519e-01,1.958478492799116122e-01,6.334821342252787424e-02,1.641016993001948032e-01,2.214512533536693029e-01
6.100000000000000000e+02,7.307438201788432064e-01,5.906140227181396751e-01,6.003231584098618345e-01,7.112102594336835448e-01,1.934603390814865764e-01,7.579584073967010616e-02,1.677777249814434157e-01,2.416082523004169091e-01
6.150000000000000000e+02,7.181848238098536008e-01,5.658154275479883033e-01,5.306414577744257288e-01,6.520902165577178167e-01,1.915369665087745810e-01,9.027820968137184598e-02,1.711852067823564638e-01,2.629993656696552051e-01
6.200000000000000000e+02,7.032798843609964212e-01,5.403877543103658976e-01,4.643671457163725536e-01,5.842044861532484923e-01,1.907387361189385178e-01,1.059813795200650888e-01,1.742779105194492417e-01,2.853343351701848607e-01
6.250000000000000000e+02,6.855648433152659038e-01,5.145090523637149138e-01,4.072151279763246978e-01,5.212995492830496680e-01,1.912892232787656577e-01,1.231459334059684385e-01,1.775195409834769422e-01,3.079714066528081995e-01
6.300000000000000000e+02,6.648161510962722343e-01,4.881169560247055061e-01,3.600830452586811781e-01,4.641046217349596437e-01,1.936064838323220683e-01,1.415773650714056697e-01,1.805331717375753542e-01,3.313498722377191674e-01
6.350000000000000000e+02,6.408920876315082893e-01,4.614263013563451588e-01,3.221343052804762075e-01,4.150252628578715575e-01,1.980475203502116976e-01,1.610603920182800131e-01,1.834091680925701850e-01,3.551645305510846007e-01
6.400000000000000000e+02,6.138058225475218066e-01,4.409809036572234220e-01,2.912620575154501457e-01,3.734683116765405431e-01,2.047996918427324453e-01,1.813944856097458591e-01,1.841252848982430079e-01,3.748938114445335978e-01
6.450000000000000000e+02,5.827119196839368742e-01,4.213206230013150089e-01,2.645972347086487098e-01,3.371733439677506716e-01,2.140199789344728321e-01,2.032681013815903492e-01,1.848090600531168692e-01,3.938703169455680664e-01
6.500000000000000000e+02,5.504510172495075127e-01,4.024662877189190135e-01,2.390636247210077281e-01,3.035889196662640566e-01,2.247368144815331814e-01,2.248121682689593337e-01,1.853168533716139932e-01,4.122168589094670210e-01
6.550000000000000000e+02,4.824536579771751543e-01,3.689590753064011519e-01,2.129053205704496410e-01,2.714048896528892252e-01,2.447966099346800262e-01,2.727497320881448473e-01,1.903798377701516331e-01,4.406610869234471872e-01
6.600000000000000000e+02,4.019328767175546213e-01,3.343255044999046133e-01,1.874122326210622136e-01,2.417698633124488738e-01,2.559796915162570463e-01,3.420874317661882769e-01,1.953443925924863434e-01,4.703301029076090156e-01
6.650000000000000000e+02,3.489883289411746525e-01,2.990932672327633046e-01,1.688754850833600329e-01,2.207327616814740434e-01,2.486369028332987008e-01,4.023747682255267022e-01,1.998457993953404455e-01,5.010609333718962777e-01
6.700000000000000000e+02,3.061585857840167790e-01,2.824667615593661196e-01,1.529440154311542122e-01,2.023790918927741433e-01,2.432767206546066763e-01,4.505646935613765169e-01,1.982339191270306722e-01,5.192993193136031804e-01
6.750000000000000000e+02,2.611041005317393249e-01,2.670613577622321655e-01,1.396291624501303508e-01,1.865970543171689977e-01,2.512686611314169371e-01,4.876272383368436825e-01,1.953546877047294406e-01,5.375839545330384217e-01
6.800000000000000000e+02,2.193652598798581099e-01,2.528140746063961553e-01,1.285064462048753908e-01,1.730209365121344600e-01,2.587943862363845104e-01,5.218403538837573796e-01,1.912754331852916934e-01,5.559104922083121236e-01
6.850000000000000000e+02,1.863282727331053712e-01,2.444227848900285549e-01,1.191011447694885206e-01,1.612490498608021294e-01,2.563978951624987790e-01,5.572738321043958498e-01,1.850784038112068541e-01,5.704988112987645632e-01
6.900000000000000000e+02,1.631800459109783441e-01,2.366887403087326591e-01,1.110206494895739082e-01,1.509331213780146230e-01,2.462920951941703351e-01,5.905278588948513763e-01,1.781823989434459521e-01,5.851288607478214443e-01
6.950000000000000000e+02,1.478990423591051151e-01,2.295257547708662305e-01,1.039707244412123588e-01,1.417972435108786344e-01,2.340850036860925298e-01,6.180159539548023551e-01,1.707606474678722008e-01,5.997135977612615410e-01
7.000000000000000000e+02,1.357525822545976313e-01,2.219460900985261720e-01,9.773809953351686453e-02,1.336308348006332025e-01,2.197897369862233385e-01,6.444576807591789747e-01,1.626733820770065730e-01,6.153805278244672827e-01
7.050000000000000000e+02,1.246103015119748303e-01,2.149057634524614846e-01,9.227371623058433503e-02,1.265002297275442666e-01,2.048219435956315504e-01,6.705677548923936193e-01,1.543587798119071264e-01,6.307354567356313613e-01
7.100000000000000000e+02,1.155183466699489792e-01,2.083581894881352259e-01,8.824358698087109154e-02,1.219452557370400703e-01,1.895239569741400121e-01,6.949576963559109810e-01,1.459645382673325498e-01,6.456772722445321966e-01
7.150000000000000000e+02,1.070198766207132168e-01,1.970235229063427296e-01,8.460470957386045932e-02,1.177849816075184908e-01,1.747809196099622264e-01,7.181992037693245567e-01,1.364447308282276117e-01,6.665317462654296587e-01
7.200000000000000000e+02,9.996011330769283276e-02,1.868540752569983754e-01,8.134971774551702506e-02,1.140376241206412233e-01,1.605753651471354126e-01,7.394645215451717268e-01,1.272741315594016209e-01,6.858717931836000314e-01
